Unique_ID,Folder,Full_path,Alloy,Total_atoms,Structure (By OVITO),POTCAR_used,Lattice_parameter_x (Å),Lattice_parameter_y (Å),Lattice_parameter_z (Å),Volumetric_lattice_parameter (Å),LLD (Å),Fermi_energy (eV),Nef (states/eV/atom),Bonding_area (states·eV/atom),Antibonding_area (states·eV/atom),Ratio_DOS_Area,D_band_center (eV),t2g_NEF (states/eV/atom),eg_NEF (states/eV/atom),W_present,Mo_present,Ta_present,Nb_present,V_present,Cr_present,Fe_present,Li_present,K_present,Rb_present,Cs_present,Ba_present,Ra_present,Ca_present,Sr_present,Rh_present,Ir_present,Ni_present,Pd_present,Pt_present,Cu_present,Ag_present,Au_present,Al_present,Ne_present,Ar_present,Kr_present,Xe_present,Be_present,Mg_present,Sc_present,Y_present,Ti_present,Zr_present,Hf_present,Tc_present,Re_present,Ru_present,Os_present,Co_present,Zn_present,Cd_present,He_present,W_comp,Mo_comp,Ta_comp,Nb_comp,V_comp,Cr_comp,Fe_comp,Li_comp,K_comp,Rb_comp,Cs_comp,Ba_comp,Ra_comp,Ca_comp,Sr_comp,Rh_comp,Ir_comp,Ni_comp,Pd_comp,Pt_comp,Cu_comp,Ag_comp,Au_comp,Al_comp,Ne_comp,Ar_comp,Kr_comp,Xe_comp,Be_comp,Mg_comp,Sc_comp,Y_comp,Ti_comp,Zr_comp,Hf_comp,Tc_comp,Re_comp,Ru_comp,Os_comp,Co_comp,Zn_comp,Cd_comp,He_comp,Structure_individual_BCC,Structure_individual_FCC,Structure_individual_HCP,is_PDOS_USER_D.dat,is_TDOS.dat,is_POTCAR,is_FERMI_ENERGY,User,C_11 [GPa],C_12 [GPa],C_13 [GPa],C_23 [GPa],C_22 [GPa],C_33 [GPa],C_44 [GPa],C_55 [GPa],C_66 [GPa],G_V [GPa],G_R [GPa],G [GPa],B [GPa],E_100 [GPa],E_110 [GPa],E_111 [GPa],E_113 [GPa],E_331 [GPa],E_VRH [GPa],Poisson's ratio [],Pugh_Ratio,Inv_Pugh
unique_0,dos,/project/daidhy/mcdc/dpant/Project_3_DOS_4_bonds_5_ML_6_LLD/36-atom-Binary-DOS_E_VRH/CrMo/dos,Cr18Mo18,36,bcc,PAW_PBE Cr_pv 02Aug2007; PAW_PBE Mo_sv 02Feb2006,9.069079764,9.069496324,6.045573751,3.022983423,0.052904164,11.65307,0.651413135,4.612777639,3.042511245,,-0.928300842,0.377122433,0.13181645,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,Dharmendra,452.027,160.401,160.396,160.407,452.041,452.046,76.392,76.392,76.392,104.162,94.363,99.263,257.614,368.018,233.897,208.561,270.569,225.914,263.894,0.329,0.385316792,2.595267117
unique_1,dos,/project/daidhy/mcdc/dpant/Project_3_DOS_4_bonds_5_ML_6_LLD/36-atom-Binary-DOS_E_VRH/CrNb/dos,Cr18Nb18,36,bcc,PAW_PBE Cr_pv 02Aug2007; PAW_PBE Nb_sv 25May2007,9.276654323,9.304718968,6.203197964,3.098387984,0.084330796,10.914599,0.938473162,4.932915972,2.510160848,,-0.461939733,0.509190187,0.129935342,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,Dharmendra,326.51,139.667,139.684,139.698,326.51,326.525,43.119,43.126,43.13,63.241,54.96,59.101,201.96,242.811,138.134,120.778,164.51,132.592,161.545,0.367,0.292637156,3.417201061
unique_2,dos,/project/daidhy/mcdc/dpant/Project_3_DOS_4_bonds_5_ML_6_LLD/36-atom-Binary-DOS_E_VRH/CrTa/dos,Cr18Ta18,36,bcc,PAW_PBE Cr_pv 02Aug2007; PAW_PBE Ta_pv 07Sep2000,9.381555137,9.286601917,6.197979987,3.107060366,0.099060867,7.388097,0.972205991,4.847672778,2.45141383,,-0.436757021,0.578528552,0.108130095,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,Dharmendra,318.521,164.929,164.928,164.988,318.627,318.627,46.133,46.135,46.136,58.41,54.908,56.659,216.163,206.055,142.497,129.212,160.962,138.36,156.319,0.379,0.262112387,3.815157351
unique_3,dos,/project/daidhy/mcdc/dpant/Project_3_DOS_4_bonds_5_ML_6_LLD/36-atom-Binary-DOS_E_VRH/CrTi/dos,Cr18Ti18,36,bcc,PAW_PBE Cr_pv 02Aug2007; PAW_PBE Ti_sv 26Sep2005,9.267599176,9.103031238,5.998205659,3.04014118,0.175306842,9.377167,1.411203475,4.463305181,2.971139929,,-0.119761248,0.770931314,0.231823675,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,Dharmendra,229.641,125.31,125.314,125.296,229.619,229.598,28.963,28.967,28.959,38.24,35.23,36.735,160.078,141.14,91.546,81.947,105.307,88.53,102.374,0.393,0.229481878,4.357642567
unique_4,dos,/project/daidhy/mcdc/dpant/Project_3_DOS_4_bonds_5_ML_6_LLD/36-atom-Binary-DOS_E_VRH/CrV/dos,Cr18V18,36,bcc,PAW_PBE Cr_pv 02Aug2007; PAW_PBE V_sv 02Aug2007,8.735637611,8.73552509,5.83233565,2.913280076,0.027233005,10.245223,1.221334394,4.744747222,2.579064634,,,,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,Dharmendra,381.021,143.255,143.252,143.263,381.031,381.024,46.204,46.213,46.212,75.28,61.166,68.223,222.513,302.737,151.276,129.654,185.858,144.278,185.691,0.361,0.306602311,3.26155402
unique_5,dos,/project/daidhy/mcdc/dpant/Project_3_DOS_4_bonds_5_ML_6_LLD/36-atom-Binary-DOS_E_VRH/CrW/dos,Cr18W18,36,bcc,PAW_PBE Cr_pv 02Aug2007; PAW_PBE W_sv 04Sep2015,9.119122798,9.114341712,6.0867957,3.040383227,0.050125302,10.830083,0.531846667,4.471260972,2.894146165,,,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,Dharmendra,489.963,172.888,172.879,172.875,489.969,489.943,104.618,104.619,104.629,126.189,121.095,123.642,278.573,399.777,301.746,278.946,332.026,294.739,323.121,0.307,0.443840573,2.253061259
unique_6,dos,/project/daidhy/mcdc/dpant/Project_3_DOS_4_bonds_5_ML_6_LLD/36-atom-Binary-DOS_E_VRH/MoHf/dos,Hf18Mo18,36,bcc,PAW_PBE Hf_pv 06Sep2000; PAW_PBE Mo_sv 02Feb2006,10.0250894,9.95938303,6.679313074,3.332878187,0.132252838,7.812233,1.121063782,4.324035,3.008227343,,-0.074353698,0.503570191,0.17670889,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,Dharmendra,237.98,120.128,120.131,120.127,237.97,237.977,44.805,44.8,44.805,50.451,49.553,50.002,159.411,157.38,130.018,122.896,139.006,127.863,135.807,0.358,0.313667187,3.18809248
unique_7,dos,/project/daidhy/mcdc/dpant/Project_3_DOS_4_bonds_5_ML_6_LLD/36-atom-Binary-DOS_E_VRH/MoNb/dos,Mo18Nb18,36,bcc,PAW_PBE Mo_sv 02Feb2006; PAW_PBE Nb_sv 25May2007,9.683706226,9.690880525,6.455128152,3.228584161,0.029584237,11.649125,0.700600851,4.904334861,3.472347451,,0.037469749,0.301861692,0.094558468,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,Dharmendra,383.335,133.814,133.81,137.308,380.083,380.085,72.112,73.128,72.11,92.708,86.715,89.711,217.041,310.522,215.524,195.58,243.194,209.316,236.544,0.318,0.413336651,2.41933542
unique_8,dos,/project/daidhy/mcdc/dpant/Project_3_DOS_4_bonds_5_ML_6_LLD/36-atom-Binary-DOS_E_VRH/MoTa/dos,Mo18Ta18,36,bcc,PAW_PBE Mo_sv 02Feb2006; PAW_PBE Ta_pv 07Sep2000,9.699515093,9.697993393,6.469869373,3.233582318,0.038613892,8.524849,0.827043634,4.542811389,2.488785076,,-0.419649817,0.411022172,0.09224629,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,Dharmendra,386.601,156.785,159.219,159.219,386.601,378.059,74.709,74.794,74.794,89.929,86.381,88.155,233.523,291.079,219.321,202.667,241.459,214.201,234.905,0.332,0.377500289,2.649004595
unique_9,dos,/project/daidhy/mcdc/dpant/Project_3_DOS_4_bonds_5_ML_6_LLD/36-atom-Binary-DOS_E_VRH/MoTi/dos,Mo18Ti18,36,bcc,PAW_PBE Mo_sv 02Feb2006; PAW_PBE Ti_sv 26Sep2005,9.52871401,9.552780421,6.372616455,3.181988008,0.084011544,10.175497,1.339522532,4.567220028,2.921308498,,-0.075177866,0.661708615,0.203388421,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,Dharmendra,273.236,121.66,121.667,121.677,273.229,273.237,43.523,43.527,43.529,56.429,52.458,54.443,172.19,198.263,133.537,120.432,151.991,129.44,147.757,0.357,0.316179801,3.162757383
