     #Energy        Hf_s        Ta_s       Hf_py       Ta_py       Hf_pz       Ta_pz       Hf_px       Ta_px      Hf_dxy      Ta_dxy      Hf_dyz      Ta_dyz      Hf_dz2      Ta_dz2      Hf_dxz      Ta_dxz      Hf_dx2      Ta_dx2
   -36.07755     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -35.94055     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -35.80355     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -35.66655     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -35.52955     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -35.39255     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -35.25555     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -35.11755    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -34.98055    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -34.84355    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -34.70655    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -34.56955    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -34.43255    -0.00000    -0.00001    -0.00002    -0.01240    -0.00002    -0.01255    -0.00002    -0.01352    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -34.29555    -0.00010    -0.00027    -0.00106    -0.50912    -0.00114    -0.61274    -0.00114    -0.58995    -0.00005    -0.00016    -0.00006    -0.00013    -0.00002    -0.00003    -0.00005    -0.00011    -0.00002    -0.00003
   -34.15755     0.00118     0.00486     0.01351     7.87241     0.01517     9.48163     0.01392     9.39952     0.00067     0.00209     0.00080     0.00184     0.00034     0.00050     0.00074     0.00191     0.00024     0.00060
   -34.02055     0.01066     0.01901     0.10979    42.20400     0.11225    41.86050     0.10702    41.39240     0.00464     0.01132     0.00472     0.00985     0.00226     0.00249     0.00489     0.00926     0.00215     0.00222
   -33.88355     0.01529     0.01370     0.16387    46.87230     0.18773    47.23500     0.16100    45.59390     0.00792     0.01046     0.00791     0.01111     0.00245     0.00227     0.00759     0.01125     0.00196     0.00199
   -33.74655     0.01277     0.00906     0.18488    48.57279     0.19102    53.61270     0.17117    48.10240     0.01127     0.00900     0.01072     0.00924     0.00314     0.00135     0.01036     0.01222     0.00128     0.00151
   -33.60955     0.00451     0.00404     0.07265    26.59580     0.06806    18.11860     0.08026    27.17206     0.00543     0.00363     0.00455     0.00533     0.00073     0.00040     0.00512     0.00441     0.00045     0.00067
   -33.47255     0.00573     0.00905     0.09217    38.84220     0.08642    38.50430     0.09786    38.36770     0.00593     0.00989     0.00539     0.01057     0.00077     0.00069     0.00533     0.01058     0.00059     0.00061
   -33.33555     0.00496     0.01325     0.08824    39.22340     0.08275    40.35870     0.07907    39.35120     0.00488     0.01308     0.00517     0.01129     0.00044     0.00072     0.00467     0.01168     0.00036     0.00056
   -33.19855     0.00077     0.00318     0.01658     7.58005     0.01423     8.74913     0.01403     8.54592     0.00097     0.00290     0.00107     0.00297     0.00006     0.00015     0.00089     0.00249     0.00006     0.00009
   -33.06055    -0.00006    -0.00023    -0.00133    -0.59576    -0.00115    -0.65564    -0.00114    -0.63725    -0.00008    -0.00022    -0.00008    -0.00021    -0.00001    -0.00001    -0.00007    -0.00019    -0.00000    -0.00001
   -32.92355    -0.00000    -0.00000    -0.00001    -0.00480    -0.00001    -0.00628    -0.00001    -0.00639    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -32.78655    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -32.64955    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -32.51255     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -32.37555     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -32.23855     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -32.10055     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -31.96355     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -31.82655     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -31.68955     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -31.55255     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -31.41555    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
