     #Energy       W_all      Mo_all      Os_all
   -78.30805     0.00000     0.00000     0.00000
   -78.29705     0.00000     0.00000     0.00000
   -78.28705     0.00000     0.00000     0.00000
   -78.27605     0.00000     0.00000     0.00000
   -78.26505     0.00000     0.00000     0.00000
   -78.25505     0.00000     0.00000     0.00000
   -78.24405     0.00000     0.00000     0.00000
   -78.23305     0.00000     0.00000     0.00000
   -78.22305     0.00000     0.00000     0.00000
   -78.21205     0.00000     0.00000     0.00000
   -78.20105     0.00000     0.00000     0.00000
   -78.19005     0.00000     0.00000     0.00000
   -78.18005     0.00000     0.00000     0.00000
   -78.16905     0.00000     0.00000     0.00000
   -78.15805     0.00000     0.00000     0.00000
   -78.14805     0.00000     0.00000     0.00000
   -78.13705     0.00000     0.00000     0.00000
   -78.12605     0.00000     0.00000     0.00000
   -78.11605     0.00000     0.00000     0.00000
   -78.10505     0.00000     0.00000     0.00000
   -78.09405     0.00000     0.00000     0.00000
   -78.08305     0.00000     0.00000     0.00000
   -78.07305     0.00000     0.00000     0.00000
   -78.06205     0.00000     0.00000     0.00000
   -78.05105     0.00000     0.00000     0.00000
   -78.04105     0.00000     0.00000     0.00000
   -78.03005     0.00000     0.00000     0.00000
   -78.01905     0.00000     0.00000     0.00000
   -78.00805     0.00000     0.00000     0.00000
   -77.99805     0.00000     0.00000     0.00000
   -77.98705     0.00000     0.00000     0.00000
   -77.97605     0.00000     0.00000     0.00000
   -77.96605     0.00000     0.00000     0.00000
   -77.95505     0.00000     0.00000     0.00000
   -77.94405     0.00000     0.00000     0.00000
   -77.93405     0.00000     0.00000     0.00000
   -77.92305     0.00000     0.00000     0.00000
   -77.91205     0.00000     0.00000     0.00000
   -77.90105     0.00000     0.00000     0.00000
   -77.89105     0.00000     0.00000     0.00000
   -77.88005     0.00000     0.00000     0.00000
   -77.86905     0.00000     0.00000     0.00000
   -77.85905     0.00000     0.00000     0.00000
   -77.84805     0.00000     0.00000     0.00000
   -77.83705     0.00000     0.00000     0.00000
   -77.82605     0.00000     0.00000     0.00000
   -77.81605     0.00000     0.00000     0.00000
   -77.80505     0.00000     0.00000     0.00000
   -77.79405     0.00000     0.00000     0.00000
   -77.78405     0.00000     0.00000     0.00000
   -77.77305     0.00000     0.00000     0.00000
   -77.76205     0.00000     0.00000     0.00000
   -77.75205     0.00000     0.00000     0.00000
   -77.74105     0.00000     0.00000     0.00000
   -77.73005     0.00000     0.00000     0.00000
   -77.71905     0.00000     0.00000     0.00000
   -77.70905     0.00000     0.00000     0.00000
   -77.69805     0.00000     0.00000     0.00000
   -77.68705     0.00000     0.00000     0.00000
   -77.67705     0.00000     0.00000     0.00000
   -77.66605     0.00000     0.00000     0.00000
   -77.65505     0.00000     0.00000     0.00000
   -77.64505     0.00000     0.00000     0.00000
   -77.63405     0.00000     0.00000     0.00000
   -77.62305     0.00000     0.00000     0.00000
   -77.61205     0.00000     0.00000     0.00000
   -77.60205     0.00000     0.00000     0.00000
   -77.59105     0.00000     0.00000     0.00000
   -77.58005     0.00000     0.00000     0.00000
   -77.57005     0.00000     0.00000     0.00000
   -77.55905     0.00000     0.00000     0.00000
   -77.54805     0.00000     0.00000     0.00000
   -77.53705     0.00000     0.00000     0.00000
   -77.52705     0.00000     0.00000     0.00000
   -77.51605     0.00000     0.00000     0.00000
   -77.50505     0.00000     0.00000     0.00000
   -77.49505     0.00000     0.00000     0.00000
   -77.48405     0.00000     0.00000     0.00000
   -77.47305     0.00000     0.00000     0.00000
   -77.46305     0.00000     0.00000     0.00000
   -77.45205     0.00000     0.00000     0.00000
   -77.44105     0.00000     0.00000     0.00000
   -77.43005     0.00000     0.00000     0.00000
   -77.42005     0.00000     0.00000     0.00000
   -77.40905     0.00000     0.00000     0.00000
   -77.39805     0.00000     0.00000     0.00000
   -77.38805     0.00000     0.00000     0.00000
   -77.37705     0.00000     0.00000     0.00000
   -77.36605     0.00000     0.00000     0.00000
   -77.35605     0.00000     0.00000     0.00000
   -77.34505     0.00000     0.00000     0.00000
   -77.33405     0.00000     0.00000     0.00000
   -77.32305     0.00000     0.00000     0.00000
   -77.31305     0.00000     0.00000     0.00000
   -77.30205     0.00000     0.00000     0.00000
   -77.29105     0.00000     0.00000     0.00000
   -77.28105     0.00000     0.00000     0.00000
   -77.27005     0.00000     0.00000     0.00000
   -77.25905     0.00000     0.00000     0.00000
   -77.24805     0.00000     0.00000     0.00000
   -77.23805     0.00000     0.00000     0.00000
   -77.22705     0.00000     0.00000     0.00000
   -77.21605     0.00000     0.00000     0.00000
   -77.20605     0.00000     0.00000     0.00000
   -77.19505     0.00000     0.00000     0.00000
   -77.18405     0.00000     0.00000     0.00000
   -77.17405     0.00000     0.00000     0.00000
   -77.16305     0.00000     0.00000     0.00000
   -77.15205     0.00000     0.00000     0.00000
   -77.14105     0.00000     0.00000     0.00000
   -77.13105     0.00000     0.00000     0.00000
   -77.12005     0.00000     0.00000     0.00000
   -77.10905     0.00000     0.00000     0.00000
   -77.09905     0.00000     0.00000     0.00000
   -77.08805     0.00000     0.00000     0.00000
   -77.07705     0.00000     0.00000     0.00000
   -77.06605     0.00000     0.00000     0.00000
   -77.05605     0.00000     0.00000     0.00000
   -77.04505     0.00000     0.00000     0.00000
   -77.03405     0.00000     0.00000     0.00000
   -77.02405     0.00000     0.00000     0.00000
   -77.01305     0.00000     0.00000     0.00000
   -77.00205     0.00000     0.00000     0.00000
   -76.99205     0.00000     0.00000     0.00000
   -76.98105     0.00000     0.00000     0.00000
   -76.97005     0.00000     0.00000     0.00000
   -76.95905     0.00000     0.00000     0.00000
   -76.94905     0.00000     0.00000     0.00000
   -76.93805     0.00000     0.00000     0.00000
   -76.92705     0.00000     0.00000     0.00000
   -76.91705     0.00000     0.00000     0.00000
   -76.90605     0.00000     0.00000     0.00000
   -76.89505     0.00000     0.00000     0.00000
   -76.88505     0.00000     0.00000     0.00000
   -76.87405     0.00000     0.00000     0.00000
   -76.86305     0.00000     0.00000     0.00000
   -76.85205     0.00000     0.00000     0.00000
   -76.84205     0.00000     0.00000     0.00000
   -76.83105     0.00000     0.00000     0.00000
   -76.82005     0.00000     0.00000     0.00000
   -76.81005     0.00000     0.00000     0.00000
   -76.79905     0.00000     0.00000     0.00000
   -76.78805     0.00000     0.00000     0.00000
   -76.77705     0.00000     0.00000     0.00000
   -76.76705     0.00000     0.00000     0.00000
   -76.75605     0.00000     0.00000     0.00000
   -76.74505     0.00000     0.00000     0.00000
   -76.73505     0.00000     0.00000     0.00000
   -76.72405     0.00000     0.00000     0.00000
   -76.71305     0.00000     0.00000     0.00000
   -76.70305     0.00000     0.00000     0.00000
   -76.69205     0.00000     0.00000     0.00000
   -76.68105     0.00000     0.00000     0.00000
   -76.67005     0.00000     0.00000     0.00000
   -76.66005     0.00000     0.00000     0.00000
   -76.64905     0.00000     0.00000     0.00000
   -76.63805     0.00000     0.00000     0.00000
   -76.62805     0.00000     0.00000     0.00000
   -76.61705     0.00000     0.00000     0.00000
   -76.60605     0.00000     0.00000     0.00000
   -76.59505     0.00000     0.00000     0.00000
   -76.58505     0.00000     0.00000     0.00000
   -76.57405     0.00000     0.00000     0.00000
   -76.56305     0.00000     0.00000     0.00000
   -76.55305     0.00000     0.00000     0.00000
   -76.54205     0.00000     0.00000     0.00000
   -76.53105     0.00000     0.00000     0.00000
   -76.52105     0.00000     0.00000     0.00000
   -76.51005     0.00000     0.00000     0.00000
   -76.49905     0.00000     0.00000     0.00000
   -76.48805     0.00000     0.00000     0.00000
   -76.47805     0.00000     0.00000     0.00000
   -76.46705     0.00000     0.00000     0.00000
   -76.45605     0.00000     0.00000     0.00000
   -76.44605     0.00000     0.00000     0.00000
   -76.43505     0.00000     0.00000     0.00000
   -76.42405     0.00000     0.00000     0.00000
   -76.41405     0.00000     0.00000     0.00000
   -76.40305     0.00000     0.00000     0.00000
   -76.39205     0.00000     0.00000     0.00000
   -76.38105     0.00000     0.00000     0.00000
   -76.37105     0.00000     0.00000     0.00000
   -76.36005     0.00000     0.00000     0.00000
   -76.34905     0.00000     0.00000     0.00000
   -76.33905     0.00000     0.00000     0.00000
   -76.32805     0.00000     0.00000     0.00000
   -76.31705     0.00000     0.00000     0.00000
   -76.30605     0.00000     0.00000     0.00000
   -76.29605     0.00000     0.00000     0.00000
   -76.28505     0.00000     0.00000     0.00000
   -76.27405     0.00000     0.00000     0.00000
   -76.26405     0.00000     0.00000     0.00000
   -76.25305     0.00000     0.00000     0.00000
   -76.24205     0.00000     0.00000     0.00000
   -76.23205     0.00000     0.00000     0.00000
   -76.22105     0.00000     0.00000     0.00000
   -76.21005     0.00000     0.00000     0.00000
   -76.19905     0.00000     0.00000     0.00000
   -76.18905     0.00000     0.00000     0.00000
   -76.17805     0.00000     0.00000     0.00000
   -76.16705     0.00000     0.00000     0.00000
   -76.15705     0.00000     0.00000     0.00000
   -76.14605     0.00000     0.00000     0.00000
   -76.13505     0.00000     0.00000     0.00000
   -76.12505     0.00000     0.00000     0.00000
   -76.11405     0.00000     0.00000     0.00000
   -76.10305     0.00000     0.00000     0.00000
   -76.09205     0.00000     0.00000     0.00000
   -76.08205     0.00000     0.00000     0.00000
   -76.07105     0.00000     0.00000     0.00000
   -76.06005     0.00000     0.00000     0.00000
   -76.05005     0.00000     0.00000     0.00000
   -76.03905     0.00000     0.00000     0.00000
   -76.02805     0.00000     0.00000     0.00000
   -76.01705     0.00000     0.00000     0.00000
   -76.00705     0.00000     0.00000     0.00000
   -75.99605     0.00000     0.00000     0.00000
   -75.98505     0.00000     0.00000     0.00000
   -75.97505     0.00000     0.00000     0.00000
   -75.96405     0.00000     0.00000     0.00000
   -75.95305     0.00000     0.00000     0.00000
   -75.94305     0.00000     0.00000     0.00000
   -75.93205     0.00000     0.00000     0.00000
   -75.92105     0.00000     0.00000     0.00000
   -75.91005     0.00000     0.00000     0.00000
