     #Energy       W_all      Mo_all      Pd_all      Ti_all
   -77.91232     0.00000     0.00000     0.00000     0.00000
   -77.90132     0.00000     0.00000     0.00000     0.00000
   -77.89132     0.00000     0.00000     0.00000     0.00000
   -77.88032     0.00000     0.00000     0.00000     0.00000
   -77.86932     0.00000     0.00000     0.00000     0.00000
   -77.85932     0.00000     0.00000     0.00000     0.00000
   -77.84832     0.00000     0.00000     0.00000     0.00000
   -77.83732     0.00000     0.00000     0.00000     0.00000
   -77.82732     0.00000     0.00000     0.00000     0.00000
   -77.81632     0.00000     0.00000     0.00000     0.00000
   -77.80632     0.00000     0.00000     0.00000     0.00000
   -77.79532     0.00000     0.00000     0.00000     0.00000
   -77.78432     0.00000     0.00000     0.00000     0.00000
   -77.77432     0.00000     0.00000     0.00000     0.00000
   -77.76332     0.00000     0.00000     0.00000     0.00000
   -77.75232     0.00000     0.00000     0.00000     0.00000
   -77.74232     0.00000     0.00000     0.00000     0.00000
   -77.73132     0.00000     0.00000     0.00000     0.00000
   -77.72032     0.00000     0.00000     0.00000     0.00000
   -77.71032     0.00000     0.00000     0.00000     0.00000
   -77.69932     0.00000     0.00000     0.00000     0.00000
   -77.68832     0.00000     0.00000     0.00000     0.00000
   -77.67832     0.00000     0.00000     0.00000     0.00000
   -77.66732     0.00000     0.00000     0.00000     0.00000
   -77.65632     0.00000     0.00000     0.00000     0.00000
   -77.64632     0.00000     0.00000     0.00000     0.00000
   -77.63532     0.00000     0.00000     0.00000     0.00000
   -77.62432     0.00000     0.00000     0.00000     0.00000
   -77.61432     0.00000     0.00000     0.00000     0.00000
   -77.60332     0.00000     0.00000     0.00000     0.00000
   -77.59232     0.00000     0.00000     0.00000     0.00000
   -77.58232     0.00000     0.00000     0.00000     0.00000
   -77.57132     0.00000     0.00000     0.00000     0.00000
   -77.56032     0.00000     0.00000     0.00000     0.00000
   -77.55032     0.00000     0.00000     0.00000     0.00000
   -77.53932     0.00000     0.00000     0.00000     0.00000
   -77.52832     0.00000     0.00000     0.00000     0.00000
   -77.51832     0.00000     0.00000     0.00000     0.00000
   -77.50732     0.00000     0.00000     0.00000     0.00000
   -77.49632     0.00000     0.00000     0.00000     0.00000
   -77.48632     0.00000     0.00000     0.00000     0.00000
   -77.47532     0.00000     0.00000     0.00000     0.00000
   -77.46432     0.00000     0.00000     0.00000     0.00000
   -77.45432     0.00000     0.00000     0.00000     0.00000
   -77.44332     0.00000     0.00000     0.00000     0.00000
   -77.43232     0.00000     0.00000     0.00000     0.00000
   -77.42232     0.00000     0.00000     0.00000     0.00000
   -77.41132     0.00000     0.00000     0.00000     0.00000
   -77.40032     0.00000     0.00000     0.00000     0.00000
   -77.39032     0.00000     0.00000     0.00000     0.00000
   -77.37932     0.00000     0.00000     0.00000     0.00000
   -77.36832     0.00000     0.00000     0.00000     0.00000
   -77.35832     0.00000     0.00000     0.00000     0.00000
   -77.34732     0.00000     0.00000     0.00000     0.00000
   -77.33632     0.00000     0.00000     0.00000     0.00000
   -77.32632     0.00000     0.00000     0.00000     0.00000
   -77.31532     0.00000     0.00000     0.00000     0.00000
   -77.30432     0.00000     0.00000     0.00000     0.00000
   -77.29432     0.00000     0.00000     0.00000     0.00000
   -77.28332     0.00000     0.00000     0.00000     0.00000
   -77.27232     0.00000     0.00000     0.00000     0.00000
   -77.26232     0.00000     0.00000     0.00000     0.00000
   -77.25132     0.00000     0.00000     0.00000     0.00000
   -77.24032     0.00000     0.00000     0.00000     0.00000
   -77.23032     0.00000     0.00000     0.00000     0.00000
   -77.21932     0.00000     0.00000     0.00000     0.00000
   -77.20932     0.00000     0.00000     0.00000     0.00000
   -77.19832     0.00000     0.00000     0.00000     0.00000
   -77.18732     0.00000     0.00000     0.00000     0.00000
   -77.17732     0.00000     0.00000     0.00000     0.00000
   -77.16632     0.00000     0.00000     0.00000     0.00000
   -77.15532     0.00000     0.00000     0.00000     0.00000
   -77.14532     0.00000     0.00000     0.00000     0.00000
   -77.13432     0.00000     0.00000     0.00000     0.00000
   -77.12332     0.00000     0.00000     0.00000     0.00000
   -77.11332     0.00000     0.00000     0.00000     0.00000
   -77.10232     0.00000     0.00000     0.00000     0.00000
   -77.09132     0.00000     0.00000     0.00000     0.00000
   -77.08132     0.00000     0.00000     0.00000     0.00000
   -77.07032     0.00000     0.00000     0.00000     0.00000
   -77.05932     0.00000     0.00000     0.00000     0.00000
   -77.04932     0.00000     0.00000     0.00000     0.00000
   -77.03832     0.00000     0.00000     0.00000     0.00000
   -77.02732     0.00000     0.00000     0.00000     0.00000
   -77.01732     0.00000     0.00000     0.00000     0.00000
   -77.00632     0.00000     0.00000     0.00000     0.00000
   -76.99532     0.00000     0.00000     0.00000     0.00000
   -76.98532     0.00000     0.00000     0.00000     0.00000
   -76.97432     0.00000     0.00000     0.00000     0.00000
   -76.96332     0.00000     0.00000     0.00000     0.00000
   -76.95332     0.00000     0.00000     0.00000     0.00000
   -76.94232     0.00000     0.00000     0.00000     0.00000
   -76.93132     0.00000     0.00000     0.00000     0.00000
   -76.92132     0.00000     0.00000     0.00000     0.00000
   -76.91032     0.00000     0.00000     0.00000     0.00000
   -76.89932     0.00000     0.00000     0.00000     0.00000
   -76.88932     0.00000     0.00000     0.00000     0.00000
   -76.87832     0.00000     0.00000     0.00000     0.00000
   -76.86732     0.00000     0.00000     0.00000     0.00000
   -76.85732     0.00000     0.00000     0.00000     0.00000
   -76.84632     0.00000     0.00000     0.00000     0.00000
   -76.83532     0.00000     0.00000     0.00000     0.00000
   -76.82532     0.00000     0.00000     0.00000     0.00000
   -76.81432     0.00000     0.00000     0.00000     0.00000
   -76.80332     0.00000     0.00000     0.00000     0.00000
   -76.79332     0.00000     0.00000     0.00000     0.00000
   -76.78232     0.00000     0.00000     0.00000     0.00000
   -76.77132     0.00000     0.00000     0.00000     0.00000
   -76.76132     0.00000     0.00000     0.00000     0.00000
   -76.75032     0.00000     0.00000     0.00000     0.00000
   -76.73932     0.00000     0.00000     0.00000     0.00000
   -76.72932     0.00000     0.00000     0.00000     0.00000
   -76.71832     0.00000     0.00000     0.00000     0.00000
   -76.70732     0.00000     0.00000     0.00000     0.00000
   -76.69732     0.00000     0.00000     0.00000     0.00000
   -76.68632     0.00000     0.00000     0.00000     0.00000
