     #Energy       W_all      Mo_all      Pt_all      Ti_all
   -78.08832     0.00000     0.00000     0.00000     0.00000
   -78.07732     0.00000     0.00000     0.00000     0.00000
   -78.06732     0.00000     0.00000     0.00000     0.00000
   -78.05632     0.00000     0.00000     0.00000     0.00000
   -78.04532     0.00000     0.00000     0.00000     0.00000
   -78.03532     0.00000     0.00000     0.00000     0.00000
   -78.02432     0.00000     0.00000     0.00000     0.00000
   -78.01332     0.00000     0.00000     0.00000     0.00000
   -78.00332     0.00000     0.00000     0.00000     0.00000
   -77.99232     0.00000     0.00000     0.00000     0.00000
   -77.98132     0.00000     0.00000     0.00000     0.00000
   -77.97132     0.00000     0.00000     0.00000     0.00000
   -77.96032     0.00000     0.00000     0.00000     0.00000
   -77.94932     0.00000     0.00000     0.00000     0.00000
   -77.93932     0.00000     0.00000     0.00000     0.00000
   -77.92832     0.00000     0.00000     0.00000     0.00000
   -77.91732     0.00000     0.00000     0.00000     0.00000
   -77.90732     0.00000     0.00000     0.00000     0.00000
   -77.89632     0.00000     0.00000     0.00000     0.00000
   -77.88532     0.00000     0.00000     0.00000     0.00000
   -77.87532     0.00000     0.00000     0.00000     0.00000
   -77.86432     0.00000     0.00000     0.00000     0.00000
   -77.85332     0.00000     0.00000     0.00000     0.00000
   -77.84332     0.00000     0.00000     0.00000     0.00000
   -77.83232     0.00000     0.00000     0.00000     0.00000
   -77.82132     0.00000     0.00000     0.00000     0.00000
   -77.81132     0.00000     0.00000     0.00000     0.00000
   -77.80032     0.00000     0.00000     0.00000     0.00000
   -77.78932     0.00000     0.00000     0.00000     0.00000
   -77.77932     0.00000     0.00000     0.00000     0.00000
   -77.76832     0.00000     0.00000     0.00000     0.00000
   -77.75732     0.00000     0.00000     0.00000     0.00000
   -77.74732     0.00000     0.00000     0.00000     0.00000
   -77.73632     0.00000     0.00000     0.00000     0.00000
   -77.72532     0.00000     0.00000     0.00000     0.00000
   -77.71532     0.00000     0.00000     0.00000     0.00000
   -77.70432     0.00000     0.00000     0.00000     0.00000
   -77.69332     0.00000     0.00000     0.00000     0.00000
   -77.68232     0.00000     0.00000     0.00000     0.00000
   -77.67232     0.00000     0.00000     0.00000     0.00000
   -77.66132     0.00000     0.00000     0.00000     0.00000
   -77.65032     0.00000     0.00000     0.00000     0.00000
   -77.64032     0.00000     0.00000     0.00000     0.00000
   -77.62932     0.00000     0.00000     0.00000     0.00000
   -77.61832     0.00000     0.00000     0.00000     0.00000
   -77.60832     0.00000     0.00000     0.00000     0.00000
   -77.59732     0.00000     0.00000     0.00000     0.00000
   -77.58632     0.00000     0.00000     0.00000     0.00000
   -77.57632     0.00000     0.00000     0.00000     0.00000
   -77.56532     0.00000     0.00000     0.00000     0.00000
   -77.55432     0.00000     0.00000     0.00000     0.00000
   -77.54432     0.00000     0.00000     0.00000     0.00000
   -77.53332     0.00000     0.00000     0.00000     0.00000
   -77.52232     0.00000     0.00000     0.00000     0.00000
   -77.51232     0.00000     0.00000     0.00000     0.00000
   -77.50132     0.00000     0.00000     0.00000     0.00000
   -77.49032     0.00000     0.00000     0.00000     0.00000
   -77.48032     0.00000     0.00000     0.00000     0.00000
   -77.46932     0.00000     0.00000     0.00000     0.00000
   -77.45832     0.00000     0.00000     0.00000     0.00000
   -77.44832     0.00000     0.00000     0.00000     0.00000
   -77.43732     0.00000     0.00000     0.00000     0.00000
   -77.42632     0.00000     0.00000     0.00000     0.00000
   -77.41632     0.00000     0.00000     0.00000     0.00000
   -77.40532     0.00000     0.00000     0.00000     0.00000
   -77.39432     0.00000     0.00000     0.00000     0.00000
   -77.38432     0.00000     0.00000     0.00000     0.00000
   -77.37332     0.00000     0.00000     0.00000     0.00000
   -77.36232     0.00000     0.00000     0.00000     0.00000
   -77.35232     0.00000     0.00000     0.00000     0.00000
   -77.34132     0.00000     0.00000     0.00000     0.00000
   -77.33032     0.00000     0.00000     0.00000     0.00000
   -77.32032     0.00000     0.00000     0.00000     0.00000
   -77.30932     0.00000     0.00000     0.00000     0.00000
   -77.29832     0.00000     0.00000     0.00000     0.00000
   -77.28832     0.00000     0.00000     0.00000     0.00000
   -77.27732     0.00000     0.00000     0.00000     0.00000
   -77.26632     0.00000     0.00000     0.00000     0.00000
   -77.25632     0.00000     0.00000     0.00000     0.00000
   -77.24532     0.00000     0.00000     0.00000     0.00000
   -77.23432     0.00000     0.00000     0.00000     0.00000
   -77.22432     0.00000     0.00000     0.00000     0.00000
   -77.21332     0.00000     0.00000     0.00000     0.00000
   -77.20232     0.00000     0.00000     0.00000     0.00000
   -77.19232     0.00000     0.00000     0.00000     0.00000
   -77.18132     0.00000     0.00000     0.00000     0.00000
   -77.17032     0.00000     0.00000     0.00000     0.00000
   -77.16032     0.00000     0.00000     0.00000     0.00000
   -77.14932     0.00000     0.00000     0.00000     0.00000
   -77.13832     0.00000     0.00000     0.00000     0.00000
   -77.12832     0.00000     0.00000     0.00000     0.00000
   -77.11732     0.00000     0.00000     0.00000     0.00000
   -77.10632     0.00000     0.00000     0.00000     0.00000
   -77.09632     0.00000     0.00000     0.00000     0.00000
   -77.08532     0.00000     0.00000     0.00000     0.00000
   -77.07432     0.00000     0.00000     0.00000     0.00000
   -77.06332     0.00000     0.00000     0.00000     0.00000
   -77.05332     0.00000     0.00000     0.00000     0.00000
   -77.04232     0.00000     0.00000     0.00000     0.00000
   -77.03132     0.00000     0.00000     0.00000     0.00000
   -77.02132     0.00000     0.00000     0.00000     0.00000
   -77.01032     0.00000     0.00000     0.00000     0.00000
   -76.99932     0.00000     0.00000     0.00000     0.00000
   -76.98932     0.00000     0.00000     0.00000     0.00000
   -76.97832     0.00000     0.00000     0.00000     0.00000
   -76.96732     0.00000     0.00000     0.00000     0.00000
   -76.95732     0.00000     0.00000     0.00000     0.00000
   -76.94632     0.00000     0.00000     0.00000     0.00000
   -76.93532     0.00000     0.00000     0.00000     0.00000
   -76.92532     0.00000     0.00000     0.00000     0.00000
   -76.91432     0.00000     0.00000     0.00000     0.00000
   -76.90332     0.00000     0.00000     0.00000     0.00000
   -76.89332     0.00000     0.00000     0.00000     0.00000
   -76.88232     0.00000     0.00000     0.00000     0.00000
   -76.87132     0.00000     0.00000     0.00000     0.00000
   -76.86132     0.00000     0.00000     0.00000     0.00000
   -76.85032     0.00000     0.00000     0.00000     0.00000
   -76.83932     0.00000     0.00000     0.00000     0.00000
   -76.82932     0.00000     0.00000     0.00000     0.00000
   -76.81832     0.00000     0.00000     0.00000     0.00000
   -76.80732     0.00000     0.00000     0.00000     0.00000
   -76.79732     0.00000     0.00000     0.00000     0.00000
   -76.78632     0.00000     0.00000     0.00000     0.00000
   -76.77532     0.00000     0.00000     0.00000     0.00000
   -76.76532     0.00000     0.00000     0.00000     0.00000
   -76.75432     0.00000     0.00000     0.00000     0.00000
   -76.74332     0.00000     0.00000     0.00000     0.00000
   -76.73332     0.00000     0.00000     0.00000     0.00000
   -76.72232     0.00000     0.00000     0.00000     0.00000
   -76.71132     0.00000     0.00000     0.00000     0.00000
   -76.70132     0.00000     0.00000     0.00000     0.00000
   -76.69032     0.00000     0.00000     0.00000     0.00000
   -76.67932     0.00000     0.00000     0.00000     0.00000
   -76.66932     0.00000     0.00000     0.00000     0.00000
   -76.65832     0.00000     0.00000     0.00000     0.00000
   -76.64732     0.00000     0.00000     0.00000     0.00000
   -76.63732     0.00000     0.00000     0.00000     0.00000
   -76.62632     0.00000     0.00000     0.00000     0.00000
   -76.61532     0.00000     0.00000     0.00000     0.00000
   -76.60532     0.00000     0.00000     0.00000     0.00000
   -76.59432     0.00000     0.00000     0.00000     0.00000
   -76.58332     0.00000     0.00000     0.00000     0.00000
   -76.57332     0.00000     0.00000     0.00000     0.00000
   -76.56232     0.00000     0.00000     0.00000     0.00000
   -76.55132     0.00000     0.00000     0.00000     0.00000
   -76.54132     0.00000     0.00000     0.00000     0.00000
   -76.53032     0.00000     0.00000     0.00000     0.00000
   -76.51932     0.00000     0.00000     0.00000     0.00000
   -76.50932     0.00000     0.00000     0.00000     0.00000
   -76.49832     0.00000     0.00000     0.00000     0.00000
   -76.48732     0.00000     0.00000     0.00000     0.00000
   -76.47632     0.00000     0.00000     0.00000     0.00000
   -76.46632     0.00000     0.00000     0.00000     0.00000
   -76.45532     0.00000     0.00000     0.00000     0.00000
   -76.44432     0.00000     0.00000     0.00000     0.00000
   -76.43432     0.00000     0.00000     0.00000     0.00000
   -76.42332     0.00000     0.00000     0.00000     0.00000
   -76.41232     0.00000     0.00000     0.00000     0.00000
   -76.40232     0.00000     0.00000     0.00000     0.00000
   -76.39132     0.00000     0.00000     0.00000     0.00000
   -76.38032     0.00000     0.00000     0.00000     0.00000
   -76.37032     0.00000     0.00000     0.00000     0.00000
   -76.35932     0.00000     0.00000     0.00000     0.00000
   -76.34832     0.00000     0.00000     0.00000     0.00000
   -76.33832     0.00000     0.00000     0.00000     0.00000
   -76.32732     0.00000     0.00000     0.00000     0.00000
   -76.31632     0.00000     0.00000     0.00000     0.00000
   -76.30632     0.00000     0.00000     0.00000     0.00000
   -76.29532     0.00000     0.00000     0.00000     0.00000
   -76.28432     0.00000     0.00000     0.00000     0.00000
   -76.27432     0.00000     0.00000     0.00000     0.00000
   -76.26332     0.00000     0.00000     0.00000     0.00000
   -76.25232     0.00000     0.00000     0.00000     0.00000
   -76.24232     0.00000     0.00000     0.00000     0.00000
   -76.23132     0.00000     0.00000     0.00000     0.00000
   -76.22032     0.00000     0.00000     0.00000     0.00000
   -76.21032     0.00000     0.00000     0.00000     0.00000
   -76.19932     0.00000     0.00000     0.00000     0.00000
   -76.18832     0.00000     0.00000     0.00000     0.00000
   -76.17832     0.00000     0.00000     0.00000     0.00000
   -76.16732     0.00000     0.00000     0.00000     0.00000
   -76.15632     0.00000     0.00000     0.00000     0.00000
   -76.14632     0.00000     0.00000     0.00000     0.00000
   -76.13532     0.00000     0.00000     0.00000     0.00000
   -76.12432     0.00000     0.00000     0.00000     0.00000
   -76.11432     0.00000     0.00000     0.00000     0.00000
   -76.10332     0.00000     0.00000     0.00000     0.00000
   -76.09232     0.00000     0.00000     0.00000     0.00000
   -76.08232     0.00000     0.00000     0.00000     0.00000
   -76.07132     0.00000     0.00000     0.00000     0.00000
   -76.06032     0.00000     0.00000     0.00000     0.00000
   -76.05032     0.00000     0.00000     0.00000     0.00000
   -76.03932     0.00000     0.00000     0.00000     0.00000
   -76.02832     0.00000     0.00000     0.00000     0.00000
   -76.01832     0.00000     0.00000     0.00000     0.00000
   -76.00732     0.00000     0.00000     0.00000     0.00000
   -75.99632     0.00000     0.00000     0.00000     0.00000
   -75.98632     0.00000     0.00000     0.00000     0.00000
   -75.97532     0.00000     0.00000     0.00000     0.00000
   -75.96432     0.00000     0.00000     0.00000     0.00000
   -75.95432     0.00000     0.00000     0.00000     0.00000
   -75.94332     0.00000     0.00000     0.00000     0.00000
   -75.93232     0.00000     0.00000     0.00000     0.00000
   -75.92232     0.00000     0.00000     0.00000     0.00000
   -75.91132     0.00000     0.00000     0.00000     0.00000
   -75.90032     0.00000     0.00000     0.00000     0.00000
   -75.89032     0.00000     0.00000     0.00000     0.00000
   -75.87932     0.00000     0.00000     0.00000     0.00000
   -75.86832     0.00000     0.00000     0.00000     0.00000
   -75.85732     0.00000     0.00000     0.00000     0.00000
   -75.84732     0.00000     0.00000     0.00000     0.00000
   -75.83632     0.00000     0.00000     0.00000     0.00000
   -75.82532     0.00000     0.00000     0.00000     0.00000
   -75.81532     0.00000     0.00000     0.00000     0.00000
   -75.80432     0.00000     0.00000     0.00000     0.00000
   -75.79332     0.00000     0.00000     0.00000     0.00000
   -75.78332     0.00000     0.00000     0.00000     0.00000
   -75.77232     0.00000     0.00000     0.00000     0.00000
   -75.76132     0.00000     0.00000     0.00000     0.00000
   -75.75132     0.00000     0.00000     0.00000     0.00000
   -75.74032     0.00000     0.00000     0.00000     0.00000
   -75.72932     0.00000     0.00000     0.00000     0.00000
   -75.71932     0.00000     0.00000     0.00000     0.00000
   -75.70832     0.00000     0.00000     0.00000     0.00000
   -75.69732     0.00000     0.00000     0.00000     0.00000
   -75.68732     0.00000     0.00000     0.00000     0.00000
   -75.67632     0.00000     0.00000     0.00000     0.00000
   -75.66532     0.00000     0.00000     0.00000     0.00000
   -75.65532     0.00000     0.00000     0.00000     0.00000
   -75.64432     0.00000     0.00000     0.00000     0.00000
   -75.63332     0.00000     0.00000     0.00000     0.00000
   -75.62332     0.00000     0.00000     0.00000     0.00000
   -75.61232     0.00000     0.00000     0.00000     0.00000
   -75.60132     0.00000     0.00000     0.00000     0.00000
   -75.59132     0.00000     0.00000     0.00000     0.00000
   -75.58032     0.00000     0.00000     0.00000     0.00000
   -75.56932     0.00000     0.00000     0.00000     0.00000
   -75.55932     0.00000     0.00000     0.00000     0.00000
   -75.54832     0.00000     0.00000     0.00000     0.00000
   -75.53732     0.00000     0.00000     0.00000     0.00000
   -75.52732     0.00000     0.00000     0.00000     0.00000
   -75.51632     0.00000     0.00000     0.00000     0.00000
   -75.50532     0.00000     0.00000     0.00000     0.00000
   -75.49532     0.00000     0.00000     0.00000     0.00000
   -75.48432     0.00000     0.00000     0.00000     0.00000
   -75.47332     0.00000     0.00000     0.00000     0.00000
   -75.46332     0.00000     0.00000     0.00000     0.00000
   -75.45232     0.00000     0.00000     0.00000     0.00000
   -75.44132     0.00000     0.00000     0.00000     0.00000
   -75.43132     0.00000     0.00000     0.00000     0.00000
   -75.42032     0.00000     0.00000     0.00000     0.00000
   -75.40932     0.00000     0.00000     0.00000     0.00000
   -75.39932     0.00000     0.00000     0.00000     0.00000
   -75.38832     0.00000     0.00000     0.00000     0.00000
   -75.37732     0.00000     0.00000     0.00000     0.00000
   -75.36732     0.00000     0.00000     0.00000     0.00000
   -75.35632     0.00000     0.00000     0.00000     0.00000
   -75.34532     0.00000     0.00000     0.00000     0.00000
   -75.33532     0.00000     0.00000     0.00000     0.00000
   -75.32432     0.00000     0.00000     0.00000     0.00000
   -75.31332     0.00000     0.00000     0.00000     0.00000
   -75.30332     0.00000     0.00000     0.00000     0.00000
   -75.29232     0.00000     0.00000     0.00000     0.00000
   -75.28132     0.00000     0.00000     0.00000     0.00000
   -75.27132     0.00000     0.00000     0.00000     0.00000
   -75.26032     0.00000     0.00000     0.00000     0.00000
   -75.24932     0.00000     0.00000     0.00000     0.00000
   -75.23832     0.00000     0.00000     0.00000     0.00000
   -75.22832     0.00000     0.00000     0.00000     0.00000
   -75.21732     0.00000     0.00000     0.00000     0.00000
   -75.20632     0.00000     0.00000     0.00000     0.00000
   -75.19632     0.00000     0.00000     0.00000     0.00000
   -75.18532     0.00000     0.00000     0.00000     0.00000
   -75.17432     0.00000     0.00000     0.00000     0.00000
   -75.16432     0.00000     0.00000     0.00000     0.00000
   -75.15332     0.00000     0.00000     0.00000     0.00000
   -75.14232     0.00000     0.00000     0.00000     0.00000
   -75.13232     0.00000     0.00000     0.00000     0.00000
   -75.12132     0.00000     0.00000     0.00000     0.00000
   -75.11032     0.00000     0.00000     0.00000     0.00000
   -75.10032     0.00000     0.00000     0.00000     0.00000
   -75.08932     0.00000     0.00000     0.00000     0.00000
   -75.07832     0.00000     0.00000     0.00000     0.00000
   -75.06832     0.00000     0.00000     0.00000     0.00000
   -75.05732     0.00000     0.00000     0.00000     0.00000
   -75.04632     0.00000     0.00000     0.00000     0.00000
   -75.03632     0.00000     0.00000     0.00000     0.00000
   -75.02532     0.00000     0.00000     0.00000     0.00000
   -75.01432     0.00000     0.00000     0.00000     0.00000
   -75.00432     0.00000     0.00000     0.00000     0.00000
   -74.99332     0.00000     0.00000     0.00000     0.00000
   -74.98232     0.00000     0.00000     0.00000     0.00000
   -74.97232     0.00000     0.00000     0.00000     0.00000
   -74.96132     0.00000     0.00000     0.00000     0.00000
   -74.95032     0.00000     0.00000     0.00000     0.00000
   -74.94032     0.00000     0.00000     0.00000     0.00000
   -74.92932     0.00000     0.00000     0.00000     0.00000
   -74.91832     0.00000     0.00000     0.00000     0.00000
   -74.90832     0.00000     0.00000     0.00000     0.00000
   -74.89732     0.00000     0.00000     0.00000     0.00000
   -74.88632     0.00000     0.00000     0.00000     0.00000
   -74.87632     0.00000     0.00000     0.00000     0.00000
   -74.86532     0.00000     0.00000     0.00000     0.00000
   -74.85432     0.00000     0.00000     0.00000     0.00000
   -74.84432     0.00000     0.00000     0.00000     0.00000
   -74.83332     0.00000     0.00000     0.00000     0.00000
   -74.82232     0.00000     0.00000     0.00000     0.00000
   -74.81232     0.00000     0.00000     0.00000     0.00000
   -74.80132     0.00000     0.00000     0.00000     0.00000
   -74.79032     0.00000     0.00000     0.00000     0.00000
   -74.78032     0.00000     0.00000     0.00000     0.00000
   -74.76932     0.00000     0.00000     0.00000     0.00000
   -74.75832     0.00000     0.00000     0.00000     0.00000
   -74.74832     0.00000     0.00000     0.00000     0.00000
   -74.73732     0.00000     0.00000     0.00000     0.00000
   -74.72632     0.00000     0.00000     0.00000     0.00000
   -74.71632     0.00000     0.00000     0.00000     0.00000
