     #Energy       W_all      Mo_all      Re_all      Ti_all
   -84.67841     0.00000     0.00000     0.00000     0.00000
   -84.66641     0.00000     0.00000     0.00000     0.00000
   -84.65541     0.00000     0.00000     0.00000     0.00000
   -84.64341     0.00000     0.00000     0.00000     0.00000
   -84.63241     0.00000     0.00000     0.00000     0.00000
   -84.62141     0.00000     0.00000     0.00000     0.00000
   -84.60941     0.00000     0.00000     0.00000     0.00000
   -84.59841     0.00000     0.00000     0.00000     0.00000
   -84.58641     0.00000     0.00000     0.00000     0.00000
   -84.57541     0.00000     0.00000     0.00000     0.00000
   -84.56341     0.00000     0.00000     0.00000     0.00000
   -84.55241     0.00000     0.00000     0.00000     0.00000
   -84.54041     0.00000     0.00000     0.00000     0.00000
   -84.52941     0.00000     0.00000     0.00000     0.00000
   -84.51741     0.00000     0.00000     0.00000     0.00000
   -84.50641     0.00000     0.00000     0.00000     0.00000
   -84.49441     0.00000     0.00000     0.00000     0.00000
   -84.48341     0.00000     0.00000     0.00000     0.00000
   -84.47141     0.00000     0.00000     0.00000     0.00000
   -84.46041     0.00000     0.00000     0.00000     0.00000
   -84.44841     0.00000     0.00000     0.00000     0.00000
   -84.43741     0.00000     0.00000     0.00000     0.00000
   -84.42541     0.00000     0.00000     0.00000     0.00000
   -84.41441     0.00000     0.00000     0.00000     0.00000
   -84.40341     0.00000     0.00000     0.00000     0.00000
   -84.39141     0.00000     0.00000     0.00000     0.00000
   -84.38041     0.00000     0.00000     0.00000     0.00000
   -84.36841     0.00000     0.00000     0.00000     0.00000
   -84.35741     0.00000     0.00000     0.00000     0.00000
   -84.34541     0.00000     0.00000     0.00000     0.00000
   -84.33441     0.00000     0.00000     0.00000     0.00000
   -84.32241     0.00000     0.00000     0.00000     0.00000
   -84.31141     0.00000     0.00000     0.00000     0.00000
   -84.29941     0.00000     0.00000     0.00000     0.00000
   -84.28841     0.00000     0.00000     0.00000     0.00000
   -84.27641     0.00000     0.00000     0.00000     0.00000
   -84.26541     0.00000     0.00000     0.00000     0.00000
   -84.25341     0.00000     0.00000     0.00000     0.00000
   -84.24241     0.00000     0.00000     0.00000     0.00000
   -84.23041     0.00000     0.00000     0.00000     0.00000
   -84.21941     0.00000     0.00000     0.00000     0.00000
   -84.20741     0.00000     0.00000     0.00000     0.00000
   -84.19641     0.00000     0.00000     0.00000     0.00000
   -84.18541     0.00000     0.00000     0.00000     0.00000
   -84.17341     0.00000     0.00000     0.00000     0.00000
   -84.16241     0.00000     0.00000     0.00000     0.00000
   -84.15041     0.00000     0.00000     0.00000     0.00000
   -84.13941     0.00000     0.00000     0.00000     0.00000
   -84.12741     0.00000     0.00000     0.00000     0.00000
   -84.11641     0.00000     0.00000     0.00000     0.00000
   -84.10441     0.00000     0.00000     0.00000     0.00000
   -84.09341     0.00000     0.00000     0.00000     0.00000
   -84.08141     0.00000     0.00000     0.00000     0.00000
   -84.07041     0.00000     0.00000     0.00000     0.00000
   -84.05841     0.00000     0.00000     0.00000     0.00000
   -84.04741     0.00000     0.00000     0.00000     0.00000
   -84.03541     0.00000     0.00000     0.00000     0.00000
   -84.02441     0.00000     0.00000     0.00000     0.00000
   -84.01241     0.00000     0.00000     0.00000     0.00000
   -84.00141     0.00000     0.00000     0.00000     0.00000
   -83.98941     0.00000     0.00000     0.00000     0.00000
   -83.97841     0.00000     0.00000     0.00000     0.00000
   -83.96741     0.00000     0.00000     0.00000     0.00000
   -83.95541     0.00000     0.00000     0.00000     0.00000
   -83.94441     0.00000     0.00000     0.00000     0.00000
   -83.93241     0.00000     0.00000     0.00000     0.00000
   -83.92141     0.00000     0.00000     0.00000     0.00000
   -83.90941     0.00000     0.00000     0.00000     0.00000
   -83.89841     0.00000     0.00000     0.00000     0.00000
   -83.88641     0.00000     0.00000     0.00000     0.00000
   -83.87541     0.00000     0.00000     0.00000     0.00000
   -83.86341     0.00000     0.00000     0.00000     0.00000
   -83.85241     0.00000     0.00000     0.00000     0.00000
   -83.84041     0.00000     0.00000     0.00000     0.00000
   -83.82941     0.00000     0.00000     0.00000     0.00000
   -83.81741     0.00000     0.00000     0.00000     0.00000
   -83.80641     0.00000     0.00000     0.00000     0.00000
   -83.79441     0.00000     0.00000     0.00000     0.00000
   -83.78341     0.00000     0.00000     0.00000     0.00000
   -83.77141     0.00000     0.00000     0.00000     0.00000
   -83.76041     0.00000     0.00000     0.00000     0.00000
   -83.74941     0.00000     0.00000     0.00000     0.00000
   -83.73741     0.00000     0.00000     0.00000     0.00000
   -83.72641     0.00000     0.00000     0.00000     0.00000
   -83.71441     0.00000     0.00000     0.00000     0.00000
   -83.70341     0.00000     0.00000     0.00000     0.00000
   -83.69141     0.00000     0.00000     0.00000     0.00000
   -83.68041     0.00000     0.00000     0.00000     0.00000
   -83.66841     0.00000     0.00000     0.00000     0.00000
   -83.65741     0.00000     0.00000     0.00000     0.00000
   -83.64541     0.00000     0.00000     0.00000     0.00000
   -83.63441     0.00000     0.00000     0.00000     0.00000
   -83.62241     0.00000     0.00000     0.00000     0.00000
   -83.61141     0.00000     0.00000     0.00000     0.00000
   -83.59941     0.00000     0.00000     0.00000     0.00000
   -83.58841     0.00000     0.00000     0.00000     0.00000
   -83.57641     0.00000     0.00000     0.00000     0.00000
   -83.56541     0.00000     0.00000     0.00000     0.00000
   -83.55341     0.00000     0.00000     0.00000     0.00000
   -83.54241     0.00000     0.00000     0.00000     0.00000
   -83.53141     0.00000     0.00000     0.00000     0.00000
   -83.51941     0.00000     0.00000     0.00000     0.00000
   -83.50841     0.00000     0.00000     0.00000     0.00000
   -83.49641     0.00000     0.00000     0.00000     0.00000
   -83.48541     0.00000     0.00000     0.00000     0.00000
   -83.47341     0.00000     0.00000     0.00000     0.00000
   -83.46241     0.00000     0.00000     0.00000     0.00000
   -83.45041     0.00000     0.00000     0.00000     0.00000
   -83.43941     0.00000     0.00000     0.00000     0.00000
   -83.42741     0.00000     0.00000     0.00000     0.00000
   -83.41641     0.00000     0.00000     0.00000     0.00000
   -83.40441     0.00000     0.00000     0.00000     0.00000
   -83.39341     0.00000     0.00000     0.00000     0.00000
   -83.38141     0.00000     0.00000     0.00000     0.00000
   -83.37041     0.00000     0.00000     0.00000     0.00000
   -83.35841     0.00000     0.00000     0.00000     0.00000
   -83.34741     0.00000     0.00000     0.00000     0.00000
   -83.33541     0.00000     0.00000     0.00000     0.00000
   -83.32441     0.00000     0.00000     0.00000     0.00000
   -83.31341     0.00000     0.00000     0.00000     0.00000
   -83.30141     0.00000     0.00000     0.00000     0.00000
   -83.29041     0.00000     0.00000     0.00000     0.00000
   -83.27841     0.00000     0.00000     0.00000     0.00000
   -83.26741     0.00000     0.00000     0.00000     0.00000
   -83.25541     0.00000     0.00000     0.00000     0.00000
   -83.24441     0.00000     0.00000     0.00000     0.00000
   -83.23241     0.00000     0.00000     0.00000     0.00000
   -83.22141     0.00000     0.00000     0.00000     0.00000
   -83.20941     0.00000     0.00000     0.00000     0.00000
   -83.19841     0.00000     0.00000     0.00000     0.00000
   -83.18641     0.00000     0.00000     0.00000     0.00000
   -83.17541     0.00000     0.00000     0.00000     0.00000
   -83.16341     0.00000     0.00000     0.00000     0.00000
   -83.15241     0.00000     0.00000     0.00000     0.00000
   -83.14041     0.00000     0.00000     0.00000     0.00000
   -83.12941     0.00000     0.00000     0.00000     0.00000
   -83.11741     0.00000     0.00000     0.00000     0.00000
   -83.10641     0.00000     0.00000     0.00000     0.00000
   -83.09541     0.00000     0.00000     0.00000     0.00000
   -83.08341     0.00000     0.00000     0.00000     0.00000
   -83.07241     0.00000     0.00000     0.00000     0.00000
   -83.06041     0.00000     0.00000     0.00000     0.00000
   -83.04941     0.00000     0.00000     0.00000     0.00000
   -83.03741     0.00000     0.00000     0.00000     0.00000
   -83.02641     0.00000     0.00000     0.00000     0.00000
   -83.01441     0.00000     0.00000     0.00000     0.00000
   -83.00341     0.00000     0.00000     0.00000     0.00000
   -82.99141     0.00000     0.00000     0.00000     0.00000
   -82.98041     0.00000     0.00000     0.00000     0.00000
   -82.96841     0.00000     0.00000     0.00000     0.00000
   -82.95741     0.00000     0.00000     0.00000     0.00000
   -82.94541     0.00000     0.00000     0.00000     0.00000
   -82.93441     0.00000     0.00000     0.00000     0.00000
   -82.92241     0.00000     0.00000     0.00000     0.00000
   -82.91141     0.00000     0.00000     0.00000     0.00000
   -82.89941     0.00000     0.00000     0.00000     0.00000
   -82.88841     0.00000     0.00000     0.00000     0.00000
   -82.87741     0.00000     0.00000     0.00000     0.00000
   -82.86541     0.00000     0.00000     0.00000     0.00000
   -82.85441     0.00000     0.00000     0.00000     0.00000
   -82.84241     0.00000     0.00000     0.00000     0.00000
   -82.83141     0.00000     0.00000     0.00000     0.00000
   -82.81941     0.00000     0.00000     0.00000     0.00000
   -82.80841     0.00000     0.00000     0.00000     0.00000
   -82.79641     0.00000     0.00000     0.00000     0.00000
   -82.78541     0.00000     0.00000     0.00000     0.00000
   -82.77341     0.00000     0.00000     0.00000     0.00000
   -82.76241     0.00000     0.00000     0.00000     0.00000
   -82.75041     0.00000     0.00000     0.00000     0.00000
   -82.73941     0.00000     0.00000     0.00000     0.00000
   -82.72741     0.00000     0.00000     0.00000     0.00000
   -82.71641     0.00000     0.00000     0.00000     0.00000
   -82.70441     0.00000     0.00000     0.00000     0.00000
   -82.69341     0.00000     0.00000     0.00000     0.00000
   -82.68141     0.00000     0.00000     0.00000     0.00000
   -82.67041     0.00000     0.00000     0.00000     0.00000
   -82.65941     0.00000     0.00000     0.00000     0.00000
   -82.64741     0.00000     0.00000     0.00000     0.00000
   -82.63641     0.00000     0.00000     0.00000     0.00000
   -82.62441     0.00000     0.00000     0.00000     0.00000
   -82.61341     0.00000     0.00000     0.00000     0.00000
   -82.60141     0.00000     0.00000     0.00000     0.00000
   -82.59041     0.00000     0.00000     0.00000     0.00000
   -82.57841     0.00000     0.00000     0.00000     0.00000
   -82.56741     0.00000     0.00000     0.00000     0.00000
   -82.55541     0.00000     0.00000     0.00000     0.00000
   -82.54441     0.00000     0.00000     0.00000     0.00000
   -82.53241     0.00000     0.00000     0.00000     0.00000
   -82.52141     0.00000     0.00000     0.00000     0.00000
   -82.50941     0.00000     0.00000     0.00000     0.00000
