     #Energy       W_all      Mo_all      Rh_all      Ti_all
   -77.93219     0.00000     0.00000     0.00000     0.00000
   -77.92119     0.00000     0.00000     0.00000     0.00000
   -77.91019     0.00000     0.00000     0.00000     0.00000
   -77.90019     0.00000     0.00000     0.00000     0.00000
   -77.88919     0.00000     0.00000     0.00000     0.00000
   -77.87919     0.00000     0.00000     0.00000     0.00000
   -77.86819     0.00000     0.00000     0.00000     0.00000
   -77.85819     0.00000     0.00000     0.00000     0.00000
   -77.84719     0.00000     0.00000     0.00000     0.00000
   -77.83619     0.00000     0.00000     0.00000     0.00000
   -77.82619     0.00000     0.00000     0.00000     0.00000
   -77.81519     0.00000     0.00000     0.00000     0.00000
   -77.80519     0.00000     0.00000     0.00000     0.00000
   -77.79419     0.00000     0.00000     0.00000     0.00000
   -77.78319     0.00000     0.00000     0.00000     0.00000
   -77.77319     0.00000     0.00000     0.00000     0.00000
   -77.76219     0.00000     0.00000     0.00000     0.00000
   -77.75219     0.00000     0.00000     0.00000     0.00000
   -77.74119     0.00000     0.00000     0.00000     0.00000
   -77.73119     0.00000     0.00000     0.00000     0.00000
   -77.72019     0.00000     0.00000     0.00000     0.00000
   -77.70919     0.00000     0.00000     0.00000     0.00000
   -77.69919     0.00000     0.00000     0.00000     0.00000
   -77.68819     0.00000     0.00000     0.00000     0.00000
   -77.67819     0.00000     0.00000     0.00000     0.00000
   -77.66719     0.00000     0.00000     0.00000     0.00000
   -77.65719     0.00000     0.00000     0.00000     0.00000
   -77.64619     0.00000     0.00000     0.00000     0.00000
   -77.63519     0.00000     0.00000     0.00000     0.00000
   -77.62519     0.00000     0.00000     0.00000     0.00000
   -77.61419     0.00000     0.00000     0.00000     0.00000
   -77.60419     0.00000     0.00000     0.00000     0.00000
   -77.59319     0.00000     0.00000     0.00000     0.00000
   -77.58319     0.00000     0.00000     0.00000     0.00000
   -77.57219     0.00000     0.00000     0.00000     0.00000
   -77.56119     0.00000     0.00000     0.00000     0.00000
   -77.55119     0.00000     0.00000     0.00000     0.00000
   -77.54019     0.00000     0.00000     0.00000     0.00000
   -77.53019     0.00000     0.00000     0.00000     0.00000
   -77.51919     0.00000     0.00000     0.00000     0.00000
   -77.50919     0.00000     0.00000     0.00000     0.00000
   -77.49819     0.00000     0.00000     0.00000     0.00000
   -77.48719     0.00000     0.00000     0.00000     0.00000
   -77.47719     0.00000     0.00000     0.00000     0.00000
   -77.46619     0.00000     0.00000     0.00000     0.00000
   -77.45619     0.00000     0.00000     0.00000     0.00000
   -77.44519     0.00000     0.00000     0.00000     0.00000
   -77.43519     0.00000     0.00000     0.00000     0.00000
   -77.42419     0.00000     0.00000     0.00000     0.00000
   -77.41319     0.00000     0.00000     0.00000     0.00000
   -77.40319     0.00000     0.00000     0.00000     0.00000
   -77.39219     0.00000     0.00000     0.00000     0.00000
   -77.38219     0.00000     0.00000     0.00000     0.00000
   -77.37119     0.00000     0.00000     0.00000     0.00000
   -77.36119     0.00000     0.00000     0.00000     0.00000
   -77.35019     0.00000     0.00000     0.00000     0.00000
   -77.33919     0.00000     0.00000     0.00000     0.00000
   -77.32919     0.00000     0.00000     0.00000     0.00000
   -77.31819     0.00000     0.00000     0.00000     0.00000
   -77.30819     0.00000     0.00000     0.00000     0.00000
   -77.29719     0.00000     0.00000     0.00000     0.00000
   -77.28619     0.00000     0.00000     0.00000     0.00000
   -77.27619     0.00000     0.00000     0.00000     0.00000
   -77.26519     0.00000     0.00000     0.00000     0.00000
   -77.25519     0.00000     0.00000     0.00000     0.00000
   -77.24419     0.00000     0.00000     0.00000     0.00000
   -77.23419     0.00000     0.00000     0.00000     0.00000
   -77.22319     0.00000     0.00000     0.00000     0.00000
   -77.21219     0.00000     0.00000     0.00000     0.00000
   -77.20219     0.00000     0.00000     0.00000     0.00000
   -77.19119     0.00000     0.00000     0.00000     0.00000
   -77.18119     0.00000     0.00000     0.00000     0.00000
   -77.17019     0.00000     0.00000     0.00000     0.00000
   -77.16019     0.00000     0.00000     0.00000     0.00000
   -77.14919     0.00000     0.00000     0.00000     0.00000
   -77.13819     0.00000     0.00000     0.00000     0.00000
   -77.12819     0.00000     0.00000     0.00000     0.00000
   -77.11719     0.00000     0.00000     0.00000     0.00000
   -77.10719     0.00000     0.00000     0.00000     0.00000
   -77.09619     0.00000     0.00000     0.00000     0.00000
   -77.08619     0.00000     0.00000     0.00000     0.00000
   -77.07519     0.00000     0.00000     0.00000     0.00000
   -77.06419     0.00000     0.00000     0.00000     0.00000
   -77.05419     0.00000     0.00000     0.00000     0.00000
   -77.04319     0.00000     0.00000     0.00000     0.00000
   -77.03319     0.00000     0.00000     0.00000     0.00000
   -77.02219     0.00000     0.00000     0.00000     0.00000
   -77.01219     0.00000     0.00000     0.00000     0.00000
   -77.00119     0.00000     0.00000     0.00000     0.00000
   -76.99019     0.00000     0.00000     0.00000     0.00000
   -76.98019     0.00000     0.00000     0.00000     0.00000
   -76.96919     0.00000     0.00000     0.00000     0.00000
   -76.95919     0.00000     0.00000     0.00000     0.00000
   -76.94819     0.00000     0.00000     0.00000     0.00000
   -76.93819     0.00000     0.00000     0.00000     0.00000
   -76.92719     0.00000     0.00000     0.00000     0.00000
   -76.91619     0.00000     0.00000     0.00000     0.00000
   -76.90619     0.00000     0.00000     0.00000     0.00000
   -76.89519     0.00000     0.00000     0.00000     0.00000
   -76.88519     0.00000     0.00000     0.00000     0.00000
   -76.87419     0.00000     0.00000     0.00000     0.00000
   -76.86419     0.00000     0.00000     0.00000     0.00000
   -76.85319     0.00000     0.00000     0.00000     0.00000
   -76.84219     0.00000     0.00000     0.00000     0.00000
   -76.83219     0.00000     0.00000     0.00000     0.00000
   -76.82119     0.00000     0.00000     0.00000     0.00000
   -76.81119     0.00000     0.00000     0.00000     0.00000
   -76.80019     0.00000     0.00000     0.00000     0.00000
   -76.78919     0.00000     0.00000     0.00000     0.00000
   -76.77919     0.00000     0.00000     0.00000     0.00000
   -76.76819     0.00000     0.00000     0.00000     0.00000
   -76.75819     0.00000     0.00000     0.00000     0.00000
   -76.74719     0.00000     0.00000     0.00000     0.00000
   -76.73719     0.00000     0.00000     0.00000     0.00000
   -76.72619     0.00000     0.00000     0.00000     0.00000
   -76.71519     0.00000     0.00000     0.00000     0.00000
   -76.70519     0.00000     0.00000     0.00000     0.00000
   -76.69419     0.00000     0.00000     0.00000     0.00000
   -76.68419     0.00000     0.00000     0.00000     0.00000
