     #Energy       W_all      Mo_all      Ru_all      Ti_all
   -78.06450     0.00000     0.00000     0.00000     0.00000
   -78.05450     0.00000     0.00000     0.00000     0.00000
   -78.04350     0.00000     0.00000     0.00000     0.00000
   -78.03250     0.00000     0.00000     0.00000     0.00000
   -78.02250     0.00000     0.00000     0.00000     0.00000
   -78.01150     0.00000     0.00000     0.00000     0.00000
   -78.00150     0.00000     0.00000     0.00000     0.00000
   -77.99050     0.00000     0.00000     0.00000     0.00000
   -77.97950     0.00000     0.00000     0.00000     0.00000
   -77.96950     0.00000     0.00000     0.00000     0.00000
   -77.95850     0.00000     0.00000     0.00000     0.00000
   -77.94850     0.00000     0.00000     0.00000     0.00000
   -77.93750     0.00000     0.00000     0.00000     0.00000
   -77.92650     0.00000     0.00000     0.00000     0.00000
   -77.91650     0.00000     0.00000     0.00000     0.00000
   -77.90550     0.00000     0.00000     0.00000     0.00000
   -77.89550     0.00000     0.00000     0.00000     0.00000
   -77.88450     0.00000     0.00000     0.00000     0.00000
   -77.87350     0.00000     0.00000     0.00000     0.00000
   -77.86350     0.00000     0.00000     0.00000     0.00000
   -77.85250     0.00000     0.00000     0.00000     0.00000
   -77.84250     0.00000     0.00000     0.00000     0.00000
   -77.83150     0.00000     0.00000     0.00000     0.00000
   -77.82050     0.00000     0.00000     0.00000     0.00000
   -77.81050     0.00000     0.00000     0.00000     0.00000
   -77.79950     0.00000     0.00000     0.00000     0.00000
   -77.78950     0.00000     0.00000     0.00000     0.00000
   -77.77850     0.00000     0.00000     0.00000     0.00000
   -77.76750     0.00000     0.00000     0.00000     0.00000
   -77.75750     0.00000     0.00000     0.00000     0.00000
   -77.74650     0.00000     0.00000     0.00000     0.00000
   -77.73550     0.00000     0.00000     0.00000     0.00000
   -77.72550     0.00000     0.00000     0.00000     0.00000
   -77.71450     0.00000     0.00000     0.00000     0.00000
   -77.70450     0.00000     0.00000     0.00000     0.00000
   -77.69350     0.00000     0.00000     0.00000     0.00000
   -77.68250     0.00000     0.00000     0.00000     0.00000
   -77.67250     0.00000     0.00000     0.00000     0.00000
   -77.66150     0.00000     0.00000     0.00000     0.00000
   -77.65150     0.00000     0.00000     0.00000     0.00000
   -77.64050     0.00000     0.00000     0.00000     0.00000
   -77.62950     0.00000     0.00000     0.00000     0.00000
   -77.61950     0.00000     0.00000     0.00000     0.00000
   -77.60850     0.00000     0.00000     0.00000     0.00000
   -77.59850     0.00000     0.00000     0.00000     0.00000
   -77.58750     0.00000     0.00000     0.00000     0.00000
   -77.57650     0.00000     0.00000     0.00000     0.00000
   -77.56650     0.00000     0.00000     0.00000     0.00000
   -77.55550     0.00000     0.00000     0.00000     0.00000
   -77.54550     0.00000     0.00000     0.00000     0.00000
   -77.53450     0.00000     0.00000     0.00000     0.00000
   -77.52350     0.00000     0.00000     0.00000     0.00000
   -77.51350     0.00000     0.00000     0.00000     0.00000
   -77.50250     0.00000     0.00000     0.00000     0.00000
   -77.49250     0.00000     0.00000     0.00000     0.00000
   -77.48150     0.00000     0.00000     0.00000     0.00000
   -77.47050     0.00000     0.00000     0.00000     0.00000
   -77.46050     0.00000     0.00000     0.00000     0.00000
   -77.44950     0.00000     0.00000     0.00000     0.00000
   -77.43950     0.00000     0.00000     0.00000     0.00000
   -77.42850     0.00000     0.00000     0.00000     0.00000
   -77.41750     0.00000     0.00000     0.00000     0.00000
   -77.40750     0.00000     0.00000     0.00000     0.00000
   -77.39650     0.00000     0.00000     0.00000     0.00000
   -77.38650     0.00000     0.00000     0.00000     0.00000
   -77.37550     0.00000     0.00000     0.00000     0.00000
   -77.36450     0.00000     0.00000     0.00000     0.00000
   -77.35450     0.00000     0.00000     0.00000     0.00000
   -77.34350     0.00000     0.00000     0.00000     0.00000
   -77.33350     0.00000     0.00000     0.00000     0.00000
   -77.32250     0.00000     0.00000     0.00000     0.00000
   -77.31150     0.00000     0.00000     0.00000     0.00000
   -77.30150     0.00000     0.00000     0.00000     0.00000
   -77.29050     0.00000     0.00000     0.00000     0.00000
   -77.28050     0.00000     0.00000     0.00000     0.00000
   -77.26950     0.00000     0.00000     0.00000     0.00000
   -77.25850     0.00000     0.00000     0.00000     0.00000
   -77.24850     0.00000     0.00000     0.00000     0.00000
   -77.23750     0.00000     0.00000     0.00000     0.00000
   -77.22750     0.00000     0.00000     0.00000     0.00000
   -77.21650     0.00000     0.00000     0.00000     0.00000
   -77.20550     0.00000     0.00000     0.00000     0.00000
   -77.19550     0.00000     0.00000     0.00000     0.00000
   -77.18450     0.00000     0.00000     0.00000     0.00000
   -77.17450     0.00000     0.00000     0.00000     0.00000
   -77.16350     0.00000     0.00000     0.00000     0.00000
   -77.15250     0.00000     0.00000     0.00000     0.00000
   -77.14250     0.00000     0.00000     0.00000     0.00000
   -77.13150     0.00000     0.00000     0.00000     0.00000
   -77.12150     0.00000     0.00000     0.00000     0.00000
   -77.11050     0.00000     0.00000     0.00000     0.00000
   -77.09950     0.00000     0.00000     0.00000     0.00000
   -77.08950     0.00000     0.00000     0.00000     0.00000
   -77.07850     0.00000     0.00000     0.00000     0.00000
   -77.06850     0.00000     0.00000     0.00000     0.00000
   -77.05750     0.00000     0.00000     0.00000     0.00000
   -77.04650     0.00000     0.00000     0.00000     0.00000
   -77.03650     0.00000     0.00000     0.00000     0.00000
   -77.02550     0.00000     0.00000     0.00000     0.00000
   -77.01550     0.00000     0.00000     0.00000     0.00000
   -77.00450     0.00000     0.00000     0.00000     0.00000
   -76.99350     0.00000     0.00000     0.00000     0.00000
   -76.98350     0.00000     0.00000     0.00000     0.00000
   -76.97250     0.00000     0.00000     0.00000     0.00000
   -76.96150     0.00000     0.00000     0.00000     0.00000
   -76.95150     0.00000     0.00000     0.00000     0.00000
   -76.94050     0.00000     0.00000     0.00000     0.00000
   -76.93050     0.00000     0.00000     0.00000     0.00000
   -76.91950     0.00000     0.00000     0.00000     0.00000
   -76.90850     0.00000     0.00000     0.00000     0.00000
   -76.89850     0.00000     0.00000     0.00000     0.00000
   -76.88750     0.00000     0.00000     0.00000     0.00000
   -76.87750     0.00000     0.00000     0.00000     0.00000
   -76.86650     0.00000     0.00000     0.00000     0.00000
   -76.85550     0.00000     0.00000     0.00000     0.00000
   -76.84550     0.00000     0.00000     0.00000     0.00000
   -76.83450     0.00000     0.00000     0.00000     0.00000
   -76.82450     0.00000     0.00000     0.00000     0.00000
   -76.81350     0.00000     0.00000     0.00000     0.00000
   -76.80250     0.00000     0.00000     0.00000     0.00000
   -76.79250     0.00000     0.00000     0.00000     0.00000
   -76.78150     0.00000     0.00000     0.00000     0.00000
   -76.77150     0.00000     0.00000     0.00000     0.00000
   -76.76050     0.00000     0.00000     0.00000     0.00000
   -76.74950     0.00000     0.00000     0.00000     0.00000
   -76.73950     0.00000     0.00000     0.00000     0.00000
   -76.72850     0.00000     0.00000     0.00000     0.00000
   -76.71850     0.00000     0.00000     0.00000     0.00000
   -76.70750     0.00000     0.00000     0.00000     0.00000
   -76.69650     0.00000     0.00000     0.00000     0.00000
   -76.68650     0.00000     0.00000     0.00000     0.00000
   -76.67550     0.00000     0.00000     0.00000     0.00000
   -76.66550     0.00000     0.00000     0.00000     0.00000
   -76.65450     0.00000     0.00000     0.00000     0.00000
   -76.64350     0.00000     0.00000     0.00000     0.00000
   -76.63350     0.00000     0.00000     0.00000     0.00000
   -76.62250     0.00000     0.00000     0.00000     0.00000
   -76.61250     0.00000     0.00000     0.00000     0.00000
   -76.60150     0.00000     0.00000     0.00000     0.00000
   -76.59050     0.00000     0.00000     0.00000     0.00000
   -76.58050     0.00000     0.00000     0.00000     0.00000
   -76.56950     0.00000     0.00000     0.00000     0.00000
   -76.55950     0.00000     0.00000     0.00000     0.00000
   -76.54850     0.00000     0.00000     0.00000     0.00000
   -76.53750     0.00000     0.00000     0.00000     0.00000
   -76.52750     0.00000     0.00000     0.00000     0.00000
   -76.51650     0.00000     0.00000     0.00000     0.00000
   -76.50650     0.00000     0.00000     0.00000     0.00000
   -76.49550     0.00000     0.00000     0.00000     0.00000
   -76.48450     0.00000     0.00000     0.00000     0.00000
   -76.47450     0.00000     0.00000     0.00000     0.00000
   -76.46350     0.00000     0.00000     0.00000     0.00000
   -76.45350     0.00000     0.00000     0.00000     0.00000
   -76.44250     0.00000     0.00000     0.00000     0.00000
   -76.43150     0.00000     0.00000     0.00000     0.00000
   -76.42150     0.00000     0.00000     0.00000     0.00000
   -76.41050     0.00000     0.00000     0.00000     0.00000
   -76.40050     0.00000     0.00000     0.00000     0.00000
   -76.38950     0.00000     0.00000     0.00000     0.00000
   -76.37850     0.00000     0.00000     0.00000     0.00000
   -76.36850     0.00000     0.00000     0.00000     0.00000
   -76.35750     0.00000     0.00000     0.00000     0.00000
   -76.34750     0.00000     0.00000     0.00000     0.00000
   -76.33650     0.00000     0.00000     0.00000     0.00000
   -76.32550     0.00000     0.00000     0.00000     0.00000
   -76.31550     0.00000     0.00000     0.00000     0.00000
   -76.30450     0.00000     0.00000     0.00000     0.00000
   -76.29450     0.00000     0.00000     0.00000     0.00000
   -76.28350     0.00000     0.00000     0.00000     0.00000
   -76.27250     0.00000     0.00000     0.00000     0.00000
   -76.26250     0.00000     0.00000     0.00000     0.00000
   -76.25150     0.00000     0.00000     0.00000     0.00000
   -76.24150     0.00000     0.00000     0.00000     0.00000
   -76.23050     0.00000     0.00000     0.00000     0.00000
   -76.21950     0.00000     0.00000     0.00000     0.00000
   -76.20950     0.00000     0.00000     0.00000     0.00000
   -76.19850     0.00000     0.00000     0.00000     0.00000
   -76.18750     0.00000     0.00000     0.00000     0.00000
   -76.17750     0.00000     0.00000     0.00000     0.00000
   -76.16650     0.00000     0.00000     0.00000     0.00000
   -76.15650     0.00000     0.00000     0.00000     0.00000
   -76.14550     0.00000     0.00000     0.00000     0.00000
   -76.13450     0.00000     0.00000     0.00000     0.00000
   -76.12450     0.00000     0.00000     0.00000     0.00000
   -76.11350     0.00000     0.00000     0.00000     0.00000
   -76.10350     0.00000     0.00000     0.00000     0.00000
   -76.09250     0.00000     0.00000     0.00000     0.00000
   -76.08150     0.00000     0.00000     0.00000     0.00000
   -76.07150     0.00000     0.00000     0.00000     0.00000
   -76.06050     0.00000     0.00000     0.00000     0.00000
   -76.05050     0.00000     0.00000     0.00000     0.00000
   -76.03950     0.00000     0.00000     0.00000     0.00000
   -76.02850     0.00000     0.00000     0.00000     0.00000
   -76.01850     0.00000     0.00000     0.00000     0.00000
   -76.00750     0.00000     0.00000     0.00000     0.00000
   -75.99750     0.00000     0.00000     0.00000     0.00000
   -75.98650     0.00000     0.00000     0.00000     0.00000
   -75.97550     0.00000     0.00000     0.00000     0.00000
   -75.96550     0.00000     0.00000     0.00000     0.00000
   -75.95450     0.00000     0.00000     0.00000     0.00000
   -75.94450     0.00000     0.00000     0.00000     0.00000
   -75.93350     0.00000     0.00000     0.00000     0.00000
   -75.92250     0.00000     0.00000     0.00000     0.00000
   -75.91250     0.00000     0.00000     0.00000     0.00000
   -75.90150     0.00000     0.00000     0.00000     0.00000
   -75.89150     0.00000     0.00000     0.00000     0.00000
   -75.88050     0.00000     0.00000     0.00000     0.00000
   -75.86950     0.00000     0.00000     0.00000     0.00000
   -75.85950     0.00000     0.00000     0.00000     0.00000
   -75.84850     0.00000     0.00000     0.00000     0.00000
   -75.83850     0.00000     0.00000     0.00000     0.00000
   -75.82750     0.00000     0.00000     0.00000     0.00000
   -75.81650     0.00000     0.00000     0.00000     0.00000
   -75.80650     0.00000     0.00000     0.00000     0.00000
   -75.79550     0.00000     0.00000     0.00000     0.00000
   -75.78550     0.00000     0.00000     0.00000     0.00000
   -75.77450     0.00000     0.00000     0.00000     0.00000
   -75.76350     0.00000     0.00000     0.00000     0.00000
   -75.75350     0.00000     0.00000     0.00000     0.00000
   -75.74250     0.00000     0.00000     0.00000     0.00000
   -75.73250     0.00000     0.00000     0.00000     0.00000
   -75.72150     0.00000     0.00000     0.00000     0.00000
   -75.71050     0.00000     0.00000     0.00000     0.00000
   -75.70050     0.00000     0.00000     0.00000     0.00000
   -75.68950     0.00000     0.00000     0.00000     0.00000
   -75.67950     0.00000     0.00000     0.00000     0.00000
   -75.66850     0.00000     0.00000     0.00000     0.00000
   -75.65750     0.00000     0.00000     0.00000     0.00000
   -75.64750     0.00000     0.00000     0.00000     0.00000
   -75.63650     0.00000     0.00000     0.00000     0.00000
   -75.62650     0.00000     0.00000     0.00000     0.00000
   -75.61550     0.00000     0.00000     0.00000     0.00000
   -75.60450     0.00000     0.00000     0.00000     0.00000
   -75.59450     0.00000     0.00000     0.00000     0.00000
   -75.58350     0.00000     0.00000     0.00000     0.00000
   -75.57350     0.00000     0.00000     0.00000     0.00000
   -75.56250     0.00000     0.00000     0.00000     0.00000
   -75.55150     0.00000     0.00000     0.00000     0.00000
   -75.54150     0.00000     0.00000     0.00000     0.00000
   -75.53050     0.00000     0.00000     0.00000     0.00000
   -75.52050     0.00000     0.00000     0.00000     0.00000
   -75.50950     0.00000     0.00000     0.00000     0.00000
   -75.49850     0.00000     0.00000     0.00000     0.00000
   -75.48850     0.00000     0.00000     0.00000     0.00000
   -75.47750     0.00000     0.00000     0.00000     0.00000
   -75.46750     0.00000     0.00000     0.00000     0.00000
   -75.45650     0.00000     0.00000     0.00000     0.00000
   -75.44550     0.00000     0.00000     0.00000     0.00000
   -75.43550     0.00000     0.00000     0.00000     0.00000
   -75.42450     0.00000     0.00000     0.00000     0.00000
   -75.41350     0.00000     0.00000     0.00000     0.00000
   -75.40350     0.00000     0.00000     0.00000     0.00000
   -75.39250     0.00000     0.00000     0.00000     0.00000
   -75.38250     0.00000     0.00000     0.00000     0.00000
   -75.37150     0.00000     0.00000     0.00000     0.00000
   -75.36050     0.00000     0.00000     0.00000     0.00000
   -75.35050     0.00000     0.00000     0.00000     0.00000
   -75.33950     0.00000     0.00000     0.00000     0.00000
   -75.32950     0.00000     0.00000     0.00000     0.00000
   -75.31850     0.00000     0.00000     0.00000     0.00000
   -75.30750     0.00000     0.00000     0.00000     0.00000
   -75.29750     0.00000     0.00000     0.00000     0.00000
   -75.28650     0.00000     0.00000     0.00000     0.00000
   -75.27650     0.00000     0.00000     0.00000     0.00000
   -75.26550     0.00000     0.00000     0.00000     0.00000
   -75.25450     0.00000     0.00000     0.00000     0.00000
   -75.24450     0.00000     0.00000     0.00000     0.00000
   -75.23350     0.00000     0.00000     0.00000     0.00000
   -75.22350     0.00000     0.00000     0.00000     0.00000
   -75.21250     0.00000     0.00000     0.00000     0.00000
   -75.20150     0.00000     0.00000     0.00000     0.00000
   -75.19150     0.00000     0.00000     0.00000     0.00000
   -75.18050     0.00000     0.00000     0.00000     0.00000
   -75.17050     0.00000     0.00000     0.00000     0.00000
   -75.15950     0.00000     0.00000     0.00000     0.00000
   -75.14850     0.00000     0.00000     0.00000     0.00000
   -75.13850     0.00000     0.00000     0.00000     0.00000
   -75.12750     0.00000     0.00000     0.00000     0.00000
   -75.11750     0.00000     0.00000     0.00000     0.00000
   -75.10650     0.00000     0.00000     0.00000     0.00000
   -75.09550     0.00000     0.00000     0.00000     0.00000
   -75.08550     0.00000     0.00000     0.00000     0.00000
   -75.07450     0.00000     0.00000     0.00000     0.00000
   -75.06450     0.00000     0.00000     0.00000     0.00000
   -75.05350     0.00000     0.00000     0.00000     0.00000
   -75.04250     0.00000     0.00000     0.00000     0.00000
   -75.03250     0.00000     0.00000     0.00000     0.00000
   -75.02150     0.00000     0.00000     0.00000     0.00000
   -75.01150     0.00000     0.00000     0.00000     0.00000
   -75.00050     0.00000     0.00000     0.00000     0.00000
   -74.98950     0.00000     0.00000     0.00000     0.00000
   -74.97950     0.00000     0.00000     0.00000     0.00000
   -74.96850     0.00000     0.00000     0.00000     0.00000
   -74.95850     0.00000     0.00000     0.00000     0.00000
   -74.94750     0.00000     0.00000     0.00000     0.00000
   -74.93650     0.00000     0.00000     0.00000     0.00000
   -74.92650     0.00000     0.00000     0.00000     0.00000
   -74.91550     0.00000     0.00000     0.00000     0.00000
   -74.90550     0.00000     0.00000     0.00000     0.00000
   -74.89450     0.00000     0.00000     0.00000     0.00000
   -74.88350     0.00000     0.00000     0.00000     0.00000
   -74.87350     0.00000     0.00000     0.00000     0.00000
   -74.86250     0.00000     0.00000     0.00000     0.00000
   -74.85250     0.00000     0.00000     0.00000     0.00000
   -74.84150     0.00000     0.00000     0.00000     0.00000
   -74.83050     0.00000     0.00000     0.00000     0.00000
   -74.82050     0.00000     0.00000     0.00000     0.00000
   -74.80950     0.00000     0.00000     0.00000     0.00000
   -74.79950     0.00000     0.00000     0.00000     0.00000
   -74.78850     0.00000     0.00000     0.00000     0.00000
   -74.77750     0.00000     0.00000     0.00000     0.00000
   -74.76750     0.00000     0.00000     0.00000     0.00000
   -74.75650     0.00000     0.00000     0.00000     0.00000
   -74.74650     0.00000     0.00000     0.00000     0.00000
   -74.73550     0.00000     0.00000     0.00000     0.00000
   -74.72450     0.00000     0.00000     0.00000     0.00000
   -74.71450     0.00000     0.00000     0.00000     0.00000
   -74.70350     0.00000     0.00000     0.00000     0.00000
   -74.69350     0.00000     0.00000     0.00000     0.00000
   -74.68250     0.00000     0.00000     0.00000     0.00000
   -74.67150     0.00000     0.00000     0.00000     0.00000
   -74.66150     0.00000     0.00000     0.00000     0.00000
   -74.65050     0.00000     0.00000     0.00000     0.00000
   -74.63950     0.00000     0.00000     0.00000     0.00000
   -74.62950     0.00000     0.00000     0.00000     0.00000
   -74.61850     0.00000     0.00000     0.00000     0.00000
   -74.60850     0.00000     0.00000     0.00000     0.00000
   -74.59750     0.00000     0.00000     0.00000     0.00000
   -74.58650     0.00000     0.00000     0.00000     0.00000
   -74.57650     0.00000     0.00000     0.00000     0.00000
   -74.56550     0.00000     0.00000     0.00000     0.00000
   -74.55550     0.00000     0.00000     0.00000     0.00000
   -74.54450     0.00000     0.00000     0.00000     0.00000
   -74.53350     0.00000     0.00000     0.00000     0.00000
   -74.52350     0.00000     0.00000     0.00000     0.00000
   -74.51250     0.00000     0.00000     0.00000     0.00000
   -74.50250     0.00000     0.00000     0.00000     0.00000
   -74.49150     0.00000     0.00000     0.00000     0.00000
   -74.48050     0.00000     0.00000     0.00000     0.00000
   -74.47050     0.00000     0.00000     0.00000     0.00000
   -74.45950     0.00000     0.00000     0.00000     0.00000
   -74.44950     0.00000     0.00000     0.00000     0.00000
   -74.43850     0.00000     0.00000     0.00000     0.00000
   -74.42750     0.00000     0.00000     0.00000     0.00000
   -74.41750     0.00000     0.00000     0.00000     0.00000
   -74.40650     0.00000     0.00000     0.00000     0.00000
   -74.39650     0.00000     0.00000     0.00000     0.00000
   -74.38550     0.00000     0.00000     0.00000     0.00000
   -74.37450     0.00000     0.00000     0.00000     0.00000
   -74.36450     0.00000     0.00000     0.00000     0.00000
   -74.35350     0.00000     0.00000     0.00000     0.00000
   -74.34350     0.00000     0.00000     0.00000     0.00000
   -74.33250     0.00000     0.00000     0.00000     0.00000
   -74.32150     0.00000     0.00000     0.00000     0.00000
   -74.31150     0.00000     0.00000     0.00000     0.00000
   -74.30050     0.00000     0.00000     0.00000     0.00000
   -74.29050     0.00000     0.00000     0.00000     0.00000
   -74.27950     0.00000     0.00000     0.00000     0.00000
   -74.26850     0.00000     0.00000     0.00000     0.00000
   -74.25850     0.00000     0.00000     0.00000     0.00000
   -74.24750     0.00000     0.00000     0.00000     0.00000
   -74.23750     0.00000     0.00000     0.00000     0.00000
   -74.22650     0.00000     0.00000     0.00000     0.00000
   -74.21550     0.00000     0.00000     0.00000     0.00000
   -74.20550   188.14813     0.00754     0.00360     0.00001
   -74.19450     0.00000     0.00000     0.00000     0.00000
   -74.18450     0.00000     0.00000     0.00000     0.00000
   -74.17350     0.00000     0.00000     0.00000     0.00000
   -74.16250     0.00000     0.00000     0.00000     0.00000
