     #Energy       W_all      Mo_all      Pd_all
   -77.99635     0.00000     0.00000     0.00000
   -77.98635     0.00000     0.00000     0.00000
   -77.97535     0.00000     0.00000     0.00000
   -77.96535     0.00000     0.00000     0.00000
   -77.95435     0.00000     0.00000     0.00000
   -77.94335     0.00000     0.00000     0.00000
   -77.93335     0.00000     0.00000     0.00000
   -77.92235     0.00000     0.00000     0.00000
   -77.91235     0.00000     0.00000     0.00000
   -77.90135     0.00000     0.00000     0.00000
   -77.89135     0.00000     0.00000     0.00000
   -77.88035     0.00000     0.00000     0.00000
   -77.86935     0.00000     0.00000     0.00000
   -77.85935     0.00000     0.00000     0.00000
   -77.84835     0.00000     0.00000     0.00000
   -77.83835     0.00000     0.00000     0.00000
   -77.82735     0.00000     0.00000     0.00000
   -77.81635     0.00000     0.00000     0.00000
   -77.80635     0.00000     0.00000     0.00000
   -77.79535     0.00000     0.00000     0.00000
   -77.78535     0.00000     0.00000     0.00000
   -77.77435     0.00000     0.00000     0.00000
   -77.76435     0.00000     0.00000     0.00000
   -77.75335     0.00000     0.00000     0.00000
   -77.74235     0.00000     0.00000     0.00000
   -77.73235     0.00000     0.00000     0.00000
   -77.72135     0.00000     0.00000     0.00000
   -77.71135     0.00000     0.00000     0.00000
   -77.70035     0.00000     0.00000     0.00000
   -77.68935     0.00000     0.00000     0.00000
   -77.67935     0.00000     0.00000     0.00000
   -77.66835     0.00000     0.00000     0.00000
   -77.65835     0.00000     0.00000     0.00000
   -77.64735     0.00000     0.00000     0.00000
   -77.63635     0.00000     0.00000     0.00000
   -77.62635     0.00000     0.00000     0.00000
   -77.61535     0.00000     0.00000     0.00000
   -77.60535     0.00000     0.00000     0.00000
   -77.59435     0.00000     0.00000     0.00000
   -77.58435     0.00000     0.00000     0.00000
   -77.57335     0.00000     0.00000     0.00000
   -77.56235     0.00000     0.00000     0.00000
   -77.55235     0.00000     0.00000     0.00000
   -77.54135     0.00000     0.00000     0.00000
   -77.53135     0.00000     0.00000     0.00000
   -77.52035     0.00000     0.00000     0.00000
   -77.50935     0.00000     0.00000     0.00000
   -77.49935     0.00000     0.00000     0.00000
   -77.48835     0.00000     0.00000     0.00000
   -77.47835     0.00000     0.00000     0.00000
   -77.46735     0.00000     0.00000     0.00000
   -77.45735     0.00000     0.00000     0.00000
   -77.44635     0.00000     0.00000     0.00000
   -77.43535     0.00000     0.00000     0.00000
   -77.42535     0.00000     0.00000     0.00000
   -77.41435     0.00000     0.00000     0.00000
   -77.40435     0.00000     0.00000     0.00000
   -77.39335     0.00000     0.00000     0.00000
   -77.38235     0.00000     0.00000     0.00000
   -77.37235     0.00000     0.00000     0.00000
   -77.36135     0.00000     0.00000     0.00000
   -77.35135     0.00000     0.00000     0.00000
   -77.34035     0.00000     0.00000     0.00000
   -77.32935     0.00000     0.00000     0.00000
   -77.31935     0.00000     0.00000     0.00000
   -77.30835     0.00000     0.00000     0.00000
   -77.29835     0.00000     0.00000     0.00000
   -77.28735     0.00000     0.00000     0.00000
   -77.27735     0.00000     0.00000     0.00000
   -77.26635     0.00000     0.00000     0.00000
   -77.25535     0.00000     0.00000     0.00000
   -77.24535     0.00000     0.00000     0.00000
   -77.23435     0.00000     0.00000     0.00000
   -77.22435     0.00000     0.00000     0.00000
   -77.21335     0.00000     0.00000     0.00000
   -77.20235     0.00000     0.00000     0.00000
   -77.19235     0.00000     0.00000     0.00000
   -77.18135     0.00000     0.00000     0.00000
   -77.17135     0.00000     0.00000     0.00000
   -77.16035     0.00000     0.00000     0.00000
   -77.15035     0.00000     0.00000     0.00000
   -77.13935     0.00000     0.00000     0.00000
   -77.12835     0.00000     0.00000     0.00000
   -77.11835     0.00000     0.00000     0.00000
   -77.10735     0.00000     0.00000     0.00000
   -77.09735     0.00000     0.00000     0.00000
   -77.08635     0.00000     0.00000     0.00000
   -77.07535     0.00000     0.00000     0.00000
   -77.06535     0.00000     0.00000     0.00000
   -77.05435     0.00000     0.00000     0.00000
   -77.04435     0.00000     0.00000     0.00000
   -77.03335     0.00000     0.00000     0.00000
   -77.02235     0.00000     0.00000     0.00000
   -77.01235     0.00000     0.00000     0.00000
   -77.00135     0.00000     0.00000     0.00000
   -76.99135     0.00000     0.00000     0.00000
   -76.98035     0.00000     0.00000     0.00000
   -76.97035     0.00000     0.00000     0.00000
   -76.95935     0.00000     0.00000     0.00000
   -76.94835     0.00000     0.00000     0.00000
   -76.93835     0.00000     0.00000     0.00000
   -76.92735     0.00000     0.00000     0.00000
   -76.91735     0.00000     0.00000     0.00000
   -76.90635     0.00000     0.00000     0.00000
   -76.89535     0.00000     0.00000     0.00000
   -76.88535     0.00000     0.00000     0.00000
   -76.87435     0.00000     0.00000     0.00000
   -76.86435     0.00000     0.00000     0.00000
   -76.85335     0.00000     0.00000     0.00000
   -76.84335     0.00000     0.00000     0.00000
   -76.83235     0.00000     0.00000     0.00000
   -76.82135     0.00000     0.00000     0.00000
   -76.81135     0.00000     0.00000     0.00000
   -76.80035     0.00000     0.00000     0.00000
   -76.79035     0.00000     0.00000     0.00000
   -76.77935     0.00000     0.00000     0.00000
   -76.76835     0.00000     0.00000     0.00000
   -76.75835     0.00000     0.00000     0.00000
   -76.74735     0.00000     0.00000     0.00000
   -76.73735     0.00000     0.00000     0.00000
   -76.72635     0.00000     0.00000     0.00000
   -76.71535     0.00000     0.00000     0.00000
   -76.70535     0.00000     0.00000     0.00000
   -76.69435     0.00000     0.00000     0.00000
   -76.68435     0.00000     0.00000     0.00000
   -76.67335     0.00000     0.00000     0.00000
   -76.66335     0.00000     0.00000     0.00000
   -76.65235     0.00000     0.00000     0.00000
   -76.64135     0.00000     0.00000     0.00000
   -76.63135     0.00000     0.00000     0.00000
   -76.62035     0.00000     0.00000     0.00000
   -76.61035     0.00000     0.00000     0.00000
   -76.59935     0.00000     0.00000     0.00000
   -76.58835     0.00000     0.00000     0.00000
   -76.57835     0.00000     0.00000     0.00000
   -76.56735     0.00000     0.00000     0.00000
   -76.55735     0.00000     0.00000     0.00000
   -76.54635     0.00000     0.00000     0.00000
   -76.53635     0.00000     0.00000     0.00000
   -76.52535     0.00000     0.00000     0.00000
   -76.51435     0.00000     0.00000     0.00000
   -76.50435     0.00000     0.00000     0.00000
   -76.49335     0.00000     0.00000     0.00000
   -76.48335     0.00000     0.00000     0.00000
   -76.47235     0.00000     0.00000     0.00000
   -76.46135     0.00000     0.00000     0.00000
   -76.45135     0.00000     0.00000     0.00000
   -76.44035     0.00000     0.00000     0.00000
   -76.43035     0.00000     0.00000     0.00000
   -76.41935     0.00000     0.00000     0.00000
   -76.40835     0.00000     0.00000     0.00000
   -76.39835     0.00000     0.00000     0.00000
