     #Energy       W_all      Mo_all      Ir_all
   -78.13231     0.00000     0.00000     0.00000
   -78.12231     0.00000     0.00000     0.00000
   -78.11131     0.00000     0.00000     0.00000
   -78.10031     0.00000     0.00000     0.00000
   -78.09031     0.00000     0.00000     0.00000
   -78.07931     0.00000     0.00000     0.00000
   -78.06931     0.00000     0.00000     0.00000
   -78.05831     0.00000     0.00000     0.00000
   -78.04731     0.00000     0.00000     0.00000
   -78.03731     0.00000     0.00000     0.00000
   -78.02631     0.00000     0.00000     0.00000
   -78.01631     0.00000     0.00000     0.00000
   -78.00531     0.00000     0.00000     0.00000
   -77.99431     0.00000     0.00000     0.00000
   -77.98431     0.00000     0.00000     0.00000
   -77.97331     0.00000     0.00000     0.00000
   -77.96231     0.00000     0.00000     0.00000
   -77.95231     0.00000     0.00000     0.00000
   -77.94131     0.00000     0.00000     0.00000
   -77.93131     0.00000     0.00000     0.00000
   -77.92031     0.00000     0.00000     0.00000
   -77.90931     0.00000     0.00000     0.00000
   -77.89931     0.00000     0.00000     0.00000
   -77.88831     0.00000     0.00000     0.00000
   -77.87731     0.00000     0.00000     0.00000
   -77.86731     0.00000     0.00000     0.00000
   -77.85631     0.00000     0.00000     0.00000
   -77.84631     0.00000     0.00000     0.00000
   -77.83531     0.00000     0.00000     0.00000
   -77.82431     0.00000     0.00000     0.00000
   -77.81431     0.00000     0.00000     0.00000
   -77.80331     0.00000     0.00000     0.00000
   -77.79231     0.00000     0.00000     0.00000
   -77.78231     0.00000     0.00000     0.00000
   -77.77131     0.00000     0.00000     0.00000
   -77.76131     0.00000     0.00000     0.00000
   -77.75031     0.00000     0.00000     0.00000
   -77.73931     0.00000     0.00000     0.00000
   -77.72931     0.00000     0.00000     0.00000
   -77.71831     0.00000     0.00000     0.00000
   -77.70831     0.00000     0.00000     0.00000
   -77.69731     0.00000     0.00000     0.00000
   -77.68631     0.00000     0.00000     0.00000
   -77.67631     0.00000     0.00000     0.00000
   -77.66531     0.00000     0.00000     0.00000
   -77.65431     0.00000     0.00000     0.00000
   -77.64431     0.00000     0.00000     0.00000
   -77.63331     0.00000     0.00000     0.00000
   -77.62331     0.00000     0.00000     0.00000
   -77.61231     0.00000     0.00000     0.00000
   -77.60131     0.00000     0.00000     0.00000
   -77.59131     0.00000     0.00000     0.00000
   -77.58031     0.00000     0.00000     0.00000
   -77.56931     0.00000     0.00000     0.00000
   -77.55931     0.00000     0.00000     0.00000
   -77.54831     0.00000     0.00000     0.00000
   -77.53831     0.00000     0.00000     0.00000
   -77.52731     0.00000     0.00000     0.00000
   -77.51631     0.00000     0.00000     0.00000
   -77.50631     0.00000     0.00000     0.00000
   -77.49531     0.00000     0.00000     0.00000
   -77.48431     0.00000     0.00000     0.00000
   -77.47431     0.00000     0.00000     0.00000
   -77.46331     0.00000     0.00000     0.00000
   -77.45331     0.00000     0.00000     0.00000
   -77.44231     0.00000     0.00000     0.00000
   -77.43131     0.00000     0.00000     0.00000
   -77.42131     0.00000     0.00000     0.00000
   -77.41031     0.00000     0.00000     0.00000
   -77.40031     0.00000     0.00000     0.00000
   -77.38931     0.00000     0.00000     0.00000
   -77.37831     0.00000     0.00000     0.00000
   -77.36831     0.00000     0.00000     0.00000
   -77.35731     0.00000     0.00000     0.00000
   -77.34631     0.00000     0.00000     0.00000
   -77.33631     0.00000     0.00000     0.00000
   -77.32531     0.00000     0.00000     0.00000
   -77.31531     0.00000     0.00000     0.00000
   -77.30431     0.00000     0.00000     0.00000
   -77.29331     0.00000     0.00000     0.00000
   -77.28331     0.00000     0.00000     0.00000
   -77.27231     0.00000     0.00000     0.00000
   -77.26131     0.00000     0.00000     0.00000
   -77.25131     0.00000     0.00000     0.00000
   -77.24031     0.00000     0.00000     0.00000
   -77.23031     0.00000     0.00000     0.00000
   -77.21931     0.00000     0.00000     0.00000
   -77.20831     0.00000     0.00000     0.00000
   -77.19831     0.00000     0.00000     0.00000
   -77.18731     0.00000     0.00000     0.00000
   -77.17631     0.00000     0.00000     0.00000
   -77.16631     0.00000     0.00000     0.00000
   -77.15531     0.00000     0.00000     0.00000
   -77.14531     0.00000     0.00000     0.00000
   -77.13431     0.00000     0.00000     0.00000
   -77.12331     0.00000     0.00000     0.00000
   -77.11331     0.00000     0.00000     0.00000
   -77.10231     0.00000     0.00000     0.00000
   -77.09231     0.00000     0.00000     0.00000
   -77.08131     0.00000     0.00000     0.00000
   -77.07031     0.00000     0.00000     0.00000
   -77.06031     0.00000     0.00000     0.00000
   -77.04931     0.00000     0.00000     0.00000
   -77.03831     0.00000     0.00000     0.00000
   -77.02831     0.00000     0.00000     0.00000
   -77.01731     0.00000     0.00000     0.00000
   -77.00731     0.00000     0.00000     0.00000
   -76.99631     0.00000     0.00000     0.00000
   -76.98531     0.00000     0.00000     0.00000
   -76.97531     0.00000     0.00000     0.00000
   -76.96431     0.00000     0.00000     0.00000
   -76.95331     0.00000     0.00000     0.00000
   -76.94331     0.00000     0.00000     0.00000
   -76.93231     0.00000     0.00000     0.00000
   -76.92231     0.00000     0.00000     0.00000
   -76.91131     0.00000     0.00000     0.00000
   -76.90031     0.00000     0.00000     0.00000
