     #Energy       W_all      Mo_all      Pt_all
   -78.28116     0.00000     0.00000     0.00000
   -78.27016     0.00000     0.00000     0.00000
   -78.26016     0.00000     0.00000     0.00000
   -78.24916     0.00000     0.00000     0.00000
   -78.23816     0.00000     0.00000     0.00000
   -78.22716     0.00000     0.00000     0.00000
   -78.21716     0.00000     0.00000     0.00000
   -78.20616     0.00000     0.00000     0.00000
   -78.19516     0.00000     0.00000     0.00000
   -78.18516     0.00000     0.00000     0.00000
   -78.17416     0.00000     0.00000     0.00000
   -78.16316     0.00000     0.00000     0.00000
   -78.15316     0.00000     0.00000     0.00000
   -78.14216     0.00000     0.00000     0.00000
   -78.13116     0.00000     0.00000     0.00000
   -78.12116     0.00000     0.00000     0.00000
   -78.11016     0.00000     0.00000     0.00000
   -78.09916     0.00000     0.00000     0.00000
   -78.08916     0.00000     0.00000     0.00000
   -78.07816     0.00000     0.00000     0.00000
   -78.06716     0.00000     0.00000     0.00000
   -78.05616     0.00000     0.00000     0.00000
   -78.04616     0.00000     0.00000     0.00000
   -78.03516     0.00000     0.00000     0.00000
   -78.02416     0.00000     0.00000     0.00000
   -78.01416     0.00000     0.00000     0.00000
   -78.00316     0.00000     0.00000     0.00000
   -77.99216     0.00000     0.00000     0.00000
   -77.98216     0.00000     0.00000     0.00000
   -77.97116     0.00000     0.00000     0.00000
   -77.96016     0.00000     0.00000     0.00000
   -77.95016     0.00000     0.00000     0.00000
   -77.93916     0.00000     0.00000     0.00000
   -77.92816     0.00000     0.00000     0.00000
   -77.91816     0.00000     0.00000     0.00000
   -77.90716     0.00000     0.00000     0.00000
   -77.89616     0.00000     0.00000     0.00000
   -77.88516     0.00000     0.00000     0.00000
   -77.87516     0.00000     0.00000     0.00000
   -77.86416     0.00000     0.00000     0.00000
   -77.85316     0.00000     0.00000     0.00000
   -77.84316     0.00000     0.00000     0.00000
   -77.83216     0.00000     0.00000     0.00000
   -77.82116     0.00000     0.00000     0.00000
   -77.81116     0.00000     0.00000     0.00000
   -77.80016     0.00000     0.00000     0.00000
   -77.78916     0.00000     0.00000     0.00000
   -77.77916     0.00000     0.00000     0.00000
   -77.76816     0.00000     0.00000     0.00000
   -77.75716     0.00000     0.00000     0.00000
   -77.74716     0.00000     0.00000     0.00000
   -77.73616     0.00000     0.00000     0.00000
   -77.72516     0.00000     0.00000     0.00000
   -77.71416     0.00000     0.00000     0.00000
   -77.70416     0.00000     0.00000     0.00000
   -77.69316     0.00000     0.00000     0.00000
   -77.68216     0.00000     0.00000     0.00000
   -77.67216     0.00000     0.00000     0.00000
   -77.66116     0.00000     0.00000     0.00000
   -77.65016     0.00000     0.00000     0.00000
   -77.64016     0.00000     0.00000     0.00000
   -77.62916     0.00000     0.00000     0.00000
   -77.61816     0.00000     0.00000     0.00000
   -77.60816     0.00000     0.00000     0.00000
   -77.59716     0.00000     0.00000     0.00000
   -77.58616     0.00000     0.00000     0.00000
   -77.57616     0.00000     0.00000     0.00000
   -77.56516     0.00000     0.00000     0.00000
   -77.55416     0.00000     0.00000     0.00000
   -77.54316     0.00000     0.00000     0.00000
   -77.53316     0.00000     0.00000     0.00000
   -77.52216     0.00000     0.00000     0.00000
   -77.51116     0.00000     0.00000     0.00000
   -77.50116     0.00000     0.00000     0.00000
   -77.49016     0.00000     0.00000     0.00000
   -77.47916     0.00000     0.00000     0.00000
   -77.46916     0.00000     0.00000     0.00000
   -77.45816     0.00000     0.00000     0.00000
   -77.44716     0.00000     0.00000     0.00000
   -77.43716     0.00000     0.00000     0.00000
   -77.42616     0.00000     0.00000     0.00000
   -77.41516     0.00000     0.00000     0.00000
   -77.40516     0.00000     0.00000     0.00000
   -77.39416     0.00000     0.00000     0.00000
   -77.38316     0.00000     0.00000     0.00000
   -77.37216     0.00000     0.00000     0.00000
   -77.36216     0.00000     0.00000     0.00000
   -77.35116     0.00000     0.00000     0.00000
   -77.34016     0.00000     0.00000     0.00000
   -77.33016     0.00000     0.00000     0.00000
   -77.31916     0.00000     0.00000     0.00000
   -77.30816     0.00000     0.00000     0.00000
   -77.29816     0.00000     0.00000     0.00000
   -77.28716     0.00000     0.00000     0.00000
   -77.27616     0.00000     0.00000     0.00000
   -77.26616     0.00000     0.00000     0.00000
   -77.25516     0.00000     0.00000     0.00000
   -77.24416     0.00000     0.00000     0.00000
   -77.23416     0.00000     0.00000     0.00000
   -77.22316     0.00000     0.00000     0.00000
   -77.21216     0.00000     0.00000     0.00000
   -77.20116     0.00000     0.00000     0.00000
   -77.19116     0.00000     0.00000     0.00000
   -77.18016     0.00000     0.00000     0.00000
   -77.16916     0.00000     0.00000     0.00000
   -77.15916     0.00000     0.00000     0.00000
   -77.14816     0.00000     0.00000     0.00000
   -77.13716     0.00000     0.00000     0.00000
   -77.12716     0.00000     0.00000     0.00000
   -77.11616     0.00000     0.00000     0.00000
   -77.10516     0.00000     0.00000     0.00000
   -77.09516     0.00000     0.00000     0.00000
   -77.08416     0.00000     0.00000     0.00000
   -77.07316     0.00000     0.00000     0.00000
   -77.06316     0.00000     0.00000     0.00000
   -77.05216     0.00000     0.00000     0.00000
   -77.04116     0.00000     0.00000     0.00000
   -77.03016     0.00000     0.00000     0.00000
   -77.02016     0.00000     0.00000     0.00000
   -77.00916     0.00000     0.00000     0.00000
   -76.99816     0.00000     0.00000     0.00000
   -76.98816     0.00000     0.00000     0.00000
   -76.97716     0.00000     0.00000     0.00000
   -76.96616     0.00000     0.00000     0.00000
   -76.95616     0.00000     0.00000     0.00000
   -76.94516     0.00000     0.00000     0.00000
   -76.93416     0.00000     0.00000     0.00000
   -76.92416     0.00000     0.00000     0.00000
   -76.91316     0.00000     0.00000     0.00000
   -76.90216     0.00000     0.00000     0.00000
   -76.89216     0.00000     0.00000     0.00000
   -76.88116     0.00000     0.00000     0.00000
   -76.87016     0.00000     0.00000     0.00000
   -76.85916     0.00000     0.00000     0.00000
   -76.84916     0.00000     0.00000     0.00000
   -76.83816     0.00000     0.00000     0.00000
   -76.82716     0.00000     0.00000     0.00000
   -76.81716     0.00000     0.00000     0.00000
   -76.80616     0.00000     0.00000     0.00000
   -76.79516     0.00000     0.00000     0.00000
   -76.78516     0.00000     0.00000     0.00000
   -76.77416     0.00000     0.00000     0.00000
   -76.76316     0.00000     0.00000     0.00000
   -76.75316     0.00000     0.00000     0.00000
   -76.74216     0.00000     0.00000     0.00000
   -76.73116     0.00000     0.00000     0.00000
   -76.72116     0.00000     0.00000     0.00000
   -76.71016     0.00000     0.00000     0.00000
   -76.69916     0.00000     0.00000     0.00000
   -76.68816     0.00000     0.00000     0.00000
   -76.67816     0.00000     0.00000     0.00000
   -76.66716     0.00000     0.00000     0.00000
   -76.65616     0.00000     0.00000     0.00000
   -76.64616     0.00000     0.00000     0.00000
   -76.63516     0.00000     0.00000     0.00000
   -76.62416     0.00000     0.00000     0.00000
   -76.61416     0.00000     0.00000     0.00000
   -76.60316     0.00000     0.00000     0.00000
   -76.59216     0.00000     0.00000     0.00000
   -76.58216     0.00000     0.00000     0.00000
   -76.57116     0.00000     0.00000     0.00000
   -76.56016     0.00000     0.00000     0.00000
   -76.55016     0.00000     0.00000     0.00000
   -76.53916     0.00000     0.00000     0.00000
   -76.52816     0.00000     0.00000     0.00000
   -76.51716     0.00000     0.00000     0.00000
   -76.50716     0.00000     0.00000     0.00000
   -76.49616     0.00000     0.00000     0.00000
   -76.48516     0.00000     0.00000     0.00000
   -76.47516     0.00000     0.00000     0.00000
   -76.46416     0.00000     0.00000     0.00000
   -76.45316     0.00000     0.00000     0.00000
   -76.44316     0.00000     0.00000     0.00000
   -76.43216     0.00000     0.00000     0.00000
   -76.42116     0.00000     0.00000     0.00000
   -76.41116     0.00000     0.00000     0.00000
   -76.40016     0.00000     0.00000     0.00000
   -76.38916     0.00000     0.00000     0.00000
   -76.37916     0.00000     0.00000     0.00000
   -76.36816     0.00000     0.00000     0.00000
   -76.35716     0.00000     0.00000     0.00000
   -76.34616     0.00000     0.00000     0.00000
   -76.33616     0.00000     0.00000     0.00000
   -76.32516     0.00000     0.00000     0.00000
   -76.31416     0.00000     0.00000     0.00000
   -76.30416     0.00000     0.00000     0.00000
   -76.29316     0.00000     0.00000     0.00000
   -76.28216     0.00000     0.00000     0.00000
   -76.27216     0.00000     0.00000     0.00000
   -76.26116     0.00000     0.00000     0.00000
   -76.25016     0.00000     0.00000     0.00000
   -76.24016     0.00000     0.00000     0.00000
   -76.22916     0.00000     0.00000     0.00000
   -76.21816     0.00000     0.00000     0.00000
   -76.20816     0.00000     0.00000     0.00000
