     #Energy       W_all      Mo_all      Re_all
   -84.89508     0.00000     0.00000     0.00000
   -84.88308     0.00000     0.00000     0.00000
   -84.87108     0.00000     0.00000     0.00000
   -84.85908     0.00000     0.00000     0.00000
   -84.84708     0.00000     0.00000     0.00000
   -84.83508     0.00000     0.00000     0.00000
   -84.82308     0.00000     0.00000     0.00000
   -84.81208     0.00000     0.00000     0.00000
   -84.80008     0.00000     0.00000     0.00000
   -84.78808     0.00000     0.00000     0.00000
   -84.77608     0.00000     0.00000     0.00000
   -84.76408     0.00000     0.00000     0.00000
   -84.75208     0.00000     0.00000     0.00000
   -84.74108     0.00000     0.00000     0.00000
   -84.72908     0.00000     0.00000     0.00000
   -84.71708     0.00000     0.00000     0.00000
   -84.70508     0.00000     0.00000     0.00000
   -84.69308     0.00000     0.00000     0.00000
   -84.68108     0.00000     0.00000     0.00000
   -84.67008     0.00000     0.00000     0.00000
   -84.65808     0.00000     0.00000     0.00000
   -84.64608     0.00000     0.00000     0.00000
   -84.63408     0.00000     0.00000     0.00000
   -84.62208     0.00000     0.00000     0.00000
   -84.61008     0.00000     0.00000     0.00000
   -84.59808     0.00000     0.00000     0.00000
   -84.58708     0.00000     0.00000     0.00000
   -84.57508     0.00000     0.00000     0.00000
   -84.56308     0.00000     0.00000     0.00000
   -84.55108     0.00000     0.00000     0.00000
   -84.53908     0.00000     0.00000     0.00000
   -84.52708     0.00000     0.00000     0.00000
   -84.51608     0.00000     0.00000     0.00000
   -84.50408     0.00000     0.00000     0.00000
   -84.49208     0.00000     0.00000     0.00000
   -84.48008     0.00000     0.00000     0.00000
   -84.46808     0.00000     0.00000     0.00000
   -84.45608     0.00000     0.00000     0.00000
   -84.44408     0.00000     0.00000     0.00000
   -84.43308     0.00000     0.00000     0.00000
   -84.42108     0.00000     0.00000     0.00000
   -84.40908     0.00000     0.00000     0.00000
   -84.39708     0.00000     0.00000     0.00000
   -84.38508     0.00000     0.00000     0.00000
   -84.37308     0.00000     0.00000     0.00000
   -84.36208     0.00000     0.00000     0.00000
   -84.35008     0.00000     0.00000     0.00000
   -84.33808     0.00000     0.00000     0.00000
   -84.32608     0.00000     0.00000     0.00000
   -84.31408     0.00000     0.00000     0.00000
   -84.30208     0.00000     0.00000     0.00000
   -84.29108     0.00000     0.00000     0.00000
   -84.27908     0.00000     0.00000     0.00000
   -84.26708     0.00000     0.00000     0.00000
   -84.25508     0.00000     0.00000     0.00000
   -84.24308     0.00000     0.00000     0.00000
   -84.23108     0.00000     0.00000     0.00000
   -84.21908     0.00000     0.00000     0.00000
   -84.20808     0.00000     0.00000     0.00000
   -84.19608     0.00000     0.00000     0.00000
   -84.18408     0.00000     0.00000     0.00000
   -84.17208     0.00000     0.00000     0.00000
   -84.16008     0.00000     0.00000     0.00000
   -84.14808     0.00000     0.00000     0.00000
   -84.13708     0.00000     0.00000     0.00000
