     #Energy       W_all      Mo_all      Rh_all
   -78.22709     0.00000     0.00000     0.00000
   -78.21609     0.00000     0.00000     0.00000
   -78.20409     0.00000     0.00000     0.00000
   -78.19309     0.00000     0.00000     0.00000
   -78.18209     0.00000     0.00000     0.00000
   -78.17109     0.00000     0.00000     0.00000
   -78.16009     0.00000     0.00000     0.00000
   -78.14909     0.00000     0.00000     0.00000
   -78.13809     0.00000     0.00000     0.00000
   -78.12709     0.00000     0.00000     0.00000
   -78.11509     0.00000     0.00000     0.00000
   -78.10409     0.00000     0.00000     0.00000
   -78.09309     0.00000     0.00000     0.00000
   -78.08209     0.00000     0.00000     0.00000
   -78.07109     0.00000     0.00000     0.00000
   -78.06009     0.00000     0.00000     0.00000
   -78.04909     0.00000     0.00000     0.00000
   -78.03809     0.00000     0.00000     0.00000
   -78.02609     0.00000     0.00000     0.00000
   -78.01509     0.00000     0.00000     0.00000
   -78.00409     0.00000     0.00000     0.00000
   -77.99309     0.00000     0.00000     0.00000
   -77.98209     0.00000     0.00000     0.00000
   -77.97109     0.00000     0.00000     0.00000
   -77.96009     0.00000     0.00000     0.00000
   -77.94909     0.00000     0.00000     0.00000
   -77.93809     0.00000     0.00000     0.00000
   -77.92609     0.00000     0.00000     0.00000
   -77.91509     0.00000     0.00000     0.00000
   -77.90409     0.00000     0.00000     0.00000
   -77.89309     0.00000     0.00000     0.00000
   -77.88209     0.00000     0.00000     0.00000
   -77.87109     0.00000     0.00000     0.00000
   -77.86009     0.00000     0.00000     0.00000
   -77.84909     0.00000     0.00000     0.00000
   -77.83709     0.00000     0.00000     0.00000
   -77.82609     0.00000     0.00000     0.00000
   -77.81509     0.00000     0.00000     0.00000
   -77.80409     0.00000     0.00000     0.00000
   -77.79309     0.00000     0.00000     0.00000
   -77.78209     0.00000     0.00000     0.00000
   -77.77109     0.00000     0.00000     0.00000
   -77.76009     0.00000     0.00000     0.00000
   -77.74809     0.00000     0.00000     0.00000
   -77.73709     0.00000     0.00000     0.00000
   -77.72609     0.00000     0.00000     0.00000
   -77.71509     0.00000     0.00000     0.00000
   -77.70409     0.00000     0.00000     0.00000
   -77.69309     0.00000     0.00000     0.00000
   -77.68209     0.00000     0.00000     0.00000
   -77.67109     0.00000     0.00000     0.00000
   -77.65909     0.00000     0.00000     0.00000
   -77.64809     0.00000     0.00000     0.00000
   -77.63709     0.00000     0.00000     0.00000
   -77.62609     0.00000     0.00000     0.00000
   -77.61509     0.00000     0.00000     0.00000
   -77.60409     0.00000     0.00000     0.00000
   -77.59309     0.00000     0.00000     0.00000
