     #Energy       W_all      Mo_all      Ru_all
   -78.26792     0.00000     0.00000     0.00000
   -78.25692     0.00000     0.00000     0.00000
   -78.24592     0.00000     0.00000     0.00000
   -78.23492     0.00000     0.00000     0.00000
   -78.22392     0.00000     0.00000     0.00000
   -78.21292     0.00000     0.00000     0.00000
   -78.20192     0.00000     0.00000     0.00000
   -78.19092     0.00000     0.00000     0.00000
   -78.17992     0.00000     0.00000     0.00000
   -78.16892     0.00000     0.00000     0.00000
   -78.15792     0.00000     0.00000     0.00000
   -78.14692     0.00000     0.00000     0.00000
   -78.13592     0.00000     0.00000     0.00000
   -78.12492     0.00000     0.00000     0.00000
   -78.11392     0.00000     0.00000     0.00000
   -78.10292     0.00000     0.00000     0.00000
   -78.09192     0.00000     0.00000     0.00000
   -78.08092     0.00000     0.00000     0.00000
   -78.06892     0.00000     0.00000     0.00000
   -78.05792     0.00000     0.00000     0.00000
   -78.04692     0.00000     0.00000     0.00000
   -78.03592     0.00000     0.00000     0.00000
   -78.02492     0.00000     0.00000     0.00000
   -78.01392     0.00000     0.00000     0.00000
   -78.00292     0.00000     0.00000     0.00000
   -77.99192     0.00000     0.00000     0.00000
   -77.98092     0.00000     0.00000     0.00000
   -77.96992     0.00000     0.00000     0.00000
   -77.95892     0.00000     0.00000     0.00000
   -77.94792     0.00000     0.00000     0.00000
   -77.93692     0.00000     0.00000     0.00000
   -77.92592     0.00000     0.00000     0.00000
   -77.91492     0.00000     0.00000     0.00000
   -77.90392     0.00000     0.00000     0.00000
   -77.89292     0.00000     0.00000     0.00000
   -77.88192     0.00000     0.00000     0.00000
   -77.87092     0.00000     0.00000     0.00000
   -77.85992     0.00000     0.00000     0.00000
   -77.84892     0.00000     0.00000     0.00000
   -77.83792     0.00000     0.00000     0.00000
   -77.82592     0.00000     0.00000     0.00000
   -77.81492     0.00000     0.00000     0.00000
   -77.80392     0.00000     0.00000     0.00000
   -77.79292     0.00000     0.00000     0.00000
   -77.78192     0.00000     0.00000     0.00000
   -77.77092     0.00000     0.00000     0.00000
   -77.75992     0.00000     0.00000     0.00000
   -77.74892     0.00000     0.00000     0.00000
