     #Energy       W_all      Mo_all      Ir_all      Hf_all
   -78.21000     0.00000     0.00000     0.00000     0.00000
   -78.19900     0.00000     0.00000     0.00000     0.00000
   -78.18800     0.00000     0.00000     0.00000     0.00000
   -78.17700     0.00000     0.00000     0.00000     0.00000
   -78.16600     0.00000     0.00000     0.00000     0.00000
   -78.15500     0.00000     0.00000     0.00000     0.00000
   -78.14400     0.00000     0.00000     0.00000     0.00000
   -78.13300     0.00000     0.00000     0.00000     0.00000
   -78.12200     0.00000     0.00000     0.00000     0.00000
   -78.11100     0.00000     0.00000     0.00000     0.00000
   -78.10000     0.00000     0.00000     0.00000     0.00000
   -78.08900     0.00000     0.00000     0.00000     0.00000
   -78.07800     0.00000     0.00000     0.00000     0.00000
   -78.06700     0.00000     0.00000     0.00000     0.00000
   -78.05600     0.00000     0.00000     0.00000     0.00000
   -78.04500     0.00000     0.00000     0.00000     0.00000
   -78.03400     0.00000     0.00000     0.00000     0.00000
   -78.02300     0.00000     0.00000     0.00000     0.00000
   -78.01200     0.00000     0.00000     0.00000     0.00000
   -78.00100     0.00000     0.00000     0.00000     0.00000
   -77.99000     0.00000     0.00000     0.00000     0.00000
   -77.97900     0.00000     0.00000     0.00000     0.00000
   -77.96800     0.00000     0.00000     0.00000     0.00000
   -77.95700     0.00000     0.00000     0.00000     0.00000
   -77.94600     0.00000     0.00000     0.00000     0.00000
   -77.93500     0.00000     0.00000     0.00000     0.00000
   -77.92400     0.00000     0.00000     0.00000     0.00000
   -77.91300     0.00000     0.00000     0.00000     0.00000
   -77.90200     0.00000     0.00000     0.00000     0.00000
   -77.89100     0.00000     0.00000     0.00000     0.00000
   -77.88000     0.00000     0.00000     0.00000     0.00000
   -77.86900     0.00000     0.00000     0.00000     0.00000
   -77.85800     0.00000     0.00000     0.00000     0.00000
   -77.84700     0.00000     0.00000     0.00000     0.00000
   -77.83600     0.00000     0.00000     0.00000     0.00000
   -77.82500     0.00000     0.00000     0.00000     0.00000
   -77.81400     0.00000     0.00000     0.00000     0.00000
   -77.80300     0.00000     0.00000     0.00000     0.00000
   -77.79200     0.00000     0.00000     0.00000     0.00000
   -77.78100     0.00000     0.00000     0.00000     0.00000
   -77.77000     0.00000     0.00000     0.00000     0.00000
   -77.75900     0.00000     0.00000     0.00000     0.00000
   -77.74800     0.00000     0.00000     0.00000     0.00000
   -77.73700     0.00000     0.00000     0.00000     0.00000
   -77.72600     0.00000     0.00000     0.00000     0.00000
   -77.71500     0.00000     0.00000     0.00000     0.00000
   -77.70400     0.00000     0.00000     0.00000     0.00000
   -77.69300     0.00000     0.00000     0.00000     0.00000
   -77.68200     0.00000     0.00000     0.00000     0.00000
   -77.67100     0.00000     0.00000     0.00000     0.00000
   -77.66000     0.00000     0.00000     0.00000     0.00000
   -77.64900     0.00000     0.00000     0.00000     0.00000
   -77.63800     0.00000     0.00000     0.00000     0.00000
   -77.62700     0.00000     0.00000     0.00000     0.00000
   -77.61600     0.00000     0.00000     0.00000     0.00000
   -77.60500     0.00000     0.00000     0.00000     0.00000
   -77.59400     0.00000     0.00000     0.00000     0.00000
   -77.58300     0.00000     0.00000     0.00000     0.00000
   -77.57200     0.00000     0.00000     0.00000     0.00000
   -77.56100     0.00000     0.00000     0.00000     0.00000
