     #Energy       W_all      Mo_all      Ir_all      Zr_all
   -78.26598     0.00000     0.00000     0.00000     0.00000
   -78.25498     0.00000     0.00000     0.00000     0.00000
   -78.24398     0.00000     0.00000     0.00000     0.00000
   -78.23298     0.00000     0.00000     0.00000     0.00000
   -78.22198     0.00000     0.00000     0.00000     0.00000
   -78.21098     0.00000     0.00000     0.00000     0.00000
   -78.19998     0.00000     0.00000     0.00000     0.00000
   -78.18898     0.00000     0.00000     0.00000     0.00000
   -78.17798     0.00000     0.00000     0.00000     0.00000
   -78.16698     0.00000     0.00000     0.00000     0.00000
   -78.15598     0.00000     0.00000     0.00000     0.00000
   -78.14498     0.00000     0.00000     0.00000     0.00000
   -78.13398     0.00000     0.00000     0.00000     0.00000
   -78.12298     0.00000     0.00000     0.00000     0.00000
   -78.11298     0.00000     0.00000     0.00000     0.00000
   -78.10198     0.00000     0.00000     0.00000     0.00000
   -78.09098     0.00000     0.00000     0.00000     0.00000
   -78.07998     0.00000     0.00000     0.00000     0.00000
   -78.06898     0.00000     0.00000     0.00000     0.00000
   -78.05798     0.00000     0.00000     0.00000     0.00000
   -78.04698     0.00000     0.00000     0.00000     0.00000
   -78.03598     0.00000     0.00000     0.00000     0.00000
   -78.02498     0.00000     0.00000     0.00000     0.00000
   -78.01398     0.00000     0.00000     0.00000     0.00000
   -78.00298     0.00000     0.00000     0.00000     0.00000
   -77.99198     0.00000     0.00000     0.00000     0.00000
   -77.98098     0.00000     0.00000     0.00000     0.00000
   -77.96998     0.00000     0.00000     0.00000     0.00000
   -77.95898     0.00000     0.00000     0.00000     0.00000
   -77.94798     0.00000     0.00000     0.00000     0.00000
   -77.93798     0.00000     0.00000     0.00000     0.00000
   -77.92698     0.00000     0.00000     0.00000     0.00000
   -77.91598     0.00000     0.00000     0.00000     0.00000
   -77.90498     0.00000     0.00000     0.00000     0.00000
   -77.89398     0.00000     0.00000     0.00000     0.00000
   -77.88298     0.00000     0.00000     0.00000     0.00000
   -77.87198     0.00000     0.00000     0.00000     0.00000
   -77.86098     0.00000     0.00000     0.00000     0.00000
   -77.84998     0.00000     0.00000     0.00000     0.00000
   -77.83898     0.00000     0.00000     0.00000     0.00000
   -77.82798     0.00000     0.00000     0.00000     0.00000
   -77.81698     0.00000     0.00000     0.00000     0.00000
   -77.80598     0.00000     0.00000     0.00000     0.00000
   -77.79498     0.00000     0.00000     0.00000     0.00000
   -77.78398     0.00000     0.00000     0.00000     0.00000
   -77.77398     0.00000     0.00000     0.00000     0.00000
   -77.76298     0.00000     0.00000     0.00000     0.00000
   -77.75198     0.00000     0.00000     0.00000     0.00000
   -77.74098     0.00000     0.00000     0.00000     0.00000
   -77.72998     0.00000     0.00000     0.00000     0.00000
   -77.71898     0.00000     0.00000     0.00000     0.00000
   -77.70798     0.00000     0.00000     0.00000     0.00000
   -77.69698     0.00000     0.00000     0.00000     0.00000
   -77.68598     0.00000     0.00000     0.00000     0.00000
   -77.67498     0.00000     0.00000     0.00000     0.00000
   -77.66398     0.00000     0.00000     0.00000     0.00000
   -77.65298     0.00000     0.00000     0.00000     0.00000
   -77.64198     0.00000     0.00000     0.00000     0.00000
   -77.63098     0.00000     0.00000     0.00000     0.00000
   -77.61998     0.00000     0.00000     0.00000     0.00000
   -77.60898     0.00000     0.00000     0.00000     0.00000
   -77.59898     0.00000     0.00000     0.00000     0.00000
   -77.58798     0.00000     0.00000     0.00000     0.00000
   -77.57698     0.00000     0.00000     0.00000     0.00000
   -77.56598     0.00000     0.00000     0.00000     0.00000
   -77.55498     0.00000     0.00000     0.00000     0.00000
   -77.54398     0.00000     0.00000     0.00000     0.00000
   -77.53298     0.00000     0.00000     0.00000     0.00000
   -77.52198     0.00000     0.00000     0.00000     0.00000
   -77.51098     0.00000     0.00000     0.00000     0.00000
   -77.49998     0.00000     0.00000     0.00000     0.00000
   -77.48898     0.00000     0.00000     0.00000     0.00000
   -77.47798     0.00000     0.00000     0.00000     0.00000
   -77.46698     0.00000     0.00000     0.00000     0.00000
   -77.45598     0.00000     0.00000     0.00000     0.00000
   -77.44498     0.00000     0.00000     0.00000     0.00000
   -77.43398     0.00000     0.00000     0.00000     0.00000
   -77.42398     0.00000     0.00000     0.00000     0.00000
   -77.41298     0.00000     0.00000     0.00000     0.00000
   -77.40198     0.00000     0.00000     0.00000     0.00000
   -77.39098     0.00000     0.00000     0.00000     0.00000
   -77.37998     0.00000     0.00000     0.00000     0.00000
   -77.36898     0.00000     0.00000     0.00000     0.00000
   -77.35798     0.00000     0.00000     0.00000     0.00000
   -77.34698     0.00000     0.00000     0.00000     0.00000
   -77.33598     0.00000     0.00000     0.00000     0.00000
   -77.32498     0.00000     0.00000     0.00000     0.00000
   -77.31398     0.00000     0.00000     0.00000     0.00000
   -77.30298     0.00000     0.00000     0.00000     0.00000
   -77.29198     0.00000     0.00000     0.00000     0.00000
   -77.28098     0.00000     0.00000     0.00000     0.00000
   -77.26998     0.00000     0.00000     0.00000     0.00000
   -77.25898     0.00000     0.00000     0.00000     0.00000
   -77.24898     0.00000     0.00000     0.00000     0.00000
   -77.23798     0.00000     0.00000     0.00000     0.00000
   -77.22698     0.00000     0.00000     0.00000     0.00000
   -77.21598     0.00000     0.00000     0.00000     0.00000
   -77.20498     0.00000     0.00000     0.00000     0.00000
   -77.19398     0.00000     0.00000     0.00000     0.00000
   -77.18298     0.00000     0.00000     0.00000     0.00000
   -77.17198     0.00000     0.00000     0.00000     0.00000
   -77.16098     0.00000     0.00000     0.00000     0.00000
   -77.14998     0.00000     0.00000     0.00000     0.00000
   -77.13898     0.00000     0.00000     0.00000     0.00000
   -77.12798     0.00000     0.00000     0.00000     0.00000
   -77.11698     0.00000     0.00000     0.00000     0.00000
   -77.10598     0.00000     0.00000     0.00000     0.00000
   -77.09498     0.00000     0.00000     0.00000     0.00000
   -77.08398     0.00000     0.00000     0.00000     0.00000
   -77.07398     0.00000     0.00000     0.00000     0.00000
   -77.06298     0.00000     0.00000     0.00000     0.00000
   -77.05198     0.00000     0.00000     0.00000     0.00000
   -77.04098     0.00000     0.00000     0.00000     0.00000
   -77.02998     0.00000     0.00000     0.00000     0.00000
   -77.01898     0.00000     0.00000     0.00000     0.00000
   -77.00798     0.00000     0.00000     0.00000     0.00000
   -76.99698     0.00000     0.00000     0.00000     0.00000
   -76.98598     0.00000     0.00000     0.00000     0.00000
   -76.97498     0.00000     0.00000     0.00000     0.00000
   -76.96398     0.00000     0.00000     0.00000     0.00000
   -76.95298     0.00000     0.00000     0.00000     0.00000
   -76.94198     0.00000     0.00000     0.00000     0.00000
   -76.93098     0.00000     0.00000     0.00000     0.00000
   -76.91998     0.00000     0.00000     0.00000     0.00000
   -76.90998     0.00000     0.00000     0.00000     0.00000
   -76.89898     0.00000     0.00000     0.00000     0.00000
   -76.88798     0.00000     0.00000     0.00000     0.00000
   -76.87698     0.00000     0.00000     0.00000     0.00000
   -76.86598     0.00000     0.00000     0.00000     0.00000
   -76.85498     0.00000     0.00000     0.00000     0.00000
   -76.84398     0.00000     0.00000     0.00000     0.00000
   -76.83298     0.00000     0.00000     0.00000     0.00000
   -76.82198     0.00000     0.00000     0.00000     0.00000
   -76.81098     0.00000     0.00000     0.00000     0.00000
   -76.79998     0.00000     0.00000     0.00000     0.00000
   -76.78898     0.00000     0.00000     0.00000     0.00000
   -76.77798     0.00000     0.00000     0.00000     0.00000
   -76.76698     0.00000     0.00000     0.00000     0.00000
   -76.75598     0.00000     0.00000     0.00000     0.00000
   -76.74498     0.00000     0.00000     0.00000     0.00000
   -76.73498     0.00000     0.00000     0.00000     0.00000
   -76.72398     0.00000     0.00000     0.00000     0.00000
   -76.71298     0.00000     0.00000     0.00000     0.00000
   -76.70198     0.00000     0.00000     0.00000     0.00000
   -76.69098     0.00000     0.00000     0.00000     0.00000
   -76.67998     0.00000     0.00000     0.00000     0.00000
   -76.66898     0.00000     0.00000     0.00000     0.00000
   -76.65798     0.00000     0.00000     0.00000     0.00000
   -76.64698     0.00000     0.00000     0.00000     0.00000
   -76.63598     0.00000     0.00000     0.00000     0.00000
   -76.62498     0.00000     0.00000     0.00000     0.00000
   -76.61398     0.00000     0.00000     0.00000     0.00000
   -76.60298     0.00000     0.00000     0.00000     0.00000
   -76.59198     0.00000     0.00000     0.00000     0.00000
   -76.58098     0.00000     0.00000     0.00000     0.00000
   -76.56998     0.00000     0.00000     0.00000     0.00000
   -76.55998     0.00000     0.00000     0.00000     0.00000
   -76.54898     0.00000     0.00000     0.00000     0.00000
   -76.53798     0.00000     0.00000     0.00000     0.00000
   -76.52698     0.00000     0.00000     0.00000     0.00000
   -76.51598     0.00000     0.00000     0.00000     0.00000
   -76.50498     0.00000     0.00000     0.00000     0.00000
   -76.49398     0.00000     0.00000     0.00000     0.00000
   -76.48298     0.00000     0.00000     0.00000     0.00000
   -76.47198     0.00000     0.00000     0.00000     0.00000
   -76.46098     0.00000     0.00000     0.00000     0.00000
   -76.44998     0.00000     0.00000     0.00000     0.00000
   -76.43898     0.00000     0.00000     0.00000     0.00000
   -76.42798     0.00000     0.00000     0.00000     0.00000
   -76.41698     0.00000     0.00000     0.00000     0.00000
   -76.40598     0.00000     0.00000     0.00000     0.00000
   -76.39498     0.00000     0.00000     0.00000     0.00000
   -76.38498     0.00000     0.00000     0.00000     0.00000
   -76.37398     0.00000     0.00000     0.00000     0.00000
   -76.36298     0.00000     0.00000     0.00000     0.00000
   -76.35198     0.00000     0.00000     0.00000     0.00000
   -76.34098     0.00000     0.00000     0.00000     0.00000
   -76.32998     0.00000     0.00000     0.00000     0.00000
   -76.31898     0.00000     0.00000     0.00000     0.00000
   -76.30798     0.00000     0.00000     0.00000     0.00000
   -76.29698     0.00000     0.00000     0.00000     0.00000
   -76.28598     0.00000     0.00000     0.00000     0.00000
   -76.27498     0.00000     0.00000     0.00000     0.00000
   -76.26398     0.00000     0.00000     0.00000     0.00000
   -76.25298     0.00000     0.00000     0.00000     0.00000
   -76.24198     0.00000     0.00000     0.00000     0.00000
   -76.23098     0.00000     0.00000     0.00000     0.00000
   -76.21998     0.00000     0.00000     0.00000     0.00000
   -76.20998     0.00000     0.00000     0.00000     0.00000
   -76.19898     0.00000     0.00000     0.00000     0.00000
   -76.18798     0.00000     0.00000     0.00000     0.00000
   -76.17698     0.00000     0.00000     0.00000     0.00000
   -76.16598     0.00000     0.00000     0.00000     0.00000
   -76.15498     0.00000     0.00000     0.00000     0.00000
   -76.14398     0.00000     0.00000     0.00000     0.00000
   -76.13298     0.00000     0.00000     0.00000     0.00000
   -76.12198     0.00000     0.00000     0.00000     0.00000
   -76.11098     0.00000     0.00000     0.00000     0.00000
   -76.09998     0.00000     0.00000     0.00000     0.00000
   -76.08898     0.00000     0.00000     0.00000     0.00000
   -76.07798     0.00000     0.00000     0.00000     0.00000
   -76.06698     0.00000     0.00000     0.00000     0.00000
   -76.05598     0.00000     0.00000     0.00000     0.00000
   -76.04598     0.00000     0.00000     0.00000     0.00000
   -76.03498     0.00000     0.00000     0.00000     0.00000
   -76.02398     0.00000     0.00000     0.00000     0.00000
   -76.01298     0.00000     0.00000     0.00000     0.00000
   -76.00198     0.00000     0.00000     0.00000     0.00000
   -75.99098     0.00000     0.00000     0.00000     0.00000
   -75.97998     0.00000     0.00000     0.00000     0.00000
   -75.96898     0.00000     0.00000     0.00000     0.00000
   -75.95798     0.00000     0.00000     0.00000     0.00000
   -75.94698     0.00000     0.00000     0.00000     0.00000
   -75.93598     0.00000     0.00000     0.00000     0.00000
   -75.92498     0.00000     0.00000     0.00000     0.00000
   -75.91398     0.00000     0.00000     0.00000     0.00000
   -75.90298     0.00000     0.00000     0.00000     0.00000
   -75.89198     0.00000     0.00000     0.00000     0.00000
   -75.88098     0.00000     0.00000     0.00000     0.00000
   -75.87098     0.00000     0.00000     0.00000     0.00000
   -75.85998     0.00000     0.00000     0.00000     0.00000
   -75.84898     0.00000     0.00000     0.00000     0.00000
   -75.83798     0.00000     0.00000     0.00000     0.00000
   -75.82698     0.00000     0.00000     0.00000     0.00000
   -75.81598     0.00000     0.00000     0.00000     0.00000
   -75.80498     0.00000     0.00000     0.00000     0.00000
   -75.79398     0.00000     0.00000     0.00000     0.00000
   -75.78298     0.00000     0.00000     0.00000     0.00000
   -75.77198     0.00000     0.00000     0.00000     0.00000
   -75.76098     0.00000     0.00000     0.00000     0.00000
   -75.74998     0.00000     0.00000     0.00000     0.00000
   -75.73898     0.00000     0.00000     0.00000     0.00000
   -75.72798     0.00000     0.00000     0.00000     0.00000
   -75.71698     0.00000     0.00000     0.00000     0.00000
   -75.70598     0.00000     0.00000     0.00000     0.00000
   -75.69598     0.00000     0.00000     0.00000     0.00000
   -75.68498     0.00000     0.00000     0.00000     0.00000
   -75.67398     0.00000     0.00000     0.00000     0.00000
   -75.66298     0.00000     0.00000     0.00000     0.00000
   -75.65198     0.00000     0.00000     0.00000     0.00000
   -75.64098     0.00000     0.00000     0.00000     0.00000
   -75.62998     0.00000     0.00000     0.00000     0.00000
   -75.61898     0.00000     0.00000     0.00000     0.00000
   -75.60798     0.00000     0.00000     0.00000     0.00000
   -75.59698     0.00000     0.00000     0.00000     0.00000
