     #Energy       W_all      Mo_all      Os_all      Ti_all
   -78.16323     0.00000     0.00000     0.00000     0.00000
   -78.15223     0.00000     0.00000     0.00000     0.00000
   -78.14123     0.00000     0.00000     0.00000     0.00000
   -78.13023     0.00000     0.00000     0.00000     0.00000
   -78.11923     0.00000     0.00000     0.00000     0.00000
   -78.10823     0.00000     0.00000     0.00000     0.00000
   -78.09723     0.00000     0.00000     0.00000     0.00000
   -78.08623     0.00000     0.00000     0.00000     0.00000
   -78.07623     0.00000     0.00000     0.00000     0.00000
   -78.06523     0.00000     0.00000     0.00000     0.00000
   -78.05423     0.00000     0.00000     0.00000     0.00000
   -78.04323     0.00000     0.00000     0.00000     0.00000
   -78.03223     0.00000     0.00000     0.00000     0.00000
   -78.02123     0.00000     0.00000     0.00000     0.00000
   -78.01023     0.00000     0.00000     0.00000     0.00000
   -78.00023     0.00000     0.00000     0.00000     0.00000
   -77.98923     0.00000     0.00000     0.00000     0.00000
   -77.97823     0.00000     0.00000     0.00000     0.00000
   -77.96723     0.00000     0.00000     0.00000     0.00000
   -77.95623     0.00000     0.00000     0.00000     0.00000
   -77.94523     0.00000     0.00000     0.00000     0.00000
   -77.93423     0.00000     0.00000     0.00000     0.00000
   -77.92323     0.00000     0.00000     0.00000     0.00000
   -77.91323     0.00000     0.00000     0.00000     0.00000
   -77.90223     0.00000     0.00000     0.00000     0.00000
   -77.89123     0.00000     0.00000     0.00000     0.00000
   -77.88023     0.00000     0.00000     0.00000     0.00000
   -77.86923     0.00000     0.00000     0.00000     0.00000
   -77.85823     0.00000     0.00000     0.00000     0.00000
   -77.84723     0.00000     0.00000     0.00000     0.00000
   -77.83623     0.00000     0.00000     0.00000     0.00000
   -77.82623     0.00000     0.00000     0.00000     0.00000
   -77.81523     0.00000     0.00000     0.00000     0.00000
   -77.80423     0.00000     0.00000     0.00000     0.00000
   -77.79323     0.00000     0.00000     0.00000     0.00000
   -77.78223     0.00000     0.00000     0.00000     0.00000
   -77.77123     0.00000     0.00000     0.00000     0.00000
   -77.76023     0.00000     0.00000     0.00000     0.00000
   -77.75023     0.00000     0.00000     0.00000     0.00000
   -77.73923     0.00000     0.00000     0.00000     0.00000
   -77.72823     0.00000     0.00000     0.00000     0.00000
   -77.71723     0.00000     0.00000     0.00000     0.00000
   -77.70623     0.00000     0.00000     0.00000     0.00000
   -77.69523     0.00000     0.00000     0.00000     0.00000
   -77.68423     0.00000     0.00000     0.00000     0.00000
   -77.67323     0.00000     0.00000     0.00000     0.00000
   -77.66323     0.00000     0.00000     0.00000     0.00000
   -77.65223     0.00000     0.00000     0.00000     0.00000
   -77.64123     0.00000     0.00000     0.00000     0.00000
   -77.63023     0.00000     0.00000     0.00000     0.00000
   -77.61923     0.00000     0.00000     0.00000     0.00000
   -77.60823     0.00000     0.00000     0.00000     0.00000
   -77.59723     0.00000     0.00000     0.00000     0.00000
   -77.58623     0.00000     0.00000     0.00000     0.00000
   -77.57623     0.00000     0.00000     0.00000     0.00000
   -77.56523     0.00000     0.00000     0.00000     0.00000
   -77.55423     0.00000     0.00000     0.00000     0.00000
   -77.54323     0.00000     0.00000     0.00000     0.00000
   -77.53223     0.00000     0.00000     0.00000     0.00000
   -77.52123     0.00000     0.00000     0.00000     0.00000
   -77.51023     0.00000     0.00000     0.00000     0.00000
   -77.50023     0.00000     0.00000     0.00000     0.00000
   -77.48923     0.00000     0.00000     0.00000     0.00000
   -77.47823     0.00000     0.00000     0.00000     0.00000
   -77.46723     0.00000     0.00000     0.00000     0.00000
   -77.45623     0.00000     0.00000     0.00000     0.00000
   -77.44523     0.00000     0.00000     0.00000     0.00000
   -77.43423     0.00000     0.00000     0.00000     0.00000
   -77.42323     0.00000     0.00000     0.00000     0.00000
   -77.41323     0.00000     0.00000     0.00000     0.00000
   -77.40223     0.00000     0.00000     0.00000     0.00000
   -77.39123     0.00000     0.00000     0.00000     0.00000
   -77.38023     0.00000     0.00000     0.00000     0.00000
   -77.36923     0.00000     0.00000     0.00000     0.00000
   -77.35823     0.00000     0.00000     0.00000     0.00000
   -77.34723     0.00000     0.00000     0.00000     0.00000
   -77.33623     0.00000     0.00000     0.00000     0.00000
   -77.32623     0.00000     0.00000     0.00000     0.00000
   -77.31523     0.00000     0.00000     0.00000     0.00000
   -77.30423     0.00000     0.00000     0.00000     0.00000
   -77.29323     0.00000     0.00000     0.00000     0.00000
   -77.28223     0.00000     0.00000     0.00000     0.00000
   -77.27123     0.00000     0.00000     0.00000     0.00000
   -77.26023     0.00000     0.00000     0.00000     0.00000
   -77.25023     0.00000     0.00000     0.00000     0.00000
   -77.23923     0.00000     0.00000     0.00000     0.00000
   -77.22823     0.00000     0.00000     0.00000     0.00000
   -77.21723     0.00000     0.00000     0.00000     0.00000
   -77.20623     0.00000     0.00000     0.00000     0.00000
   -77.19523     0.00000     0.00000     0.00000     0.00000
   -77.18423     0.00000     0.00000     0.00000     0.00000
   -77.17323     0.00000     0.00000     0.00000     0.00000
   -77.16323     0.00000     0.00000     0.00000     0.00000
   -77.15223     0.00000     0.00000     0.00000     0.00000
   -77.14123     0.00000     0.00000     0.00000     0.00000
   -77.13023     0.00000     0.00000     0.00000     0.00000
   -77.11923     0.00000     0.00000     0.00000     0.00000
   -77.10823     0.00000     0.00000     0.00000     0.00000
   -77.09723     0.00000     0.00000     0.00000     0.00000
   -77.08623     0.00000     0.00000     0.00000     0.00000
   -77.07623     0.00000     0.00000     0.00000     0.00000
   -77.06523     0.00000     0.00000     0.00000     0.00000
