     #Energy       W_all      Mo_all      Os_all      Zr_all
   -78.15521     0.00000     0.00000     0.00000     0.00000
   -78.14421     0.00000     0.00000     0.00000     0.00000
   -78.13321     0.00000     0.00000     0.00000     0.00000
   -78.12221     0.00000     0.00000     0.00000     0.00000
   -78.11221     0.00000     0.00000     0.00000     0.00000
   -78.10121     0.00000     0.00000     0.00000     0.00000
   -78.09021     0.00000     0.00000     0.00000     0.00000
   -78.07921     0.00000     0.00000     0.00000     0.00000
   -78.06821     0.00000     0.00000     0.00000     0.00000
   -78.05721     0.00000     0.00000     0.00000     0.00000
   -78.04621     0.00000     0.00000     0.00000     0.00000
   -78.03521     0.00000     0.00000     0.00000     0.00000
   -78.02421     0.00000     0.00000     0.00000     0.00000
   -78.01321     0.00000     0.00000     0.00000     0.00000
   -78.00221     0.00000     0.00000     0.00000     0.00000
   -77.99221     0.00000     0.00000     0.00000     0.00000
   -77.98121     0.00000     0.00000     0.00000     0.00000
   -77.97021     0.00000     0.00000     0.00000     0.00000
   -77.95921     0.00000     0.00000     0.00000     0.00000
   -77.94821     0.00000     0.00000     0.00000     0.00000
   -77.93721     0.00000     0.00000     0.00000     0.00000
   -77.92621     0.00000     0.00000     0.00000     0.00000
   -77.91521     0.00000     0.00000     0.00000     0.00000
   -77.90421     0.00000     0.00000     0.00000     0.00000
   -77.89321     0.00000     0.00000     0.00000     0.00000
   -77.88221     0.00000     0.00000     0.00000     0.00000
   -77.87221     0.00000     0.00000     0.00000     0.00000
   -77.86121     0.00000     0.00000     0.00000     0.00000
   -77.85021     0.00000     0.00000     0.00000     0.00000
   -77.83921     0.00000     0.00000     0.00000     0.00000
   -77.82821     0.00000     0.00000     0.00000     0.00000
   -77.81721     0.00000     0.00000     0.00000     0.00000
   -77.80621     0.00000     0.00000     0.00000     0.00000
   -77.79521     0.00000     0.00000     0.00000     0.00000
   -77.78421     0.00000     0.00000     0.00000     0.00000
   -77.77321     0.00000     0.00000     0.00000     0.00000
   -77.76221     0.00000     0.00000     0.00000     0.00000
   -77.75221     0.00000     0.00000     0.00000     0.00000
   -77.74121     0.00000     0.00000     0.00000     0.00000
   -77.73021     0.00000     0.00000     0.00000     0.00000
   -77.71921     0.00000     0.00000     0.00000     0.00000
   -77.70821     0.00000     0.00000     0.00000     0.00000
   -77.69721     0.00000     0.00000     0.00000     0.00000
   -77.68621     0.00000     0.00000     0.00000     0.00000
   -77.67521     0.00000     0.00000     0.00000     0.00000
   -77.66421     0.00000     0.00000     0.00000     0.00000
   -77.65321     0.00000     0.00000     0.00000     0.00000
   -77.64221     0.00000     0.00000     0.00000     0.00000
   -77.63221     0.00000     0.00000     0.00000     0.00000
   -77.62121     0.00000     0.00000     0.00000     0.00000
   -77.61021     0.00000     0.00000     0.00000     0.00000
   -77.59921     0.00000     0.00000     0.00000     0.00000
   -77.58821     0.00000     0.00000     0.00000     0.00000
   -77.57721     0.00000     0.00000     0.00000     0.00000
   -77.56621     0.00000     0.00000     0.00000     0.00000
