     #Energy       W_all      Mo_all      Pd_all      Hf_all
   -78.06714     0.00000     0.00000     0.00000     0.00000
   -78.05614     0.00000     0.00000     0.00000     0.00000
   -78.04514     0.00000     0.00000     0.00000     0.00000
   -78.03414     0.00000     0.00000     0.00000     0.00000
   -78.02314     0.00000     0.00000     0.00000     0.00000
   -78.01214     0.00000     0.00000     0.00000     0.00000
   -78.00114     0.00000     0.00000     0.00000     0.00000
   -77.99014     0.00000     0.00000     0.00000     0.00000
   -77.97914     0.00000     0.00000     0.00000     0.00000
   -77.96914     0.00000     0.00000     0.00000     0.00000
   -77.95814     0.00000     0.00000     0.00000     0.00000
   -77.94714     0.00000     0.00000     0.00000     0.00000
   -77.93614     0.00000     0.00000     0.00000     0.00000
   -77.92514     0.00000     0.00000     0.00000     0.00000
   -77.91414     0.00000     0.00000     0.00000     0.00000
   -77.90314     0.00000     0.00000     0.00000     0.00000
   -77.89214     0.00000     0.00000     0.00000     0.00000
   -77.88114     0.00000     0.00000     0.00000     0.00000
   -77.87014     0.00000     0.00000     0.00000     0.00000
   -77.85914     0.00000     0.00000     0.00000     0.00000
   -77.84814     0.00000     0.00000     0.00000     0.00000
   -77.83714     0.00000     0.00000     0.00000     0.00000
   -77.82614     0.00000     0.00000     0.00000     0.00000
   -77.81514     0.00000     0.00000     0.00000     0.00000
   -77.80414     0.00000     0.00000     0.00000     0.00000
   -77.79314     0.00000     0.00000     0.00000     0.00000
   -77.78214     0.00000     0.00000     0.00000     0.00000
   -77.77114     0.00000     0.00000     0.00000     0.00000
   -77.76014     0.00000     0.00000     0.00000     0.00000
   -77.74914     0.00000     0.00000     0.00000     0.00000
   -77.73814     0.00000     0.00000     0.00000     0.00000
   -77.72714     0.00000     0.00000     0.00000     0.00000
   -77.71614     0.00000     0.00000     0.00000     0.00000
   -77.70514     0.00000     0.00000     0.00000     0.00000
   -77.69414     0.00000     0.00000     0.00000     0.00000
   -77.68314     0.00000     0.00000     0.00000     0.00000
   -77.67214     0.00000     0.00000     0.00000     0.00000
   -77.66114     0.00000     0.00000     0.00000     0.00000
   -77.65014     0.00000     0.00000     0.00000     0.00000
   -77.63914     0.00000     0.00000     0.00000     0.00000
   -77.62814     0.00000     0.00000     0.00000     0.00000
   -77.61714     0.00000     0.00000     0.00000     0.00000
   -77.60614     0.00000     0.00000     0.00000     0.00000
   -77.59514     0.00000     0.00000     0.00000     0.00000
   -77.58414     0.00000     0.00000     0.00000     0.00000
   -77.57314     0.00000     0.00000     0.00000     0.00000
   -77.56214     0.00000     0.00000     0.00000     0.00000
   -77.55114     0.00000     0.00000     0.00000     0.00000
   -77.54014     0.00000     0.00000     0.00000     0.00000
   -77.53014     0.00000     0.00000     0.00000     0.00000
   -77.51914     0.00000     0.00000     0.00000     0.00000
   -77.50814     0.00000     0.00000     0.00000     0.00000
   -77.49714     0.00000     0.00000     0.00000     0.00000
   -77.48614     0.00000     0.00000     0.00000     0.00000
   -77.47514     0.00000     0.00000     0.00000     0.00000
