     #Energy       W_all      Mo_all      Pd_all      Zr_all
   -77.95335     0.00000     0.00000     0.00000     0.00000
   -77.94235     0.00000     0.00000     0.00000     0.00000
   -77.93135     0.00000     0.00000     0.00000     0.00000
   -77.92035     0.00000     0.00000     0.00000     0.00000
   -77.90935     0.00000     0.00000     0.00000     0.00000
   -77.89835     0.00000     0.00000     0.00000     0.00000
   -77.88735     0.00000     0.00000     0.00000     0.00000
   -77.87735     0.00000     0.00000     0.00000     0.00000
   -77.86635     0.00000     0.00000     0.00000     0.00000
   -77.85535     0.00000     0.00000     0.00000     0.00000
   -77.84435     0.00000     0.00000     0.00000     0.00000
   -77.83335     0.00000     0.00000     0.00000     0.00000
   -77.82235     0.00000     0.00000     0.00000     0.00000
   -77.81135     0.00000     0.00000     0.00000     0.00000
   -77.80035     0.00000     0.00000     0.00000     0.00000
   -77.79035     0.00000     0.00000     0.00000     0.00000
   -77.77935     0.00000     0.00000     0.00000     0.00000
   -77.76835     0.00000     0.00000     0.00000     0.00000
   -77.75735     0.00000     0.00000     0.00000     0.00000
   -77.74635     0.00000     0.00000     0.00000     0.00000
   -77.73535     0.00000     0.00000     0.00000     0.00000
   -77.72435     0.00000     0.00000     0.00000     0.00000
   -77.71335     0.00000     0.00000     0.00000     0.00000
   -77.70235     0.00000     0.00000     0.00000     0.00000
   -77.69235     0.00000     0.00000     0.00000     0.00000
   -77.68135     0.00000     0.00000     0.00000     0.00000
   -77.67035     0.00000     0.00000     0.00000     0.00000
   -77.65935     0.00000     0.00000     0.00000     0.00000
   -77.64835     0.00000     0.00000     0.00000     0.00000
   -77.63735     0.00000     0.00000     0.00000     0.00000
   -77.62635     0.00000     0.00000     0.00000     0.00000
   -77.61535     0.00000     0.00000     0.00000     0.00000
   -77.60535     0.00000     0.00000     0.00000     0.00000
   -77.59435     0.00000     0.00000     0.00000     0.00000
   -77.58335     0.00000     0.00000     0.00000     0.00000
   -77.57235     0.00000     0.00000     0.00000     0.00000
   -77.56135     0.00000     0.00000     0.00000     0.00000
   -77.55035     0.00000     0.00000     0.00000     0.00000
   -77.53935     0.00000     0.00000     0.00000     0.00000
   -77.52835     0.00000     0.00000     0.00000     0.00000
   -77.51735     0.00000     0.00000     0.00000     0.00000
   -77.50735     0.00000     0.00000     0.00000     0.00000
   -77.49635     0.00000     0.00000     0.00000     0.00000
   -77.48535     0.00000     0.00000     0.00000     0.00000
   -77.47435     0.00000     0.00000     0.00000     0.00000
   -77.46335     0.00000     0.00000     0.00000     0.00000
   -77.45235     0.00000     0.00000     0.00000     0.00000
   -77.44135     0.00000     0.00000     0.00000     0.00000
   -77.43035     0.00000     0.00000     0.00000     0.00000
   -77.42035     0.00000     0.00000     0.00000     0.00000
   -77.40935     0.00000     0.00000     0.00000     0.00000
   -77.39835     0.00000     0.00000     0.00000     0.00000
   -77.38735     0.00000     0.00000     0.00000     0.00000
   -77.37635     0.00000     0.00000     0.00000     0.00000
   -77.36535     0.00000     0.00000     0.00000     0.00000
   -77.35435     0.00000     0.00000     0.00000     0.00000
   -77.34335     0.00000     0.00000     0.00000     0.00000
   -77.33235     0.00000     0.00000     0.00000     0.00000
   -77.32235     0.00000     0.00000     0.00000     0.00000
   -77.31135     0.00000     0.00000     0.00000     0.00000
   -77.30035     0.00000     0.00000     0.00000     0.00000
   -77.28935     0.00000     0.00000     0.00000     0.00000
   -77.27835     0.00000     0.00000     0.00000     0.00000
   -77.26735     0.00000     0.00000     0.00000     0.00000
   -77.25635     0.00000     0.00000     0.00000     0.00000
   -77.24535     0.00000     0.00000     0.00000     0.00000
   -77.23535     0.00000     0.00000     0.00000     0.00000
   -77.22435     0.00000     0.00000     0.00000     0.00000
   -77.21335     0.00000     0.00000     0.00000     0.00000
   -77.20235     0.00000     0.00000     0.00000     0.00000
   -77.19135     0.00000     0.00000     0.00000     0.00000
   -77.18035     0.00000     0.00000     0.00000     0.00000
   -77.16935     0.00000     0.00000     0.00000     0.00000
   -77.15835     0.00000     0.00000     0.00000     0.00000
   -77.14735     0.00000     0.00000     0.00000     0.00000
   -77.13735     0.00000     0.00000     0.00000     0.00000
   -77.12635     0.00000     0.00000     0.00000     0.00000
   -77.11535     0.00000     0.00000     0.00000     0.00000
   -77.10435     0.00000     0.00000     0.00000     0.00000
   -77.09335     0.00000     0.00000     0.00000     0.00000
   -77.08235     0.00000     0.00000     0.00000     0.00000
   -77.07135     0.00000     0.00000     0.00000     0.00000
   -77.06035     0.00000     0.00000     0.00000     0.00000
   -77.05035     0.00000     0.00000     0.00000     0.00000
   -77.03935     0.00000     0.00000     0.00000     0.00000
   -77.02835     0.00000     0.00000     0.00000     0.00000
   -77.01735     0.00000     0.00000     0.00000     0.00000
   -77.00635     0.00000     0.00000     0.00000     0.00000
   -76.99535     0.00000     0.00000     0.00000     0.00000
   -76.98435     0.00000     0.00000     0.00000     0.00000
   -76.97335     0.00000     0.00000     0.00000     0.00000
   -76.96235     0.00000     0.00000     0.00000     0.00000
   -76.95235     0.00000     0.00000     0.00000     0.00000
   -76.94135     0.00000     0.00000     0.00000     0.00000
   -76.93035     0.00000     0.00000     0.00000     0.00000
   -76.91935     0.00000     0.00000     0.00000     0.00000
   -76.90835     0.00000     0.00000     0.00000     0.00000
   -76.89735     0.00000     0.00000     0.00000     0.00000
   -76.88635     0.00000     0.00000     0.00000     0.00000
   -76.87535     0.00000     0.00000     0.00000     0.00000
   -76.86535     0.00000     0.00000     0.00000     0.00000
   -76.85435     0.00000     0.00000     0.00000     0.00000
   -76.84335     0.00000     0.00000     0.00000     0.00000
   -76.83235     0.00000     0.00000     0.00000     0.00000
   -76.82135     0.00000     0.00000     0.00000     0.00000
   -76.81035     0.00000     0.00000     0.00000     0.00000
   -76.79935     0.00000     0.00000     0.00000     0.00000
   -76.78835     0.00000     0.00000     0.00000     0.00000
   -76.77735     0.00000     0.00000     0.00000     0.00000
   -76.76735     0.00000     0.00000     0.00000     0.00000
   -76.75635     0.00000     0.00000     0.00000     0.00000
   -76.74535     0.00000     0.00000     0.00000     0.00000
   -76.73435     0.00000     0.00000     0.00000     0.00000
   -76.72335     0.00000     0.00000     0.00000     0.00000
   -76.71235     0.00000     0.00000     0.00000     0.00000
   -76.70135     0.00000     0.00000     0.00000     0.00000
   -76.69035     0.00000     0.00000     0.00000     0.00000
   -76.68035     0.00000     0.00000     0.00000     0.00000
   -76.66935     0.00000     0.00000     0.00000     0.00000
   -76.65835     0.00000     0.00000     0.00000     0.00000
   -76.64735     0.00000     0.00000     0.00000     0.00000
   -76.63635     0.00000     0.00000     0.00000     0.00000
   -76.62535     0.00000     0.00000     0.00000     0.00000
   -76.61435     0.00000     0.00000     0.00000     0.00000
   -76.60335     0.00000     0.00000     0.00000     0.00000
   -76.59235     0.00000     0.00000     0.00000     0.00000
   -76.58235     0.00000     0.00000     0.00000     0.00000
   -76.57135     0.00000     0.00000     0.00000     0.00000
   -76.56035     0.00000     0.00000     0.00000     0.00000
   -76.54935     0.00000     0.00000     0.00000     0.00000
   -76.53835     0.00000     0.00000     0.00000     0.00000
   -76.52735     0.00000     0.00000     0.00000     0.00000
   -76.51635     0.00000     0.00000     0.00000     0.00000
   -76.50535     0.00000     0.00000     0.00000     0.00000
   -76.49535     0.00000     0.00000     0.00000     0.00000
   -76.48435     0.00000     0.00000     0.00000     0.00000
   -76.47335     0.00000     0.00000     0.00000     0.00000
   -76.46235     0.00000     0.00000     0.00000     0.00000
   -76.45135     0.00000     0.00000     0.00000     0.00000
