     #Energy       W_all      Mo_all      Pt_all      Hf_all
   -78.10472     0.00000     0.00000     0.00000     0.00000
   -78.09472     0.00000     0.00000     0.00000     0.00000
   -78.08372     0.00000     0.00000     0.00000     0.00000
   -78.07272     0.00000     0.00000     0.00000     0.00000
   -78.06172     0.00000     0.00000     0.00000     0.00000
   -78.05072     0.00000     0.00000     0.00000     0.00000
   -78.03972     0.00000     0.00000     0.00000     0.00000
   -78.02872     0.00000     0.00000     0.00000     0.00000
   -78.01772     0.00000     0.00000     0.00000     0.00000
   -78.00672     0.00000     0.00000     0.00000     0.00000
   -77.99572     0.00000     0.00000     0.00000     0.00000
   -77.98472     0.00000     0.00000     0.00000     0.00000
   -77.97372     0.00000     0.00000     0.00000     0.00000
   -77.96272     0.00000     0.00000     0.00000     0.00000
   -77.95172     0.00000     0.00000     0.00000     0.00000
   -77.94072     0.00000     0.00000     0.00000     0.00000
   -77.92972     0.00000     0.00000     0.00000     0.00000
   -77.91872     0.00000     0.00000     0.00000     0.00000
   -77.90772     0.00000     0.00000     0.00000     0.00000
   -77.89672     0.00000     0.00000     0.00000     0.00000
   -77.88572     0.00000     0.00000     0.00000     0.00000
   -77.87472     0.00000     0.00000     0.00000     0.00000
   -77.86372     0.00000     0.00000     0.00000     0.00000
   -77.85272     0.00000     0.00000     0.00000     0.00000
   -77.84172     0.00000     0.00000     0.00000     0.00000
   -77.83072     0.00000     0.00000     0.00000     0.00000
   -77.81972     0.00000     0.00000     0.00000     0.00000
   -77.80872     0.00000     0.00000     0.00000     0.00000
   -77.79772     0.00000     0.00000     0.00000     0.00000
   -77.78672     0.00000     0.00000     0.00000     0.00000
   -77.77572     0.00000     0.00000     0.00000     0.00000
   -77.76472     0.00000     0.00000     0.00000     0.00000
   -77.75372     0.00000     0.00000     0.00000     0.00000
   -77.74272     0.00000     0.00000     0.00000     0.00000
   -77.73172     0.00000     0.00000     0.00000     0.00000
   -77.72072     0.00000     0.00000     0.00000     0.00000
   -77.70972     0.00000     0.00000     0.00000     0.00000
   -77.69872     0.00000     0.00000     0.00000     0.00000
   -77.68772     0.00000     0.00000     0.00000     0.00000
   -77.67672     0.00000     0.00000     0.00000     0.00000
   -77.66572     0.00000     0.00000     0.00000     0.00000
   -77.65472     0.00000     0.00000     0.00000     0.00000
   -77.64372     0.00000     0.00000     0.00000     0.00000
   -77.63272     0.00000     0.00000     0.00000     0.00000
   -77.62172     0.00000     0.00000     0.00000     0.00000
   -77.61072     0.00000     0.00000     0.00000     0.00000
   -77.59972     0.00000     0.00000     0.00000     0.00000
   -77.58872     0.00000     0.00000     0.00000     0.00000
   -77.57772     0.00000     0.00000     0.00000     0.00000
   -77.56672     0.00000     0.00000     0.00000     0.00000
   -77.55572     0.00000     0.00000     0.00000     0.00000
   -77.54572     0.00000     0.00000     0.00000     0.00000
   -77.53472     0.00000     0.00000     0.00000     0.00000
   -77.52372     0.00000     0.00000     0.00000     0.00000
   -77.51272     0.00000     0.00000     0.00000     0.00000
