     #Energy       W_all      Mo_all      Pt_all      Zr_all
   -78.12823     0.00000     0.00000     0.00000     0.00000
   -78.11723     0.00000     0.00000     0.00000     0.00000
   -78.10723     0.00000     0.00000     0.00000     0.00000
   -78.09623     0.00000     0.00000     0.00000     0.00000
   -78.08523     0.00000     0.00000     0.00000     0.00000
   -78.07423     0.00000     0.00000     0.00000     0.00000
   -78.06323     0.00000     0.00000     0.00000     0.00000
   -78.05223     0.00000     0.00000     0.00000     0.00000
   -78.04123     0.00000     0.00000     0.00000     0.00000
   -78.03023     0.00000     0.00000     0.00000     0.00000
   -78.01923     0.00000     0.00000     0.00000     0.00000
   -78.00923     0.00000     0.00000     0.00000     0.00000
   -77.99823     0.00000     0.00000     0.00000     0.00000
   -77.98723     0.00000     0.00000     0.00000     0.00000
   -77.97623     0.00000     0.00000     0.00000     0.00000
   -77.96523     0.00000     0.00000     0.00000     0.00000
   -77.95423     0.00000     0.00000     0.00000     0.00000
   -77.94323     0.00000     0.00000     0.00000     0.00000
   -77.93223     0.00000     0.00000     0.00000     0.00000
   -77.92123     0.00000     0.00000     0.00000     0.00000
   -77.91123     0.00000     0.00000     0.00000     0.00000
   -77.90023     0.00000     0.00000     0.00000     0.00000
   -77.88923     0.00000     0.00000     0.00000     0.00000
   -77.87823     0.00000     0.00000     0.00000     0.00000
   -77.86723     0.00000     0.00000     0.00000     0.00000
   -77.85623     0.00000     0.00000     0.00000     0.00000
   -77.84523     0.00000     0.00000     0.00000     0.00000
   -77.83423     0.00000     0.00000     0.00000     0.00000
   -77.82323     0.00000     0.00000     0.00000     0.00000
   -77.81323     0.00000     0.00000     0.00000     0.00000
   -77.80223     0.00000     0.00000     0.00000     0.00000
   -77.79123     0.00000     0.00000     0.00000     0.00000
   -77.78023     0.00000     0.00000     0.00000     0.00000
   -77.76923     0.00000     0.00000     0.00000     0.00000
   -77.75823     0.00000     0.00000     0.00000     0.00000
   -77.74723     0.00000     0.00000     0.00000     0.00000
   -77.73623     0.00000     0.00000     0.00000     0.00000
   -77.72523     0.00000     0.00000     0.00000     0.00000
   -77.71523     0.00000     0.00000     0.00000     0.00000
