     #Energy       W_all      Mo_all      Re_all      Hf_all
   -84.65000     0.00000     0.00000     0.00000     0.00000
   -84.63800     0.00000     0.00000     0.00000     0.00000
   -84.62700     0.00000     0.00000     0.00000     0.00000
   -84.61500     0.00000     0.00000     0.00000     0.00000
   -84.60300     0.00000     0.00000     0.00000     0.00000
   -84.59200     0.00000     0.00000     0.00000     0.00000
   -84.58000     0.00000     0.00000     0.00000     0.00000
   -84.56800     0.00000     0.00000     0.00000     0.00000
   -84.55700     0.00000     0.00000     0.00000     0.00000
   -84.54500     0.00000     0.00000     0.00000     0.00000
   -84.53300     0.00000     0.00000     0.00000     0.00000
   -84.52200     0.00000     0.00000     0.00000     0.00000
   -84.51000     0.00000     0.00000     0.00000     0.00000
   -84.49800     0.00000     0.00000     0.00000     0.00000
   -84.48700     0.00000     0.00000     0.00000     0.00000
   -84.47500     0.00000     0.00000     0.00000     0.00000
   -84.46400     0.00000     0.00000     0.00000     0.00000
   -84.45200     0.00000     0.00000     0.00000     0.00000
   -84.44000     0.00000     0.00000     0.00000     0.00000
   -84.42900     0.00000     0.00000     0.00000     0.00000
   -84.41700     0.00000     0.00000     0.00000     0.00000
   -84.40500     0.00000     0.00000     0.00000     0.00000
   -84.39400     0.00000     0.00000     0.00000     0.00000
   -84.38200     0.00000     0.00000     0.00000     0.00000
   -84.37000     0.00000     0.00000     0.00000     0.00000
   -84.35900     0.00000     0.00000     0.00000     0.00000
   -84.34700     0.00000     0.00000     0.00000     0.00000
   -84.33500     0.00000     0.00000     0.00000     0.00000
   -84.32400     0.00000     0.00000     0.00000     0.00000
   -84.31200     0.00000     0.00000     0.00000     0.00000
   -84.30000     0.00000     0.00000     0.00000     0.00000
   -84.28900     0.00000     0.00000     0.00000     0.00000
   -84.27700     0.00000     0.00000     0.00000     0.00000
   -84.26500     0.00000     0.00000     0.00000     0.00000
   -84.25400     0.00000     0.00000     0.00000     0.00000
   -84.24200     0.00000     0.00000     0.00000     0.00000
   -84.23000     0.00000     0.00000     0.00000     0.00000
   -84.21900     0.00000     0.00000     0.00000     0.00000
   -84.20700     0.00000     0.00000     0.00000     0.00000
   -84.19500     0.00000     0.00000     0.00000     0.00000
   -84.18400     0.00000     0.00000     0.00000     0.00000
   -84.17200     0.00000     0.00000     0.00000     0.00000
   -84.16000     0.00000     0.00000     0.00000     0.00000
   -84.14900     0.00000     0.00000     0.00000     0.00000
   -84.13700     0.00000     0.00000     0.00000     0.00000
   -84.12500     0.00000     0.00000     0.00000     0.00000
   -84.11400     0.00000     0.00000     0.00000     0.00000
   -84.10200     0.00000     0.00000     0.00000     0.00000
   -84.09100     0.00000     0.00000     0.00000     0.00000
   -84.07900     0.00000     0.00000     0.00000     0.00000
   -84.06700     0.00000     0.00000     0.00000     0.00000
   -84.05600     0.00000     0.00000     0.00000     0.00000
   -84.04400     0.00000     0.00000     0.00000     0.00000
   -84.03200     0.00000     0.00000     0.00000     0.00000
   -84.02100     0.00000     0.00000     0.00000     0.00000
   -84.00900     0.00000     0.00000     0.00000     0.00000
   -83.99700     0.00000     0.00000     0.00000     0.00000
   -83.98600     0.00000     0.00000     0.00000     0.00000
   -83.97400     0.00000     0.00000     0.00000     0.00000
   -83.96200     0.00000     0.00000     0.00000     0.00000
   -83.95100     0.00000     0.00000     0.00000     0.00000
   -83.93900     0.00000     0.00000     0.00000     0.00000
   -83.92700     0.00000     0.00000     0.00000     0.00000
   -83.91600     0.00000     0.00000     0.00000     0.00000
   -83.90400     0.00000     0.00000     0.00000     0.00000
   -83.89200     0.00000     0.00000     0.00000     0.00000
   -83.88100     0.00000     0.00000     0.00000     0.00000
   -83.86900     0.00000     0.00000     0.00000     0.00000
   -83.85700     0.00000     0.00000     0.00000     0.00000
   -83.84600     0.00000     0.00000     0.00000     0.00000
   -83.83400     0.00000     0.00000     0.00000     0.00000
   -83.82200     0.00000     0.00000     0.00000     0.00000
   -83.81100     0.00000     0.00000     0.00000     0.00000
   -83.79900     0.00000     0.00000     0.00000     0.00000
   -83.78700     0.00000     0.00000     0.00000     0.00000
   -83.77600     0.00000     0.00000     0.00000     0.00000
   -83.76400     0.00000     0.00000     0.00000     0.00000
   -83.75300     0.00000     0.00000     0.00000     0.00000
   -83.74100     0.00000     0.00000     0.00000     0.00000
   -83.72900     0.00000     0.00000     0.00000     0.00000
   -83.71800     0.00000     0.00000     0.00000     0.00000
   -83.70600     0.00000     0.00000     0.00000     0.00000
   -83.69400     0.00000     0.00000     0.00000     0.00000
   -83.68300     0.00000     0.00000     0.00000     0.00000
