     #Energy       W_all      Mo_all      Re_all      Zr_all
   -84.65540     0.00000     0.00000     0.00000     0.00000
   -84.64440     0.00000     0.00000     0.00000     0.00000
   -84.63240     0.00000     0.00000     0.00000     0.00000
   -84.62140     0.00000     0.00000     0.00000     0.00000
   -84.60940     0.00000     0.00000     0.00000     0.00000
   -84.59740     0.00000     0.00000     0.00000     0.00000
   -84.58640     0.00000     0.00000     0.00000     0.00000
   -84.57440     0.00000     0.00000     0.00000     0.00000
   -84.56340     0.00000     0.00000     0.00000     0.00000
   -84.55140     0.00000     0.00000     0.00000     0.00000
   -84.53940     0.00000     0.00000     0.00000     0.00000
   -84.52840     0.00000     0.00000     0.00000     0.00000
   -84.51640     0.00000     0.00000     0.00000     0.00000
   -84.50540     0.00000     0.00000     0.00000     0.00000
   -84.49340     0.00000     0.00000     0.00000     0.00000
   -84.48240     0.00000     0.00000     0.00000     0.00000
   -84.47040     0.00000     0.00000     0.00000     0.00000
   -84.45840     0.00000     0.00000     0.00000     0.00000
   -84.44740     0.00000     0.00000     0.00000     0.00000
   -84.43540     0.00000     0.00000     0.00000     0.00000
   -84.42440     0.00000     0.00000     0.00000     0.00000
   -84.41240     0.00000     0.00000     0.00000     0.00000
   -84.40040     0.00000     0.00000     0.00000     0.00000
   -84.38940     0.00000     0.00000     0.00000     0.00000
   -84.37740     0.00000     0.00000     0.00000     0.00000
   -84.36640     0.00000     0.00000     0.00000     0.00000
   -84.35440     0.00000     0.00000     0.00000     0.00000
   -84.34340     0.00000     0.00000     0.00000     0.00000
   -84.33140     0.00000     0.00000     0.00000     0.00000
   -84.31940     0.00000     0.00000     0.00000     0.00000
   -84.30840     0.00000     0.00000     0.00000     0.00000
   -84.29640     0.00000     0.00000     0.00000     0.00000
   -84.28540     0.00000     0.00000     0.00000     0.00000
   -84.27340     0.00000     0.00000     0.00000     0.00000
   -84.26140     0.00000     0.00000     0.00000     0.00000
   -84.25040     0.00000     0.00000     0.00000     0.00000
   -84.23840     0.00000     0.00000     0.00000     0.00000
   -84.22740     0.00000     0.00000     0.00000     0.00000
   -84.21540     0.00000     0.00000     0.00000     0.00000
   -84.20440     0.00000     0.00000     0.00000     0.00000
   -84.19240     0.00000     0.00000     0.00000     0.00000
   -84.18040     0.00000     0.00000     0.00000     0.00000
   -84.16940     0.00000     0.00000     0.00000     0.00000
   -84.15740     0.00000     0.00000     0.00000     0.00000
   -84.14640     0.00000     0.00000     0.00000     0.00000
   -84.13440     0.00000     0.00000     0.00000     0.00000
   -84.12240     0.00000     0.00000     0.00000     0.00000
   -84.11140     0.00000     0.00000     0.00000     0.00000
   -84.09940     0.00000     0.00000     0.00000     0.00000
   -84.08840     0.00000     0.00000     0.00000     0.00000
   -84.07640     0.00000     0.00000     0.00000     0.00000
   -84.06540     0.00000     0.00000     0.00000     0.00000
   -84.05340     0.00000     0.00000     0.00000     0.00000
   -84.04140     0.00000     0.00000     0.00000     0.00000
   -84.03040     0.00000     0.00000     0.00000     0.00000
   -84.01840     0.00000     0.00000     0.00000     0.00000
   -84.00740     0.00000     0.00000     0.00000     0.00000
   -83.99540     0.00000     0.00000     0.00000     0.00000
   -83.98340     0.00000     0.00000     0.00000     0.00000
   -83.97240     0.00000     0.00000     0.00000     0.00000
   -83.96040     0.00000     0.00000     0.00000     0.00000
   -83.94940     0.00000     0.00000     0.00000     0.00000
   -83.93740     0.00000     0.00000     0.00000     0.00000
   -83.92640     0.00000     0.00000     0.00000     0.00000
   -83.91440     0.00000     0.00000     0.00000     0.00000
   -83.90240     0.00000     0.00000     0.00000     0.00000
   -83.89140     0.00000     0.00000     0.00000     0.00000
   -83.87940     0.00000     0.00000     0.00000     0.00000
   -83.86840     0.00000     0.00000     0.00000     0.00000
   -83.85640     0.00000     0.00000     0.00000     0.00000
   -83.84540     0.00000     0.00000     0.00000     0.00000
   -83.83340     0.00000     0.00000     0.00000     0.00000
   -83.82140     0.00000     0.00000     0.00000     0.00000
   -83.81040     0.00000     0.00000     0.00000     0.00000
   -83.79840     0.00000     0.00000     0.00000     0.00000
   -83.78740     0.00000     0.00000     0.00000     0.00000
   -83.77540     0.00000     0.00000     0.00000     0.00000
   -83.76340     0.00000     0.00000     0.00000     0.00000
   -83.75240     0.00000     0.00000     0.00000     0.00000
   -83.74040     0.00000     0.00000     0.00000     0.00000
   -83.72940     0.00000     0.00000     0.00000     0.00000
   -83.71740     0.00000     0.00000     0.00000     0.00000
   -83.70640     0.00000     0.00000     0.00000     0.00000
   -83.69440     0.00000     0.00000     0.00000     0.00000
   -83.68240     0.00000     0.00000     0.00000     0.00000
   -83.67140     0.00000     0.00000     0.00000     0.00000
   -83.65940     0.00000     0.00000     0.00000     0.00000
   -83.64840     0.00000     0.00000     0.00000     0.00000
   -83.63640     0.00000     0.00000     0.00000     0.00000
   -83.62440     0.00000     0.00000     0.00000     0.00000
   -83.61340     0.00000     0.00000     0.00000     0.00000
   -83.60140     0.00000     0.00000     0.00000     0.00000
   -83.59040     0.00000     0.00000     0.00000     0.00000
   -83.57840     0.00000     0.00000     0.00000     0.00000
   -83.56740     0.00000     0.00000     0.00000     0.00000
   -83.55540     0.00000     0.00000     0.00000     0.00000
   -83.54340     0.00000     0.00000     0.00000     0.00000
   -83.53240     0.00000     0.00000     0.00000     0.00000
   -83.52040     0.00000     0.00000     0.00000     0.00000
   -83.50940     0.00000     0.00000     0.00000     0.00000
   -83.49740     0.00000     0.00000     0.00000     0.00000
   -83.48540     0.00000     0.00000     0.00000     0.00000
   -83.47440     0.00000     0.00000     0.00000     0.00000
   -83.46240     0.00000     0.00000     0.00000     0.00000
   -83.45140     0.00000     0.00000     0.00000     0.00000
   -83.43940     0.00000     0.00000     0.00000     0.00000
   -83.42840     0.00000     0.00000     0.00000     0.00000
   -83.41640     0.00000     0.00000     0.00000     0.00000
   -83.40440     0.00000     0.00000     0.00000     0.00000
   -83.39340     0.00000     0.00000     0.00000     0.00000
   -83.38140     0.00000     0.00000     0.00000     0.00000
   -83.37040     0.00000     0.00000     0.00000     0.00000
   -83.35840     0.00000     0.00000     0.00000     0.00000
   -83.34640     0.00000     0.00000     0.00000     0.00000
   -83.33540     0.00000     0.00000     0.00000     0.00000
   -83.32340     0.00000     0.00000     0.00000     0.00000
   -83.31240     0.00000     0.00000     0.00000     0.00000
   -83.30040     0.00000     0.00000     0.00000     0.00000
   -83.28940     0.00000     0.00000     0.00000     0.00000
   -83.27740     0.00000     0.00000     0.00000     0.00000
   -83.26540     0.00000     0.00000     0.00000     0.00000
   -83.25440     0.00000     0.00000     0.00000     0.00000
   -83.24240     0.00000     0.00000     0.00000     0.00000
   -83.23140     0.00000     0.00000     0.00000     0.00000
   -83.21940     0.00000     0.00000     0.00000     0.00000
   -83.20740     0.00000     0.00000     0.00000     0.00000
   -83.19640     0.00000     0.00000     0.00000     0.00000
   -83.18440     0.00000     0.00000     0.00000     0.00000
   -83.17340     0.00000     0.00000     0.00000     0.00000
   -83.16140     0.00000     0.00000     0.00000     0.00000
   -83.15040     0.00000     0.00000     0.00000     0.00000
   -83.13840     0.00000     0.00000     0.00000     0.00000
   -83.12640     0.00000     0.00000     0.00000     0.00000
   -83.11540     0.00000     0.00000     0.00000     0.00000
   -83.10340     0.00000     0.00000     0.00000     0.00000
   -83.09240     0.00000     0.00000     0.00000     0.00000
   -83.08040     0.00000     0.00000     0.00000     0.00000
   -83.06840     0.00000     0.00000     0.00000     0.00000
   -83.05740     0.00000     0.00000     0.00000     0.00000
   -83.04540     0.00000     0.00000     0.00000     0.00000
   -83.03440     0.00000     0.00000     0.00000     0.00000
   -83.02240     0.00000     0.00000     0.00000     0.00000
   -83.01140     0.00000     0.00000     0.00000     0.00000
   -82.99940     0.00000     0.00000     0.00000     0.00000
   -82.98740     0.00000     0.00000     0.00000     0.00000
   -82.97640     0.00000     0.00000     0.00000     0.00000
   -82.96440     0.00000     0.00000     0.00000     0.00000
   -82.95340     0.00000     0.00000     0.00000     0.00000
   -82.94140     0.00000     0.00000     0.00000     0.00000
   -82.92940     0.00000     0.00000     0.00000     0.00000
   -82.91840     0.00000     0.00000     0.00000     0.00000
   -82.90640     0.00000     0.00000     0.00000     0.00000
   -82.89540     0.00000     0.00000     0.00000     0.00000
   -82.88340     0.00000     0.00000     0.00000     0.00000
   -82.87240     0.00000     0.00000     0.00000     0.00000
   -82.86040     0.00000     0.00000     0.00000     0.00000
   -82.84840     0.00000     0.00000     0.00000     0.00000
   -82.83740     0.00000     0.00000     0.00000     0.00000
   -82.82540     0.00000     0.00000     0.00000     0.00000
   -82.81440     0.00000     0.00000     0.00000     0.00000
   -82.80240     0.00000     0.00000     0.00000     0.00000
   -82.79040     0.00000     0.00000     0.00000     0.00000
   -82.77940     0.00000     0.00000     0.00000     0.00000
   -82.76740     0.00000     0.00000     0.00000     0.00000
   -82.75640     0.00000     0.00000     0.00000     0.00000
   -82.74440     0.00000     0.00000     0.00000     0.00000
   -82.73340     0.00000     0.00000     0.00000     0.00000
   -82.72140     0.00000     0.00000     0.00000     0.00000
   -82.70940     0.00000     0.00000     0.00000     0.00000
   -82.69840     0.00000     0.00000     0.00000     0.00000
   -82.68640     0.00000     0.00000     0.00000     0.00000
   -82.67540     0.00000     0.00000     0.00000     0.00000
   -82.66340     0.00000     0.00000     0.00000     0.00000
   -82.65140     0.00000     0.00000     0.00000     0.00000
   -82.64040     0.00000     0.00000     0.00000     0.00000
   -82.62840     0.00000     0.00000     0.00000     0.00000
   -82.61740     0.00000     0.00000     0.00000     0.00000
