     #Energy       W_all      Mo_all      Rh_all      Hf_all
   -78.10773     0.00000     0.00000     0.00000     0.00000
   -78.09673     0.00000     0.00000     0.00000     0.00000
   -78.08673     0.00000     0.00000     0.00000     0.00000
   -78.07573     0.00000     0.00000     0.00000     0.00000
   -78.06473     0.00000     0.00000     0.00000     0.00000
   -78.05373     0.00000     0.00000     0.00000     0.00000
   -78.04273     0.00000     0.00000     0.00000     0.00000
   -78.03173     0.00000     0.00000     0.00000     0.00000
   -78.02173     0.00000     0.00000     0.00000     0.00000
   -78.01073     0.00000     0.00000     0.00000     0.00000
   -77.99973     0.00000     0.00000     0.00000     0.00000
   -77.98873     0.00000     0.00000     0.00000     0.00000
   -77.97773     0.00000     0.00000     0.00000     0.00000
   -77.96773     0.00000     0.00000     0.00000     0.00000
   -77.95673     0.00000     0.00000     0.00000     0.00000
   -77.94573     0.00000     0.00000     0.00000     0.00000
   -77.93473     0.00000     0.00000     0.00000     0.00000
   -77.92373     0.00000     0.00000     0.00000     0.00000
   -77.91273     0.00000     0.00000     0.00000     0.00000
   -77.90273     0.00000     0.00000     0.00000     0.00000
   -77.89173     0.00000     0.00000     0.00000     0.00000
   -77.88073     0.00000     0.00000     0.00000     0.00000
   -77.86973     0.00000     0.00000     0.00000     0.00000
   -77.85873     0.00000     0.00000     0.00000     0.00000
   -77.84773     0.00000     0.00000     0.00000     0.00000
   -77.83773     0.00000     0.00000     0.00000     0.00000
   -77.82673     0.00000     0.00000     0.00000     0.00000
   -77.81573     0.00000     0.00000     0.00000     0.00000
   -77.80473     0.00000     0.00000     0.00000     0.00000
   -77.79373     0.00000     0.00000     0.00000     0.00000
   -77.78273     0.00000     0.00000     0.00000     0.00000
   -77.77273     0.00000     0.00000     0.00000     0.00000
   -77.76173     0.00000     0.00000     0.00000     0.00000
   -77.75073     0.00000     0.00000     0.00000     0.00000
   -77.73973     0.00000     0.00000     0.00000     0.00000
   -77.72873     0.00000     0.00000     0.00000     0.00000
   -77.71873     0.00000     0.00000     0.00000     0.00000
   -77.70773     0.00000     0.00000     0.00000     0.00000
   -77.69673     0.00000     0.00000     0.00000     0.00000
   -77.68573     0.00000     0.00000     0.00000     0.00000
   -77.67473     0.00000     0.00000     0.00000     0.00000
   -77.66373     0.00000     0.00000     0.00000     0.00000
   -77.65373     0.00000     0.00000     0.00000     0.00000
   -77.64273     0.00000     0.00000     0.00000     0.00000
   -77.63173     0.00000     0.00000     0.00000     0.00000
   -77.62073     0.00000     0.00000     0.00000     0.00000
   -77.60973     0.00000     0.00000     0.00000     0.00000
   -77.59873     0.00000     0.00000     0.00000     0.00000
   -77.58873     0.00000     0.00000     0.00000     0.00000
   -77.57773     0.00000     0.00000     0.00000     0.00000
   -77.56673     0.00000     0.00000     0.00000     0.00000
   -77.55573     0.00000     0.00000     0.00000     0.00000
   -77.54473     0.00000     0.00000     0.00000     0.00000
   -77.53473     0.00000     0.00000     0.00000     0.00000
   -77.52373     0.00000     0.00000     0.00000     0.00000
   -77.51273     0.00000     0.00000     0.00000     0.00000
   -77.50173     0.00000     0.00000     0.00000     0.00000
