     #Energy       W_all      Mo_all      Rh_all      Zr_all
   -77.98915     0.00000     0.00000     0.00000     0.00000
   -77.97815     0.00000     0.00000     0.00000     0.00000
   -77.96715     0.00000     0.00000     0.00000     0.00000
   -77.95715     0.00000     0.00000     0.00000     0.00000
   -77.94615     0.00000     0.00000     0.00000     0.00000
   -77.93515     0.00000     0.00000     0.00000     0.00000
   -77.92515     0.00000     0.00000     0.00000     0.00000
   -77.91415     0.00000     0.00000     0.00000     0.00000
   -77.90315     0.00000     0.00000     0.00000     0.00000
   -77.89215     0.00000     0.00000     0.00000     0.00000
   -77.88215     0.00000     0.00000     0.00000     0.00000
   -77.87115     0.00000     0.00000     0.00000     0.00000
   -77.86015     0.00000     0.00000     0.00000     0.00000
   -77.84915     0.00000     0.00000     0.00000     0.00000
   -77.83915     0.00000     0.00000     0.00000     0.00000
   -77.82815     0.00000     0.00000     0.00000     0.00000
   -77.81715     0.00000     0.00000     0.00000     0.00000
   -77.80715     0.00000     0.00000     0.00000     0.00000
   -77.79615     0.00000     0.00000     0.00000     0.00000
   -77.78515     0.00000     0.00000     0.00000     0.00000
   -77.77415     0.00000     0.00000     0.00000     0.00000
   -77.76415     0.00000     0.00000     0.00000     0.00000
   -77.75315     0.00000     0.00000     0.00000     0.00000
   -77.74215     0.00000     0.00000     0.00000     0.00000
   -77.73115     0.00000     0.00000     0.00000     0.00000
   -77.72115     0.00000     0.00000     0.00000     0.00000
   -77.71015     0.00000     0.00000     0.00000     0.00000
   -77.69915     0.00000     0.00000     0.00000     0.00000
   -77.68915     0.00000     0.00000     0.00000     0.00000
   -77.67815     0.00000     0.00000     0.00000     0.00000
   -77.66715     0.00000     0.00000     0.00000     0.00000
   -77.65615     0.00000     0.00000     0.00000     0.00000
   -77.64615     0.00000     0.00000     0.00000     0.00000
   -77.63515     0.00000     0.00000     0.00000     0.00000
   -77.62415     0.00000     0.00000     0.00000     0.00000
   -77.61315     0.00000     0.00000     0.00000     0.00000
   -77.60315     0.00000     0.00000     0.00000     0.00000
   -77.59215     0.00000     0.00000     0.00000     0.00000
   -77.58115     0.00000     0.00000     0.00000     0.00000
   -77.57015     0.00000     0.00000     0.00000     0.00000
   -77.56015     0.00000     0.00000     0.00000     0.00000
   -77.54915     0.00000     0.00000     0.00000     0.00000
   -77.53815     0.00000     0.00000     0.00000     0.00000
   -77.52815     0.00000     0.00000     0.00000     0.00000
   -77.51715     0.00000     0.00000     0.00000     0.00000
   -77.50615     0.00000     0.00000     0.00000     0.00000
   -77.49515     0.00000     0.00000     0.00000     0.00000
   -77.48515     0.00000     0.00000     0.00000     0.00000
   -77.47415     0.00000     0.00000     0.00000     0.00000
   -77.46315     0.00000     0.00000     0.00000     0.00000
   -77.45215     0.00000     0.00000     0.00000     0.00000
   -77.44215     0.00000     0.00000     0.00000     0.00000
   -77.43115     0.00000     0.00000     0.00000     0.00000
   -77.42015     0.00000     0.00000     0.00000     0.00000
   -77.41015     0.00000     0.00000     0.00000     0.00000
   -77.39915     0.00000     0.00000     0.00000     0.00000
   -77.38815     0.00000     0.00000     0.00000     0.00000
   -77.37715     0.00000     0.00000     0.00000     0.00000
   -77.36715     0.00000     0.00000     0.00000     0.00000
   -77.35615     0.00000     0.00000     0.00000     0.00000
   -77.34515     0.00000     0.00000     0.00000     0.00000
   -77.33415     0.00000     0.00000     0.00000     0.00000
   -77.32415     0.00000     0.00000     0.00000     0.00000
   -77.31315     0.00000     0.00000     0.00000     0.00000
   -77.30215     0.00000     0.00000     0.00000     0.00000
   -77.29215     0.00000     0.00000     0.00000     0.00000
   -77.28115     0.00000     0.00000     0.00000     0.00000
   -77.27015     0.00000     0.00000     0.00000     0.00000
   -77.25915     0.00000     0.00000     0.00000     0.00000
   -77.24915     0.00000     0.00000     0.00000     0.00000
   -77.23815     0.00000     0.00000     0.00000     0.00000
   -77.22715     0.00000     0.00000     0.00000     0.00000
   -77.21615     0.00000     0.00000     0.00000     0.00000
   -77.20615     0.00000     0.00000     0.00000     0.00000
   -77.19515     0.00000     0.00000     0.00000     0.00000
   -77.18415     0.00000     0.00000     0.00000     0.00000
   -77.17415     0.00000     0.00000     0.00000     0.00000
   -77.16315     0.00000     0.00000     0.00000     0.00000
   -77.15215     0.00000     0.00000     0.00000     0.00000
   -77.14115     0.00000     0.00000     0.00000     0.00000
   -77.13115     0.00000     0.00000     0.00000     0.00000
   -77.12015     0.00000     0.00000     0.00000     0.00000
   -77.10915     0.00000     0.00000     0.00000     0.00000
   -77.09815     0.00000     0.00000     0.00000     0.00000
   -77.08815     0.00000     0.00000     0.00000     0.00000
   -77.07715     0.00000     0.00000     0.00000     0.00000
   -77.06615     0.00000     0.00000     0.00000     0.00000
   -77.05515     0.00000     0.00000     0.00000     0.00000
   -77.04515     0.00000     0.00000     0.00000     0.00000
   -77.03415     0.00000     0.00000     0.00000     0.00000
   -77.02315     0.00000     0.00000     0.00000     0.00000
   -77.01315     0.00000     0.00000     0.00000     0.00000
   -77.00215     0.00000     0.00000     0.00000     0.00000
   -76.99115     0.00000     0.00000     0.00000     0.00000
   -76.98015     0.00000     0.00000     0.00000     0.00000
   -76.97015     0.00000     0.00000     0.00000     0.00000
   -76.95915     0.00000     0.00000     0.00000     0.00000
   -76.94815     0.00000     0.00000     0.00000     0.00000
   -76.93715     0.00000     0.00000     0.00000     0.00000
   -76.92715     0.00000     0.00000     0.00000     0.00000
   -76.91615     0.00000     0.00000     0.00000     0.00000
   -76.90515     0.00000     0.00000     0.00000     0.00000
   -76.89515     0.00000     0.00000     0.00000     0.00000
   -76.88415     0.00000     0.00000     0.00000     0.00000
   -76.87315     0.00000     0.00000     0.00000     0.00000
   -76.86215     0.00000     0.00000     0.00000     0.00000
   -76.85215     0.00000     0.00000     0.00000     0.00000
   -76.84115     0.00000     0.00000     0.00000     0.00000
   -76.83015     0.00000     0.00000     0.00000     0.00000
   -76.81915     0.00000     0.00000     0.00000     0.00000
   -76.80915     0.00000     0.00000     0.00000     0.00000
   -76.79815     0.00000     0.00000     0.00000     0.00000
   -76.78715     0.00000     0.00000     0.00000     0.00000
   -76.77715     0.00000     0.00000     0.00000     0.00000
   -76.76615     0.00000     0.00000     0.00000     0.00000
   -76.75515     0.00000     0.00000     0.00000     0.00000
   -76.74415     0.00000     0.00000     0.00000     0.00000
   -76.73415     0.00000     0.00000     0.00000     0.00000
   -76.72315     0.00000     0.00000     0.00000     0.00000
   -76.71215     0.00000     0.00000     0.00000     0.00000
   -76.70115     0.00000     0.00000     0.00000     0.00000
   -76.69115     0.00000     0.00000     0.00000     0.00000
   -76.68015     0.00000     0.00000     0.00000     0.00000
   -76.66915     0.00000     0.00000     0.00000     0.00000
   -76.65915     0.00000     0.00000     0.00000     0.00000
   -76.64815     0.00000     0.00000     0.00000     0.00000
   -76.63715     0.00000     0.00000     0.00000     0.00000
   -76.62615     0.00000     0.00000     0.00000     0.00000
   -76.61615     0.00000     0.00000     0.00000     0.00000
   -76.60515     0.00000     0.00000     0.00000     0.00000
   -76.59415     0.00000     0.00000     0.00000     0.00000
   -76.58315     0.00000     0.00000     0.00000     0.00000
   -76.57315     0.00000     0.00000     0.00000     0.00000
   -76.56215     0.00000     0.00000     0.00000     0.00000
   -76.55115     0.00000     0.00000     0.00000     0.00000
   -76.54015     0.00000     0.00000     0.00000     0.00000
   -76.53015     0.00000     0.00000     0.00000     0.00000
   -76.51915     0.00000     0.00000     0.00000     0.00000
   -76.50815     0.00000     0.00000     0.00000     0.00000
   -76.49815     0.00000     0.00000     0.00000     0.00000
   -76.48715     0.00000     0.00000     0.00000     0.00000
   -76.47615     0.00000     0.00000     0.00000     0.00000
   -76.46515     0.00000     0.00000     0.00000     0.00000
   -76.45515     0.00000     0.00000     0.00000     0.00000
   -76.44415     0.00000     0.00000     0.00000     0.00000
   -76.43315     0.00000     0.00000     0.00000     0.00000
   -76.42215     0.00000     0.00000     0.00000     0.00000
   -76.41215     0.00000     0.00000     0.00000     0.00000
   -76.40115     0.00000     0.00000     0.00000     0.00000
   -76.39015     0.00000     0.00000     0.00000     0.00000
   -76.38015     0.00000     0.00000     0.00000     0.00000
   -76.36915     0.00000     0.00000     0.00000     0.00000
   -76.35815     0.00000     0.00000     0.00000     0.00000
   -76.34715     0.00000     0.00000     0.00000     0.00000
   -76.33715     0.00000     0.00000     0.00000     0.00000
   -76.32615     0.00000     0.00000     0.00000     0.00000
   -76.31515     0.00000     0.00000     0.00000     0.00000
   -76.30415     0.00000     0.00000     0.00000     0.00000
   -76.29415     0.00000     0.00000     0.00000     0.00000
   -76.28315     0.00000     0.00000     0.00000     0.00000
   -76.27215     0.00000     0.00000     0.00000     0.00000
   -76.26215     0.00000     0.00000     0.00000     0.00000
   -76.25115     0.00000     0.00000     0.00000     0.00000
   -76.24015     0.00000     0.00000     0.00000     0.00000
   -76.22915     0.00000     0.00000     0.00000     0.00000
   -76.21915     0.00000     0.00000     0.00000     0.00000
   -76.20815     0.00000     0.00000     0.00000     0.00000
   -76.19715     0.00000     0.00000     0.00000     0.00000
   -76.18615     0.00000     0.00000     0.00000     0.00000
   -76.17615     0.00000     0.00000     0.00000     0.00000
   -76.16515     0.00000     0.00000     0.00000     0.00000
   -76.15415     0.00000     0.00000     0.00000     0.00000
   -76.14415     0.00000     0.00000     0.00000     0.00000
   -76.13315     0.00000     0.00000     0.00000     0.00000
   -76.12215     0.00000     0.00000     0.00000     0.00000
   -76.11115     0.00000     0.00000     0.00000     0.00000
   -76.10115     0.00000     0.00000     0.00000     0.00000
   -76.09015     0.00000     0.00000     0.00000     0.00000
   -76.07915     0.00000     0.00000     0.00000     0.00000
   -76.06815     0.00000     0.00000     0.00000     0.00000
   -76.05815     0.00000     0.00000     0.00000     0.00000
   -76.04715     0.00000     0.00000     0.00000     0.00000
   -76.03615     0.00000     0.00000     0.00000     0.00000
   -76.02515     0.00000     0.00000     0.00000     0.00000
   -76.01515     0.00000     0.00000     0.00000     0.00000
   -76.00415     0.00000     0.00000     0.00000     0.00000
   -75.99315     0.00000     0.00000     0.00000     0.00000
   -75.98315     0.00000     0.00000     0.00000     0.00000
   -75.97215     0.00000     0.00000     0.00000     0.00000
   -75.96115     0.00000     0.00000     0.00000     0.00000
   -75.95015     0.00000     0.00000     0.00000     0.00000
   -75.94015     0.00000     0.00000     0.00000     0.00000
   -75.92915     0.00000     0.00000     0.00000     0.00000
   -75.91815     0.00000     0.00000     0.00000     0.00000
   -75.90715     0.00000     0.00000     0.00000     0.00000
   -75.89715     0.00000     0.00000     0.00000     0.00000
   -75.88615     0.00000     0.00000     0.00000     0.00000
   -75.87515     0.00000     0.00000     0.00000     0.00000
   -75.86515     0.00000     0.00000     0.00000     0.00000
   -75.85415     0.00000     0.00000     0.00000     0.00000
   -75.84315     0.00000     0.00000     0.00000     0.00000
   -75.83215     0.00000     0.00000     0.00000     0.00000
   -75.82215     0.00000     0.00000     0.00000     0.00000
   -75.81115     0.00000     0.00000     0.00000     0.00000
   -75.80015     0.00000     0.00000     0.00000     0.00000
   -75.78915     0.00000     0.00000     0.00000     0.00000
   -75.77915     0.00000     0.00000     0.00000     0.00000
   -75.76815     0.00000     0.00000     0.00000     0.00000
   -75.75715     0.00000     0.00000     0.00000     0.00000
   -75.74715     0.00000     0.00000     0.00000     0.00000
   -75.73615     0.00000     0.00000     0.00000     0.00000
   -75.72515     0.00000     0.00000     0.00000     0.00000
   -75.71415     0.00000     0.00000     0.00000     0.00000
   -75.70415     0.00000     0.00000     0.00000     0.00000
   -75.69315     0.00000     0.00000     0.00000     0.00000
   -75.68215     0.00000     0.00000     0.00000     0.00000
   -75.67115     0.00000     0.00000     0.00000     0.00000
   -75.66115     0.00000     0.00000     0.00000     0.00000
   -75.65015     0.00000     0.00000     0.00000     0.00000
   -75.63915     0.00000     0.00000     0.00000     0.00000
   -75.62915     0.00000     0.00000     0.00000     0.00000
   -75.61815     0.00000     0.00000     0.00000     0.00000
   -75.60715     0.00000     0.00000     0.00000     0.00000
   -75.59615     0.00000     0.00000     0.00000     0.00000
   -75.58615     0.00000     0.00000     0.00000     0.00000
   -75.57515     0.00000     0.00000     0.00000     0.00000
   -75.56415     0.00000     0.00000     0.00000     0.00000
   -75.55315     0.00000     0.00000     0.00000     0.00000
   -75.54315     0.00000     0.00000     0.00000     0.00000
   -75.53215     0.00000     0.00000     0.00000     0.00000
