     #Energy       W_all      Mo_all      Ru_all      Hf_all
   -78.18817     0.00000     0.00000     0.00000     0.00000
   -78.17717     0.00000     0.00000     0.00000     0.00000
   -78.16717     0.00000     0.00000     0.00000     0.00000
   -78.15617     0.00000     0.00000     0.00000     0.00000
   -78.14517     0.00000     0.00000     0.00000     0.00000
   -78.13417     0.00000     0.00000     0.00000     0.00000
   -78.12317     0.00000     0.00000     0.00000     0.00000
   -78.11217     0.00000     0.00000     0.00000     0.00000
   -78.10117     0.00000     0.00000     0.00000     0.00000
   -78.09117     0.00000     0.00000     0.00000     0.00000
   -78.08017     0.00000     0.00000     0.00000     0.00000
   -78.06917     0.00000     0.00000     0.00000     0.00000
   -78.05817     0.00000     0.00000     0.00000     0.00000
   -78.04717     0.00000     0.00000     0.00000     0.00000
   -78.03617     0.00000     0.00000     0.00000     0.00000
   -78.02617     0.00000     0.00000     0.00000     0.00000
   -78.01517     0.00000     0.00000     0.00000     0.00000
   -78.00417     0.00000     0.00000     0.00000     0.00000
   -77.99317     0.00000     0.00000     0.00000     0.00000
   -77.98217     0.00000     0.00000     0.00000     0.00000
   -77.97117     0.00000     0.00000     0.00000     0.00000
   -77.96017     0.00000     0.00000     0.00000     0.00000
   -77.95017     0.00000     0.00000     0.00000     0.00000
   -77.93917     0.00000     0.00000     0.00000     0.00000
   -77.92817     0.00000     0.00000     0.00000     0.00000
   -77.91717     0.00000     0.00000     0.00000     0.00000
   -77.90617     0.00000     0.00000     0.00000     0.00000
   -77.89517     0.00000     0.00000     0.00000     0.00000
   -77.88517     0.00000     0.00000     0.00000     0.00000
   -77.87417     0.00000     0.00000     0.00000     0.00000
   -77.86317     0.00000     0.00000     0.00000     0.00000
   -77.85217     0.00000     0.00000     0.00000     0.00000
   -77.84117     0.00000     0.00000     0.00000     0.00000
   -77.83017     0.00000     0.00000     0.00000     0.00000
   -77.82017     0.00000     0.00000     0.00000     0.00000
   -77.80917     0.00000     0.00000     0.00000     0.00000
   -77.79817     0.00000     0.00000     0.00000     0.00000
   -77.78717     0.00000     0.00000     0.00000     0.00000
   -77.77617     0.00000     0.00000     0.00000     0.00000
   -77.76517     0.00000     0.00000     0.00000     0.00000
   -77.75417     0.00000     0.00000     0.00000     0.00000
   -77.74417     0.00000     0.00000     0.00000     0.00000
   -77.73317     0.00000     0.00000     0.00000     0.00000
   -77.72217     0.00000     0.00000     0.00000     0.00000
   -77.71117     0.00000     0.00000     0.00000     0.00000
   -77.70017     0.00000     0.00000     0.00000     0.00000
   -77.68917     0.00000     0.00000     0.00000     0.00000
   -77.67917     0.00000     0.00000     0.00000     0.00000
   -77.66817     0.00000     0.00000     0.00000     0.00000
   -77.65717     0.00000     0.00000     0.00000     0.00000
   -77.64617     0.00000     0.00000     0.00000     0.00000
   -77.63517     0.00000     0.00000     0.00000     0.00000
   -77.62417     0.00000     0.00000     0.00000     0.00000
   -77.61317     0.00000     0.00000     0.00000     0.00000
   -77.60317     0.00000     0.00000     0.00000     0.00000
   -77.59217     0.00000     0.00000     0.00000     0.00000
   -77.58117     0.00000     0.00000     0.00000     0.00000
   -77.57017     0.00000     0.00000     0.00000     0.00000
   -77.55917     0.00000     0.00000     0.00000     0.00000
   -77.54817     0.00000     0.00000     0.00000     0.00000
   -77.53817     0.00000     0.00000     0.00000     0.00000
   -77.52717     0.00000     0.00000     0.00000     0.00000
   -77.51617     0.00000     0.00000     0.00000     0.00000
   -77.50517     0.00000     0.00000     0.00000     0.00000
   -77.49417     0.00000     0.00000     0.00000     0.00000
   -77.48317     0.00000     0.00000     0.00000     0.00000
