     #Energy       W_all      Mo_all      Ru_all      Zr_all
   -78.05378     0.00000     0.00000     0.00000     0.00000
   -78.04378     0.00000     0.00000     0.00000     0.00000
   -78.03278     0.00000     0.00000     0.00000     0.00000
   -78.02178     0.00000     0.00000     0.00000     0.00000
   -78.01078     0.00000     0.00000     0.00000     0.00000
   -78.00078     0.00000     0.00000     0.00000     0.00000
   -77.98978     0.00000     0.00000     0.00000     0.00000
   -77.97878     0.00000     0.00000     0.00000     0.00000
   -77.96778     0.00000     0.00000     0.00000     0.00000
   -77.95778     0.00000     0.00000     0.00000     0.00000
   -77.94678     0.00000     0.00000     0.00000     0.00000
   -77.93578     0.00000     0.00000     0.00000     0.00000
   -77.92478     0.00000     0.00000     0.00000     0.00000
   -77.91478     0.00000     0.00000     0.00000     0.00000
   -77.90378     0.00000     0.00000     0.00000     0.00000
   -77.89278     0.00000     0.00000     0.00000     0.00000
   -77.88178     0.00000     0.00000     0.00000     0.00000
   -77.87178     0.00000     0.00000     0.00000     0.00000
   -77.86078     0.00000     0.00000     0.00000     0.00000
   -77.84978     0.00000     0.00000     0.00000     0.00000
   -77.83878     0.00000     0.00000     0.00000     0.00000
   -77.82878     0.00000     0.00000     0.00000     0.00000
   -77.81778     0.00000     0.00000     0.00000     0.00000
   -77.80678     0.00000     0.00000     0.00000     0.00000
   -77.79578     0.00000     0.00000     0.00000     0.00000
   -77.78578     0.00000     0.00000     0.00000     0.00000
   -77.77478     0.00000     0.00000     0.00000     0.00000
   -77.76378     0.00000     0.00000     0.00000     0.00000
   -77.75278     0.00000     0.00000     0.00000     0.00000
   -77.74278     0.00000     0.00000     0.00000     0.00000
   -77.73178     0.00000     0.00000     0.00000     0.00000
   -77.72078     0.00000     0.00000     0.00000     0.00000
   -77.70978     0.00000     0.00000     0.00000     0.00000
   -77.69978     0.00000     0.00000     0.00000     0.00000
   -77.68878     0.00000     0.00000     0.00000     0.00000
   -77.67778     0.00000     0.00000     0.00000     0.00000
   -77.66678     0.00000     0.00000     0.00000     0.00000
   -77.65678     0.00000     0.00000     0.00000     0.00000
   -77.64578     0.00000     0.00000     0.00000     0.00000
   -77.63478     0.00000     0.00000     0.00000     0.00000
   -77.62378     0.00000     0.00000     0.00000     0.00000
