     #Energy       W_all      Mo_all      Ti_all      Ir_all
   -78.11182     0.00000     0.00000     0.00000     0.00000
   -78.10082     0.00000     0.00000     0.00000     0.00000
   -78.08982     0.00000     0.00000     0.00000     0.00000
   -78.07982     0.00000     0.00000     0.00000     0.00000
   -78.06882     0.00000     0.00000     0.00000     0.00000
   -78.05782     0.00000     0.00000     0.00000     0.00000
   -78.04782     0.00000     0.00000     0.00000     0.00000
   -78.03682     0.00000     0.00000     0.00000     0.00000
   -78.02682     0.00000     0.00000     0.00000     0.00000
   -78.01582     0.00000     0.00000     0.00000     0.00000
   -78.00482     0.00000     0.00000     0.00000     0.00000
   -77.99482     0.00000     0.00000     0.00000     0.00000
   -77.98382     0.00000     0.00000     0.00000     0.00000
   -77.97282     0.00000     0.00000     0.00000     0.00000
   -77.96282     0.00000     0.00000     0.00000     0.00000
   -77.95182     0.00000     0.00000     0.00000     0.00000
   -77.94082     0.00000     0.00000     0.00000     0.00000
   -77.93082     0.00000     0.00000     0.00000     0.00000
   -77.91982     0.00000     0.00000     0.00000     0.00000
   -77.90882     0.00000     0.00000     0.00000     0.00000
   -77.89882     0.00000     0.00000     0.00000     0.00000
   -77.88782     0.00000     0.00000     0.00000     0.00000
   -77.87682     0.00000     0.00000     0.00000     0.00000
   -77.86682     0.00000     0.00000     0.00000     0.00000
   -77.85582     0.00000     0.00000     0.00000     0.00000
   -77.84482     0.00000     0.00000     0.00000     0.00000
   -77.83482     0.00000     0.00000     0.00000     0.00000
   -77.82382     0.00000     0.00000     0.00000     0.00000
   -77.81282     0.00000     0.00000     0.00000     0.00000
   -77.80282     0.00000     0.00000     0.00000     0.00000
   -77.79182     0.00000     0.00000     0.00000     0.00000
   -77.78082     0.00000     0.00000     0.00000     0.00000
   -77.77082     0.00000     0.00000     0.00000     0.00000
   -77.75982     0.00000     0.00000     0.00000     0.00000
   -77.74882     0.00000     0.00000     0.00000     0.00000
   -77.73882     0.00000     0.00000     0.00000     0.00000
   -77.72782     0.00000     0.00000     0.00000     0.00000
   -77.71682     0.00000     0.00000     0.00000     0.00000
   -77.70682     0.00000     0.00000     0.00000     0.00000
   -77.69582     0.00000     0.00000     0.00000     0.00000
   -77.68482     0.00000     0.00000     0.00000     0.00000
   -77.67482     0.00000     0.00000     0.00000     0.00000
   -77.66382     0.00000     0.00000     0.00000     0.00000
   -77.65282     0.00000     0.00000     0.00000     0.00000
   -77.64282     0.00000     0.00000     0.00000     0.00000
   -77.63182     0.00000     0.00000     0.00000     0.00000
   -77.62082     0.00000     0.00000     0.00000     0.00000
   -77.61082     0.00000     0.00000     0.00000     0.00000
   -77.59982     0.00000     0.00000     0.00000     0.00000
   -77.58882     0.00000     0.00000     0.00000     0.00000
   -77.57882     0.00000     0.00000     0.00000     0.00000
   -77.56782     0.00000     0.00000     0.00000     0.00000
   -77.55682     0.00000     0.00000     0.00000     0.00000
   -77.54682     0.00000     0.00000     0.00000     0.00000
   -77.53582     0.00000     0.00000     0.00000     0.00000
   -77.52482     0.00000     0.00000     0.00000     0.00000
   -77.51482     0.00000     0.00000     0.00000     0.00000
   -77.50382     0.00000     0.00000     0.00000     0.00000
   -77.49282     0.00000     0.00000     0.00000     0.00000
   -77.48282     0.00000     0.00000     0.00000     0.00000
   -77.47182     0.00000     0.00000     0.00000     0.00000
   -77.46082     0.00000     0.00000     0.00000     0.00000
   -77.45082     0.00000     0.00000     0.00000     0.00000
   -77.43982     0.00000     0.00000     0.00000     0.00000
   -77.42882     0.00000     0.00000     0.00000     0.00000
   -77.41882     0.00000     0.00000     0.00000     0.00000
   -77.40782     0.00000     0.00000     0.00000     0.00000
   -77.39782     0.00000     0.00000     0.00000     0.00000
   -77.38682     0.00000     0.00000     0.00000     0.00000
   -77.37582     0.00000     0.00000     0.00000     0.00000
   -77.36582     0.00000     0.00000     0.00000     0.00000
   -77.35482     0.00000     0.00000     0.00000     0.00000
   -77.34382     0.00000     0.00000     0.00000     0.00000
   -77.33382     0.00000     0.00000     0.00000     0.00000
   -77.32282     0.00000     0.00000     0.00000     0.00000
   -77.31182     0.00000     0.00000     0.00000     0.00000
   -77.30182     0.00000     0.00000     0.00000     0.00000
   -77.29082     0.00000     0.00000     0.00000     0.00000
   -77.27982     0.00000     0.00000     0.00000     0.00000
   -77.26982     0.00000     0.00000     0.00000     0.00000
   -77.25882     0.00000     0.00000     0.00000     0.00000
   -77.24782     0.00000     0.00000     0.00000     0.00000
   -77.23782     0.00000     0.00000     0.00000     0.00000
   -77.22682     0.00000     0.00000     0.00000     0.00000
   -77.21582     0.00000     0.00000     0.00000     0.00000
   -77.20582     0.00000     0.00000     0.00000     0.00000
   -77.19482     0.00000     0.00000     0.00000     0.00000
   -77.18382     0.00000     0.00000     0.00000     0.00000
   -77.17382     0.00000     0.00000     0.00000     0.00000
   -77.16282     0.00000     0.00000     0.00000     0.00000
   -77.15182     0.00000     0.00000     0.00000     0.00000
   -77.14182     0.00000     0.00000     0.00000     0.00000
   -77.13082     0.00000     0.00000     0.00000     0.00000
   -77.11982     0.00000     0.00000     0.00000     0.00000
   -77.10982     0.00000     0.00000     0.00000     0.00000
   -77.09882     0.00000     0.00000     0.00000     0.00000
   -77.08782     0.00000     0.00000     0.00000     0.00000
   -77.07782     0.00000     0.00000     0.00000     0.00000
   -77.06682     0.00000     0.00000     0.00000     0.00000
   -77.05582     0.00000     0.00000     0.00000     0.00000
   -77.04582     0.00000     0.00000     0.00000     0.00000
   -77.03482     0.00000     0.00000     0.00000     0.00000
   -77.02382     0.00000     0.00000     0.00000     0.00000
   -77.01382     0.00000     0.00000     0.00000     0.00000
   -77.00282     0.00000     0.00000     0.00000     0.00000
   -76.99182     0.00000     0.00000     0.00000     0.00000
   -76.98182     0.00000     0.00000     0.00000     0.00000
   -76.97082     0.00000     0.00000     0.00000     0.00000
   -76.95982     0.00000     0.00000     0.00000     0.00000
   -76.94982     0.00000     0.00000     0.00000     0.00000
   -76.93882     0.00000     0.00000     0.00000     0.00000
   -76.92782     0.00000     0.00000     0.00000     0.00000
   -76.91782     0.00000     0.00000     0.00000     0.00000
   -76.90682     0.00000     0.00000     0.00000     0.00000
   -76.89582     0.00000     0.00000     0.00000     0.00000
   -76.88582     0.00000     0.00000     0.00000     0.00000
   -76.87482     0.00000     0.00000     0.00000     0.00000
   -76.86382     0.00000     0.00000     0.00000     0.00000
   -76.85382     0.00000     0.00000     0.00000     0.00000
   -76.84282     0.00000     0.00000     0.00000     0.00000
   -76.83182     0.00000     0.00000     0.00000     0.00000
   -76.82182     0.00000     0.00000     0.00000     0.00000
   -76.81082     0.00000     0.00000     0.00000     0.00000
   -76.79982     0.00000     0.00000     0.00000     0.00000
   -76.78982     0.00000     0.00000     0.00000     0.00000
   -76.77882     0.00000     0.00000     0.00000     0.00000
   -76.76782     0.00000     0.00000     0.00000     0.00000
   -76.75782     0.00000     0.00000     0.00000     0.00000
   -76.74682     0.00000     0.00000     0.00000     0.00000
   -76.73682     0.00000     0.00000     0.00000     0.00000
   -76.72582     0.00000     0.00000     0.00000     0.00000
   -76.71482     0.00000     0.00000     0.00000     0.00000
   -76.70482     0.00000     0.00000     0.00000     0.00000
   -76.69382     0.00000     0.00000     0.00000     0.00000
   -76.68282     0.00000     0.00000     0.00000     0.00000
   -76.67282     0.00000     0.00000     0.00000     0.00000
   -76.66182     0.00000     0.00000     0.00000     0.00000
   -76.65082     0.00000     0.00000     0.00000     0.00000
   -76.64082     0.00000     0.00000     0.00000     0.00000
   -76.62982     0.00000     0.00000     0.00000     0.00000
   -76.61882     0.00000     0.00000     0.00000     0.00000
   -76.60882     0.00000     0.00000     0.00000     0.00000
   -76.59782     0.00000     0.00000     0.00000     0.00000
   -76.58682     0.00000     0.00000     0.00000     0.00000
   -76.57682     0.00000     0.00000     0.00000     0.00000
   -76.56582     0.00000     0.00000     0.00000     0.00000
   -76.55482     0.00000     0.00000     0.00000     0.00000
   -76.54482     0.00000     0.00000     0.00000     0.00000
   -76.53382     0.00000     0.00000     0.00000     0.00000
   -76.52282     0.00000     0.00000     0.00000     0.00000
   -76.51282     0.00000     0.00000     0.00000     0.00000
   -76.50182     0.00000     0.00000     0.00000     0.00000
   -76.49082     0.00000     0.00000     0.00000     0.00000
   -76.48082     0.00000     0.00000     0.00000     0.00000
   -76.46982     0.00000     0.00000     0.00000     0.00000
   -76.45882     0.00000     0.00000     0.00000     0.00000
   -76.44882     0.00000     0.00000     0.00000     0.00000
   -76.43782     0.00000     0.00000     0.00000     0.00000
   -76.42682     0.00000     0.00000     0.00000     0.00000
   -76.41682     0.00000     0.00000     0.00000     0.00000
   -76.40582     0.00000     0.00000     0.00000     0.00000
   -76.39482     0.00000     0.00000     0.00000     0.00000
   -76.38482     0.00000     0.00000     0.00000     0.00000
   -76.37382     0.00000     0.00000     0.00000     0.00000
   -76.36282     0.00000     0.00000     0.00000     0.00000
   -76.35282     0.00000     0.00000     0.00000     0.00000
   -76.34182     0.00000     0.00000     0.00000     0.00000
