     #Energy       W_all      Mo_all      Ti_all      Os_all
   -78.32248     0.00000     0.00000     0.00000     0.00000
   -78.31248     0.00000     0.00000     0.00000     0.00000
   -78.30148     0.00000     0.00000     0.00000     0.00000
   -78.29048     0.00000     0.00000     0.00000     0.00000
   -78.28048     0.00000     0.00000     0.00000     0.00000
   -78.26948     0.00000     0.00000     0.00000     0.00000
   -78.25848     0.00000     0.00000     0.00000     0.00000
   -78.24748     0.00000     0.00000     0.00000     0.00000
   -78.23748     0.00000     0.00000     0.00000     0.00000
   -78.22648     0.00000     0.00000     0.00000     0.00000
   -78.21548     0.00000     0.00000     0.00000     0.00000
   -78.20548     0.00000     0.00000     0.00000     0.00000
   -78.19448     0.00000     0.00000     0.00000     0.00000
   -78.18348     0.00000     0.00000     0.00000     0.00000
   -78.17348     0.00000     0.00000     0.00000     0.00000
   -78.16248     0.00000     0.00000     0.00000     0.00000
   -78.15148     0.00000     0.00000     0.00000     0.00000
   -78.14048     0.00000     0.00000     0.00000     0.00000
   -78.13048     0.00000     0.00000     0.00000     0.00000
   -78.11948     0.00000     0.00000     0.00000     0.00000
   -78.10848     0.00000     0.00000     0.00000     0.00000
   -78.09848     0.00000     0.00000     0.00000     0.00000
   -78.08748     0.00000     0.00000     0.00000     0.00000
   -78.07648     0.00000     0.00000     0.00000     0.00000
   -78.06648     0.00000     0.00000     0.00000     0.00000
   -78.05548     0.00000     0.00000     0.00000     0.00000
   -78.04448     0.00000     0.00000     0.00000     0.00000
   -78.03348     0.00000     0.00000     0.00000     0.00000
   -78.02348     0.00000     0.00000     0.00000     0.00000
   -78.01248     0.00000     0.00000     0.00000     0.00000
   -78.00148     0.00000     0.00000     0.00000     0.00000
   -77.99148     0.00000     0.00000     0.00000     0.00000
   -77.98048     0.00000     0.00000     0.00000     0.00000
   -77.96948     0.00000     0.00000     0.00000     0.00000
   -77.95948     0.00000     0.00000     0.00000     0.00000
   -77.94848     0.00000     0.00000     0.00000     0.00000
   -77.93748     0.00000     0.00000     0.00000     0.00000
   -77.92648     0.00000     0.00000     0.00000     0.00000
   -77.91648     0.00000     0.00000     0.00000     0.00000
   -77.90548     0.00000     0.00000     0.00000     0.00000
   -77.89448     0.00000     0.00000     0.00000     0.00000
   -77.88448     0.00000     0.00000     0.00000     0.00000
   -77.87348     0.00000     0.00000     0.00000     0.00000
   -77.86248     0.00000     0.00000     0.00000     0.00000
   -77.85248     0.00000     0.00000     0.00000     0.00000
   -77.84148     0.00000     0.00000     0.00000     0.00000
   -77.83048     0.00000     0.00000     0.00000     0.00000
