     #Energy       W_all      Mo_all      Ti_all
   -77.58162     0.00000     0.00000     0.00000
   -77.57062     0.00000     0.00000     0.00000
   -77.56062     0.00000     0.00000     0.00000
   -77.54962     0.00000     0.00000     0.00000
   -77.53862     0.00000     0.00000     0.00000
   -77.52862     0.00000     0.00000     0.00000
   -77.51762     0.00000     0.00000     0.00000
   -77.50762     0.00000     0.00000     0.00000
   -77.49662     0.00000     0.00000     0.00000
   -77.48662     0.00000     0.00000     0.00000
   -77.47562     0.00000     0.00000     0.00000
   -77.46462     0.00000     0.00000     0.00000
   -77.45462     0.00000     0.00000     0.00000
   -77.44362     0.00000     0.00000     0.00000
   -77.43362     0.00000     0.00000     0.00000
   -77.42262     0.00000     0.00000     0.00000
   -77.41262     0.00000     0.00000     0.00000
   -77.40162     0.00000     0.00000     0.00000
   -77.39062     0.00000     0.00000     0.00000
   -77.38062     0.00000     0.00000     0.00000
   -77.36962     0.00000     0.00000     0.00000
   -77.35962     0.00000     0.00000     0.00000
   -77.34862     0.00000     0.00000     0.00000
   -77.33862     0.00000     0.00000     0.00000
   -77.32762     0.00000     0.00000     0.00000
   -77.31662     0.00000     0.00000     0.00000
   -77.30662     0.00000     0.00000     0.00000
   -77.29562     0.00000     0.00000     0.00000
   -77.28562     0.00000     0.00000     0.00000
   -77.27462     0.00000     0.00000     0.00000
   -77.26462     0.00000     0.00000     0.00000
   -77.25362     0.00000     0.00000     0.00000
   -77.24262     0.00000     0.00000     0.00000
   -77.23262     0.00000     0.00000     0.00000
   -77.22162     0.00000     0.00000     0.00000
   -77.21162     0.00000     0.00000     0.00000
   -77.20062     0.00000     0.00000     0.00000
   -77.19062     0.00000     0.00000     0.00000
   -77.17962     0.00000     0.00000     0.00000
   -77.16862     0.00000     0.00000     0.00000
   -77.15862     0.00000     0.00000     0.00000
   -77.14762     0.00000     0.00000     0.00000
   -77.13762     0.00000     0.00000     0.00000
   -77.12662     0.00000     0.00000     0.00000
   -77.11662     0.00000     0.00000     0.00000
   -77.10562     0.00000     0.00000     0.00000
   -77.09462     0.00000     0.00000     0.00000
   -77.08462     0.00000     0.00000     0.00000
   -77.07362     0.00000     0.00000     0.00000
   -77.06362     0.00000     0.00000     0.00000
   -77.05262     0.00000     0.00000     0.00000
   -77.04262     0.00000     0.00000     0.00000
   -77.03162     0.00000     0.00000     0.00000
   -77.02062     0.00000     0.00000     0.00000
   -77.01062     0.00000     0.00000     0.00000
   -76.99962     0.00000     0.00000     0.00000
   -76.98962     0.00000     0.00000     0.00000
   -76.97862     0.00000     0.00000     0.00000
   -76.96862     0.00000     0.00000     0.00000
   -76.95762     0.00000     0.00000     0.00000
   -76.94662     0.00000     0.00000     0.00000
   -76.93662     0.00000     0.00000     0.00000
   -76.92562     0.00000     0.00000     0.00000
   -76.91562     0.00000     0.00000     0.00000
   -76.90462     0.00000     0.00000     0.00000
   -76.89462     0.00000     0.00000     0.00000
   -76.88362     0.00000     0.00000     0.00000
   -76.87262     0.00000     0.00000     0.00000
   -76.86262     0.00000     0.00000     0.00000
