     #Energy       W_all      Mo_all      Ti_all      Pd_all
   -77.80002     0.00000     0.00000     0.00000     0.00000
   -77.78902     0.00000     0.00000     0.00000     0.00000
   -77.77902     0.00000     0.00000     0.00000     0.00000
   -77.76802     0.00000     0.00000     0.00000     0.00000
   -77.75702     0.00000     0.00000     0.00000     0.00000
   -77.74702     0.00000     0.00000     0.00000     0.00000
   -77.73602     0.00000     0.00000     0.00000     0.00000
   -77.72602     0.00000     0.00000     0.00000     0.00000
   -77.71502     0.00000     0.00000     0.00000     0.00000
   -77.70402     0.00000     0.00000     0.00000     0.00000
   -77.69402     0.00000     0.00000     0.00000     0.00000
   -77.68302     0.00000     0.00000     0.00000     0.00000
   -77.67302     0.00000     0.00000     0.00000     0.00000
   -77.66202     0.00000     0.00000     0.00000     0.00000
   -77.65102     0.00000     0.00000     0.00000     0.00000
   -77.64102     0.00000     0.00000     0.00000     0.00000
   -77.63002     0.00000     0.00000     0.00000     0.00000
   -77.62002     0.00000     0.00000     0.00000     0.00000
   -77.60902     0.00000     0.00000     0.00000     0.00000
   -77.59802     0.00000     0.00000     0.00000     0.00000
   -77.58802     0.00000     0.00000     0.00000     0.00000
   -77.57702     0.00000     0.00000     0.00000     0.00000
   -77.56702     0.00000     0.00000     0.00000     0.00000
   -77.55602     0.00000     0.00000     0.00000     0.00000
   -77.54502     0.00000     0.00000     0.00000     0.00000
   -77.53502     0.00000     0.00000     0.00000     0.00000
   -77.52402     0.00000     0.00000     0.00000     0.00000
   -77.51402     0.00000     0.00000     0.00000     0.00000
   -77.50302     0.00000     0.00000     0.00000     0.00000
   -77.49302     0.00000     0.00000     0.00000     0.00000
   -77.48202     0.00000     0.00000     0.00000     0.00000
   -77.47102     0.00000     0.00000     0.00000     0.00000
   -77.46102     0.00000     0.00000     0.00000     0.00000
   -77.45002     0.00000     0.00000     0.00000     0.00000
   -77.44002     0.00000     0.00000     0.00000     0.00000
   -77.42902     0.00000     0.00000     0.00000     0.00000
   -77.41802     0.00000     0.00000     0.00000     0.00000
   -77.40802     0.00000     0.00000     0.00000     0.00000
   -77.39702     0.00000     0.00000     0.00000     0.00000
   -77.38702     0.00000     0.00000     0.00000     0.00000
   -77.37602     0.00000     0.00000     0.00000     0.00000
   -77.36502     0.00000     0.00000     0.00000     0.00000
   -77.35502     0.00000     0.00000     0.00000     0.00000
   -77.34402     0.00000     0.00000     0.00000     0.00000
   -77.33402     0.00000     0.00000     0.00000     0.00000
   -77.32302     0.00000     0.00000     0.00000     0.00000
   -77.31202     0.00000     0.00000     0.00000     0.00000
   -77.30202     0.00000     0.00000     0.00000     0.00000
   -77.29102     0.00000     0.00000     0.00000     0.00000
   -77.28102     0.00000     0.00000     0.00000     0.00000
   -77.27002     0.00000     0.00000     0.00000     0.00000
   -77.25902     0.00000     0.00000     0.00000     0.00000
   -77.24902     0.00000     0.00000     0.00000     0.00000
   -77.23802     0.00000     0.00000     0.00000     0.00000
   -77.22802     0.00000     0.00000     0.00000     0.00000
   -77.21702     0.00000     0.00000     0.00000     0.00000
   -77.20602     0.00000     0.00000     0.00000     0.00000
   -77.19602     0.00000     0.00000     0.00000     0.00000
   -77.18502     0.00000     0.00000     0.00000     0.00000
   -77.17502     0.00000     0.00000     0.00000     0.00000
   -77.16402     0.00000     0.00000     0.00000     0.00000
   -77.15302     0.00000     0.00000     0.00000     0.00000
   -77.14302     0.00000     0.00000     0.00000     0.00000
   -77.13202     0.00000     0.00000     0.00000     0.00000
   -77.12202     0.00000     0.00000     0.00000     0.00000
   -77.11102     0.00000     0.00000     0.00000     0.00000
   -77.10102     0.00000     0.00000     0.00000     0.00000
   -77.09002     0.00000     0.00000     0.00000     0.00000
   -77.07902     0.00000     0.00000     0.00000     0.00000
   -77.06902     0.00000     0.00000     0.00000     0.00000
   -77.05802     0.00000     0.00000     0.00000     0.00000
   -77.04802     0.00000     0.00000     0.00000     0.00000
   -77.03702     0.00000     0.00000     0.00000     0.00000
   -77.02602     0.00000     0.00000     0.00000     0.00000
   -77.01602     0.00000     0.00000     0.00000     0.00000
   -77.00502     0.00000     0.00000     0.00000     0.00000
   -76.99502     0.00000     0.00000     0.00000     0.00000
   -76.98402     0.00000     0.00000     0.00000     0.00000
   -76.97302     0.00000     0.00000     0.00000     0.00000
   -76.96302     0.00000     0.00000     0.00000     0.00000
   -76.95202     0.00000     0.00000     0.00000     0.00000
   -76.94202     0.00000     0.00000     0.00000     0.00000
   -76.93102     0.00000     0.00000     0.00000     0.00000
   -76.92002     0.00000     0.00000     0.00000     0.00000
   -76.91002     0.00000     0.00000     0.00000     0.00000
   -76.89902     0.00000     0.00000     0.00000     0.00000
   -76.88902     0.00000     0.00000     0.00000     0.00000
   -76.87802     0.00000     0.00000     0.00000     0.00000
   -76.86702     0.00000     0.00000     0.00000     0.00000
   -76.85702     0.00000     0.00000     0.00000     0.00000
   -76.84602     0.00000     0.00000     0.00000     0.00000
   -76.83602     0.00000     0.00000     0.00000     0.00000
   -76.82502     0.00000     0.00000     0.00000     0.00000
   -76.81402     0.00000     0.00000     0.00000     0.00000
   -76.80402     0.00000     0.00000     0.00000     0.00000
   -76.79302     0.00000     0.00000     0.00000     0.00000
   -76.78302     0.00000     0.00000     0.00000     0.00000
   -76.77202     0.00000     0.00000     0.00000     0.00000
   -76.76102     0.00000     0.00000     0.00000     0.00000
   -76.75102     0.00000     0.00000     0.00000     0.00000
   -76.74002     0.00000     0.00000     0.00000     0.00000
   -76.73002     0.00000     0.00000     0.00000     0.00000
   -76.71902     0.00000     0.00000     0.00000     0.00000
   -76.70902     0.00000     0.00000     0.00000     0.00000
   -76.69802     0.00000     0.00000     0.00000     0.00000
   -76.68702     0.00000     0.00000     0.00000     0.00000
   -76.67702     0.00000     0.00000     0.00000     0.00000
   -76.66602     0.00000     0.00000     0.00000     0.00000
   -76.65602     0.00000     0.00000     0.00000     0.00000
   -76.64502     0.00000     0.00000     0.00000     0.00000
   -76.63402     0.00000     0.00000     0.00000     0.00000
   -76.62402     0.00000     0.00000     0.00000     0.00000
   -76.61302     0.00000     0.00000     0.00000     0.00000
   -76.60302     0.00000     0.00000     0.00000     0.00000
   -76.59202     0.00000     0.00000     0.00000     0.00000
   -76.58102     0.00000     0.00000     0.00000     0.00000
   -76.57102     0.00000     0.00000     0.00000     0.00000
   -76.56002     0.00000     0.00000     0.00000     0.00000
   -76.55002     0.00000     0.00000     0.00000     0.00000
   -76.53902     0.00000     0.00000     0.00000     0.00000
   -76.52802     0.00000     0.00000     0.00000     0.00000
   -76.51802     0.00000     0.00000     0.00000     0.00000
   -76.50702     0.00000     0.00000     0.00000     0.00000
   -76.49702     0.00000     0.00000     0.00000     0.00000
   -76.48602     0.00000     0.00000     0.00000     0.00000
   -76.47502     0.00000     0.00000     0.00000     0.00000
   -76.46502     0.00000     0.00000     0.00000     0.00000
   -76.45402     0.00000     0.00000     0.00000     0.00000
   -76.44402     0.00000     0.00000     0.00000     0.00000
   -76.43302     0.00000     0.00000     0.00000     0.00000
   -76.42202     0.00000     0.00000     0.00000     0.00000
   -76.41202     0.00000     0.00000     0.00000     0.00000
   -76.40102     0.00000     0.00000     0.00000     0.00000
   -76.39102     0.00000     0.00000     0.00000     0.00000
   -76.38002     0.00000     0.00000     0.00000     0.00000
   -76.36902     0.00000     0.00000     0.00000     0.00000
   -76.35902     0.00000     0.00000     0.00000     0.00000
   -76.34802     0.00000     0.00000     0.00000     0.00000
   -76.33802     0.00000     0.00000     0.00000     0.00000
   -76.32702     0.00000     0.00000     0.00000     0.00000
   -76.31702     0.00000     0.00000     0.00000     0.00000
   -76.30602     0.00000     0.00000     0.00000     0.00000
   -76.29502     0.00000     0.00000     0.00000     0.00000
   -76.28502     0.00000     0.00000     0.00000     0.00000
   -76.27402     0.00000     0.00000     0.00000     0.00000
   -76.26402     0.00000     0.00000     0.00000     0.00000
   -76.25302     0.00000     0.00000     0.00000     0.00000
   -76.24202     0.00000     0.00000     0.00000     0.00000
   -76.23202     0.00000     0.00000     0.00000     0.00000
   -76.22102     0.00000     0.00000     0.00000     0.00000
   -76.21102     0.00000     0.00000     0.00000     0.00000
   -76.20002     0.00000     0.00000     0.00000     0.00000
   -76.18902     0.00000     0.00000     0.00000     0.00000
   -76.17902     0.00000     0.00000     0.00000     0.00000
   -76.16802     0.00000     0.00000     0.00000     0.00000
   -76.15802     0.00000     0.00000     0.00000     0.00000
   -76.14702     0.00000     0.00000     0.00000     0.00000
   -76.13602     0.00000     0.00000     0.00000     0.00000
   -76.12602     0.00000     0.00000     0.00000     0.00000
   -76.11502     0.00000     0.00000     0.00000     0.00000
   -76.10502     0.00000     0.00000     0.00000     0.00000
   -76.09402     0.00000     0.00000     0.00000     0.00000
   -76.08302     0.00000     0.00000     0.00000     0.00000
   -76.07302     0.00000     0.00000     0.00000     0.00000
   -76.06202     0.00000     0.00000     0.00000     0.00000
   -76.05202     0.00000     0.00000     0.00000     0.00000
   -76.04102     0.00000     0.00000     0.00000     0.00000
   -76.03002     0.00000     0.00000     0.00000     0.00000
   -76.02002     0.00000     0.00000     0.00000     0.00000
   -76.00902     0.00000     0.00000     0.00000     0.00000
   -75.99902     0.00000     0.00000     0.00000     0.00000
   -75.98802     0.00000     0.00000     0.00000     0.00000
   -75.97802     0.00000     0.00000     0.00000     0.00000
