     #Energy       W_all      Mo_all      Ti_all      Pt_all
   -78.04779     0.00000     0.00000     0.00000     0.00000
   -78.03679     0.00000     0.00000     0.00000     0.00000
   -78.02579     0.00000     0.00000     0.00000     0.00000
   -78.01579     0.00000     0.00000     0.00000     0.00000
   -78.00479     0.00000     0.00000     0.00000     0.00000
   -77.99479     0.00000     0.00000     0.00000     0.00000
   -77.98379     0.00000     0.00000     0.00000     0.00000
   -77.97279     0.00000     0.00000     0.00000     0.00000
   -77.96279     0.00000     0.00000     0.00000     0.00000
   -77.95179     0.00000     0.00000     0.00000     0.00000
   -77.94079     0.00000     0.00000     0.00000     0.00000
   -77.93079     0.00000     0.00000     0.00000     0.00000
   -77.91979     0.00000     0.00000     0.00000     0.00000
   -77.90879     0.00000     0.00000     0.00000     0.00000
   -77.89879     0.00000     0.00000     0.00000     0.00000
   -77.88779     0.00000     0.00000     0.00000     0.00000
   -77.87679     0.00000     0.00000     0.00000     0.00000
   -77.86679     0.00000     0.00000     0.00000     0.00000
   -77.85579     0.00000     0.00000     0.00000     0.00000
   -77.84479     0.00000     0.00000     0.00000     0.00000
   -77.83479     0.00000     0.00000     0.00000     0.00000
   -77.82379     0.00000     0.00000     0.00000     0.00000
   -77.81279     0.00000     0.00000     0.00000     0.00000
   -77.80279     0.00000     0.00000     0.00000     0.00000
   -77.79179     0.00000     0.00000     0.00000     0.00000
   -77.78179     0.00000     0.00000     0.00000     0.00000
   -77.77079     0.00000     0.00000     0.00000     0.00000
   -77.75979     0.00000     0.00000     0.00000     0.00000
   -77.74979     0.00000     0.00000     0.00000     0.00000
   -77.73879     0.00000     0.00000     0.00000     0.00000
   -77.72779     0.00000     0.00000     0.00000     0.00000
   -77.71779     0.00000     0.00000     0.00000     0.00000
   -77.70679     0.00000     0.00000     0.00000     0.00000
   -77.69579     0.00000     0.00000     0.00000     0.00000
   -77.68579     0.00000     0.00000     0.00000     0.00000
   -77.67479     0.00000     0.00000     0.00000     0.00000
   -77.66379     0.00000     0.00000     0.00000     0.00000
   -77.65379     0.00000     0.00000     0.00000     0.00000
   -77.64279     0.00000     0.00000     0.00000     0.00000
   -77.63179     0.00000     0.00000     0.00000     0.00000
   -77.62179     0.00000     0.00000     0.00000     0.00000
   -77.61079     0.00000     0.00000     0.00000     0.00000
   -77.59979     0.00000     0.00000     0.00000     0.00000
   -77.58979     0.00000     0.00000     0.00000     0.00000
   -77.57879     0.00000     0.00000     0.00000     0.00000
   -77.56879     0.00000     0.00000     0.00000     0.00000
   -77.55779     0.00000     0.00000     0.00000     0.00000
   -77.54679     0.00000     0.00000     0.00000     0.00000
   -77.53679     0.00000     0.00000     0.00000     0.00000
   -77.52579     0.00000     0.00000     0.00000     0.00000
   -77.51479     0.00000     0.00000     0.00000     0.00000
   -77.50479     0.00000     0.00000     0.00000     0.00000
   -77.49379     0.00000     0.00000     0.00000     0.00000
   -77.48279     0.00000     0.00000     0.00000     0.00000
   -77.47279     0.00000     0.00000     0.00000     0.00000
   -77.46179     0.00000     0.00000     0.00000     0.00000
   -77.45079     0.00000     0.00000     0.00000     0.00000
   -77.44079     0.00000     0.00000     0.00000     0.00000
   -77.42979     0.00000     0.00000     0.00000     0.00000
   -77.41879     0.00000     0.00000     0.00000     0.00000
   -77.40879     0.00000     0.00000     0.00000     0.00000
   -77.39779     0.00000     0.00000     0.00000     0.00000
   -77.38679     0.00000     0.00000     0.00000     0.00000
   -77.37679     0.00000     0.00000     0.00000     0.00000
   -77.36579     0.00000     0.00000     0.00000     0.00000
   -77.35579     0.00000     0.00000     0.00000     0.00000
   -77.34479     0.00000     0.00000     0.00000     0.00000
   -77.33379     0.00000     0.00000     0.00000     0.00000
   -77.32379     0.00000     0.00000     0.00000     0.00000
   -77.31279     0.00000     0.00000     0.00000     0.00000
   -77.30179     0.00000     0.00000     0.00000     0.00000
   -77.29179     0.00000     0.00000     0.00000     0.00000
   -77.28079     0.00000     0.00000     0.00000     0.00000
   -77.26979     0.00000     0.00000     0.00000     0.00000
   -77.25979     0.00000     0.00000     0.00000     0.00000
   -77.24879     0.00000     0.00000     0.00000     0.00000
   -77.23779     0.00000     0.00000     0.00000     0.00000
   -77.22779     0.00000     0.00000     0.00000     0.00000
   -77.21679     0.00000     0.00000     0.00000     0.00000
   -77.20579     0.00000     0.00000     0.00000     0.00000
   -77.19579     0.00000     0.00000     0.00000     0.00000
   -77.18479     0.00000     0.00000     0.00000     0.00000
   -77.17479     0.00000     0.00000     0.00000     0.00000
   -77.16379     0.00000     0.00000     0.00000     0.00000
   -77.15279     0.00000     0.00000     0.00000     0.00000
   -77.14279     0.00000     0.00000     0.00000     0.00000
   -77.13179     0.00000     0.00000     0.00000     0.00000
   -77.12079     0.00000     0.00000     0.00000     0.00000
   -77.11079     0.00000     0.00000     0.00000     0.00000
   -77.09979     0.00000     0.00000     0.00000     0.00000
   -77.08879     0.00000     0.00000     0.00000     0.00000
   -77.07879     0.00000     0.00000     0.00000     0.00000
   -77.06779     0.00000     0.00000     0.00000     0.00000
   -77.05679     0.00000     0.00000     0.00000     0.00000
   -77.04679     0.00000     0.00000     0.00000     0.00000
   -77.03579     0.00000     0.00000     0.00000     0.00000
   -77.02479     0.00000     0.00000     0.00000     0.00000
   -77.01479     0.00000     0.00000     0.00000     0.00000
   -77.00379     0.00000     0.00000     0.00000     0.00000
   -76.99279     0.00000     0.00000     0.00000     0.00000
   -76.98279     0.00000     0.00000     0.00000     0.00000
   -76.97179     0.00000     0.00000     0.00000     0.00000
   -76.96179     0.00000     0.00000     0.00000     0.00000
   -76.95079     0.00000     0.00000     0.00000     0.00000
   -76.93979     0.00000     0.00000     0.00000     0.00000
   -76.92979     0.00000     0.00000     0.00000     0.00000
   -76.91879     0.00000     0.00000     0.00000     0.00000
   -76.90779     0.00000     0.00000     0.00000     0.00000
   -76.89779     0.00000     0.00000     0.00000     0.00000
   -76.88679     0.00000     0.00000     0.00000     0.00000
   -76.87579     0.00000     0.00000     0.00000     0.00000
   -76.86579     0.00000     0.00000     0.00000     0.00000
   -76.85479     0.00000     0.00000     0.00000     0.00000
   -76.84379     0.00000     0.00000     0.00000     0.00000
   -76.83379     0.00000     0.00000     0.00000     0.00000
   -76.82279     0.00000     0.00000     0.00000     0.00000
   -76.81179     0.00000     0.00000     0.00000     0.00000
   -76.80179     0.00000     0.00000     0.00000     0.00000
   -76.79079     0.00000     0.00000     0.00000     0.00000
   -76.77979     0.00000     0.00000     0.00000     0.00000
   -76.76979     0.00000     0.00000     0.00000     0.00000
   -76.75879     0.00000     0.00000     0.00000     0.00000
   -76.74879     0.00000     0.00000     0.00000     0.00000
   -76.73779     0.00000     0.00000     0.00000     0.00000
   -76.72679     0.00000     0.00000     0.00000     0.00000
   -76.71679     0.00000     0.00000     0.00000     0.00000
   -76.70579     0.00000     0.00000     0.00000     0.00000
   -76.69479     0.00000     0.00000     0.00000     0.00000
   -76.68479     0.00000     0.00000     0.00000     0.00000
   -76.67379     0.00000     0.00000     0.00000     0.00000
   -76.66279     0.00000     0.00000     0.00000     0.00000
   -76.65279     0.00000     0.00000     0.00000     0.00000
   -76.64179     0.00000     0.00000     0.00000     0.00000
   -76.63079     0.00000     0.00000     0.00000     0.00000
   -76.62079     0.00000     0.00000     0.00000     0.00000
   -76.60979     0.00000     0.00000     0.00000     0.00000
   -76.59879     0.00000     0.00000     0.00000     0.00000
   -76.58879     0.00000     0.00000     0.00000     0.00000
   -76.57779     0.00000     0.00000     0.00000     0.00000
   -76.56679     0.00000     0.00000     0.00000     0.00000
   -76.55679     0.00000     0.00000     0.00000     0.00000
   -76.54579     0.00000     0.00000     0.00000     0.00000
   -76.53579     0.00000     0.00000     0.00000     0.00000
   -76.52479     0.00000     0.00000     0.00000     0.00000
   -76.51379     0.00000     0.00000     0.00000     0.00000
   -76.50379     0.00000     0.00000     0.00000     0.00000
   -76.49279     0.00000     0.00000     0.00000     0.00000
   -76.48179     0.00000     0.00000     0.00000     0.00000
   -76.47179     0.00000     0.00000     0.00000     0.00000
   -76.46079     0.00000     0.00000     0.00000     0.00000
   -76.44979     0.00000     0.00000     0.00000     0.00000
   -76.43979     0.00000     0.00000     0.00000     0.00000
   -76.42879     0.00000     0.00000     0.00000     0.00000
   -76.41779     0.00000     0.00000     0.00000     0.00000
   -76.40779     0.00000     0.00000     0.00000     0.00000
   -76.39679     0.00000     0.00000     0.00000     0.00000
   -76.38579     0.00000     0.00000     0.00000     0.00000
   -76.37579     0.00000     0.00000     0.00000     0.00000
   -76.36479     0.00000     0.00000     0.00000     0.00000
   -76.35379     0.00000     0.00000     0.00000     0.00000
   -76.34379     0.00000     0.00000     0.00000     0.00000
   -76.33279     0.00000     0.00000     0.00000     0.00000
   -76.32279     0.00000     0.00000     0.00000     0.00000
   -76.31179     0.00000     0.00000     0.00000     0.00000
   -76.30079     0.00000     0.00000     0.00000     0.00000
   -76.29079     0.00000     0.00000     0.00000     0.00000
   -76.27979     0.00000     0.00000     0.00000     0.00000
   -76.26879     0.00000     0.00000     0.00000     0.00000
   -76.25879     0.00000     0.00000     0.00000     0.00000
   -76.24779     0.00000     0.00000     0.00000     0.00000
   -76.23679     0.00000     0.00000     0.00000     0.00000
   -76.22679     0.00000     0.00000     0.00000     0.00000
   -76.21579     0.00000     0.00000     0.00000     0.00000
   -76.20479     0.00000     0.00000     0.00000     0.00000
   -76.19479     0.00000     0.00000     0.00000     0.00000
   -76.18379     0.00000     0.00000     0.00000     0.00000
   -76.17279     0.00000     0.00000     0.00000     0.00000
   -76.16279     0.00000     0.00000     0.00000     0.00000
   -76.15179     0.00000     0.00000     0.00000     0.00000
   -76.14079     0.00000     0.00000     0.00000     0.00000
   -76.13079     0.00000     0.00000     0.00000     0.00000
   -76.11979     0.00000     0.00000     0.00000     0.00000
   -76.10979     0.00000     0.00000     0.00000     0.00000
   -76.09879     0.00000     0.00000     0.00000     0.00000
   -76.08779     0.00000     0.00000     0.00000     0.00000
   -76.07779     0.00000     0.00000     0.00000     0.00000
   -76.06679     0.00000     0.00000     0.00000     0.00000
   -76.05579     0.00000     0.00000     0.00000     0.00000
   -76.04579     0.00000     0.00000     0.00000     0.00000
   -76.03479     0.00000     0.00000     0.00000     0.00000
   -76.02379     0.00000     0.00000     0.00000     0.00000
   -76.01379     0.00000     0.00000     0.00000     0.00000
