     #Energy       W_all      Mo_all      Ti_all      Re_all
   -84.35272     0.00000     0.00000     0.00000     0.00000
   -84.34172     0.00000     0.00000     0.00000     0.00000
   -84.32972     0.00000     0.00000     0.00000     0.00000
   -84.31872     0.00000     0.00000     0.00000     0.00000
   -84.30672     0.00000     0.00000     0.00000     0.00000
   -84.29572     0.00000     0.00000     0.00000     0.00000
   -84.28472     0.00000     0.00000     0.00000     0.00000
   -84.27272     0.00000     0.00000     0.00000     0.00000
   -84.26172     0.00000     0.00000     0.00000     0.00000
   -84.24972     0.00000     0.00000     0.00000     0.00000
   -84.23872     0.00000     0.00000     0.00000     0.00000
   -84.22672     0.00000     0.00000     0.00000     0.00000
   -84.21572     0.00000     0.00000     0.00000     0.00000
   -84.20472     0.00000     0.00000     0.00000     0.00000
   -84.19272     0.00000     0.00000     0.00000     0.00000
   -84.18172     0.00000     0.00000     0.00000     0.00000
   -84.16972     0.00000     0.00000     0.00000     0.00000
   -84.15872     0.00000     0.00000     0.00000     0.00000
   -84.14672     0.00000     0.00000     0.00000     0.00000
   -84.13572     0.00000     0.00000     0.00000     0.00000
   -84.12472     0.00000     0.00000     0.00000     0.00000
   -84.11272     0.00000     0.00000     0.00000     0.00000
   -84.10172     0.00000     0.00000     0.00000     0.00000
   -84.08972     0.00000     0.00000     0.00000     0.00000
   -84.07872     0.00000     0.00000     0.00000     0.00000
   -84.06672     0.00000     0.00000     0.00000     0.00000
   -84.05572     0.00000     0.00000     0.00000     0.00000
   -84.04372     0.00000     0.00000     0.00000     0.00000
   -84.03272     0.00000     0.00000     0.00000     0.00000
   -84.02172     0.00000     0.00000     0.00000     0.00000
   -84.00972     0.00000     0.00000     0.00000     0.00000
   -83.99872     0.00000     0.00000     0.00000     0.00000
   -83.98672     0.00000     0.00000     0.00000     0.00000
   -83.97572     0.00000     0.00000     0.00000     0.00000
   -83.96372     0.00000     0.00000     0.00000     0.00000
   -83.95272     0.00000     0.00000     0.00000     0.00000
   -83.94172     0.00000     0.00000     0.00000     0.00000
   -83.92972     0.00000     0.00000     0.00000     0.00000
   -83.91872     0.00000     0.00000     0.00000     0.00000
   -83.90672     0.00000     0.00000     0.00000     0.00000
   -83.89572     0.00000     0.00000     0.00000     0.00000
   -83.88372     0.00000     0.00000     0.00000     0.00000
   -83.87272     0.00000     0.00000     0.00000     0.00000
   -83.86072     0.00000     0.00000     0.00000     0.00000
   -83.84972     0.00000     0.00000     0.00000     0.00000
   -83.83872     0.00000     0.00000     0.00000     0.00000
   -83.82672     0.00000     0.00000     0.00000     0.00000
   -83.81572     0.00000     0.00000     0.00000     0.00000
   -83.80372     0.00000     0.00000     0.00000     0.00000
   -83.79272     0.00000     0.00000     0.00000     0.00000
   -83.78072     0.00000     0.00000     0.00000     0.00000
   -83.76972     0.00000     0.00000     0.00000     0.00000
   -83.75872     0.00000     0.00000     0.00000     0.00000
   -83.74672     0.00000     0.00000     0.00000     0.00000
   -83.73572     0.00000     0.00000     0.00000     0.00000
   -83.72372     0.00000     0.00000     0.00000     0.00000
   -83.71272     0.00000     0.00000     0.00000     0.00000
   -83.70072     0.00000     0.00000     0.00000     0.00000
   -83.68972     0.00000     0.00000     0.00000     0.00000
   -83.67772     0.00000     0.00000     0.00000     0.00000
   -83.66672     0.00000     0.00000     0.00000     0.00000
   -83.65572     0.00000     0.00000     0.00000     0.00000
   -83.64372     0.00000     0.00000     0.00000     0.00000
   -83.63272     0.00000     0.00000     0.00000     0.00000
   -83.62072     0.00000     0.00000     0.00000     0.00000
   -83.60972     0.00000     0.00000     0.00000     0.00000
   -83.59772     0.00000     0.00000     0.00000     0.00000
   -83.58672     0.00000     0.00000     0.00000     0.00000
   -83.57572     0.00000     0.00000     0.00000     0.00000
   -83.56372     0.00000     0.00000     0.00000     0.00000
   -83.55272     0.00000     0.00000     0.00000     0.00000
   -83.54072     0.00000     0.00000     0.00000     0.00000
   -83.52972     0.00000     0.00000     0.00000     0.00000
   -83.51772     0.00000     0.00000     0.00000     0.00000
   -83.50672     0.00000     0.00000     0.00000     0.00000
   -83.49572     0.00000     0.00000     0.00000     0.00000
   -83.48372     0.00000     0.00000     0.00000     0.00000
   -83.47272     0.00000     0.00000     0.00000     0.00000
   -83.46072     0.00000     0.00000     0.00000     0.00000
   -83.44972     0.00000     0.00000     0.00000     0.00000
   -83.43772     0.00000     0.00000     0.00000     0.00000
   -83.42672     0.00000     0.00000     0.00000     0.00000
   -83.41472     0.00000     0.00000     0.00000     0.00000
   -83.40372     0.00000     0.00000     0.00000     0.00000
   -83.39272     0.00000     0.00000     0.00000     0.00000
   -83.38072     0.00000     0.00000     0.00000     0.00000
   -83.36972     0.00000     0.00000     0.00000     0.00000
   -83.35772     0.00000     0.00000     0.00000     0.00000
   -83.34672     0.00000     0.00000     0.00000     0.00000
   -83.33472     0.00000     0.00000     0.00000     0.00000
   -83.32372     0.00000     0.00000     0.00000     0.00000
   -83.31272     0.00000     0.00000     0.00000     0.00000
   -83.30072     0.00000     0.00000     0.00000     0.00000
   -83.28972     0.00000     0.00000     0.00000     0.00000
   -83.27772     0.00000     0.00000     0.00000     0.00000
   -83.26672     0.00000     0.00000     0.00000     0.00000
   -83.25472     0.00000     0.00000     0.00000     0.00000
   -83.24372     0.00000     0.00000     0.00000     0.00000
   -83.23172     0.00000     0.00000     0.00000     0.00000
   -83.22072     0.00000     0.00000     0.00000     0.00000
   -83.20972     0.00000     0.00000     0.00000     0.00000
   -83.19772     0.00000     0.00000     0.00000     0.00000
   -83.18672     0.00000     0.00000     0.00000     0.00000
   -83.17472     0.00000     0.00000     0.00000     0.00000
   -83.16372     0.00000     0.00000     0.00000     0.00000
   -83.15172     0.00000     0.00000     0.00000     0.00000
   -83.14072     0.00000     0.00000     0.00000     0.00000
   -83.12972     0.00000     0.00000     0.00000     0.00000
   -83.11772     0.00000     0.00000     0.00000     0.00000
   -83.10672     0.00000     0.00000     0.00000     0.00000
   -83.09472     0.00000     0.00000     0.00000     0.00000
   -83.08372     0.00000     0.00000     0.00000     0.00000
   -83.07172     0.00000     0.00000     0.00000     0.00000
   -83.06072     0.00000     0.00000     0.00000     0.00000
   -83.04872     0.00000     0.00000     0.00000     0.00000
   -83.03772     0.00000     0.00000     0.00000     0.00000
   -83.02672     0.00000     0.00000     0.00000     0.00000
   -83.01472     0.00000     0.00000     0.00000     0.00000
   -83.00372     0.00000     0.00000     0.00000     0.00000
   -82.99172     0.00000     0.00000     0.00000     0.00000
   -82.98072     0.00000     0.00000     0.00000     0.00000
   -82.96872     0.00000     0.00000     0.00000     0.00000
   -82.95772     0.00000     0.00000     0.00000     0.00000
   -82.94672     0.00000     0.00000     0.00000     0.00000
   -82.93472     0.00000     0.00000     0.00000     0.00000
   -82.92372     0.00000     0.00000     0.00000     0.00000
   -82.91172     0.00000     0.00000     0.00000     0.00000
   -82.90072     0.00000     0.00000     0.00000     0.00000
   -82.88872     0.00000     0.00000     0.00000     0.00000
   -82.87772     0.00000     0.00000     0.00000     0.00000
   -82.86572     0.00000     0.00000     0.00000     0.00000
   -82.85472     0.00000     0.00000     0.00000     0.00000
   -82.84372     0.00000     0.00000     0.00000     0.00000
   -82.83172     0.00000     0.00000     0.00000     0.00000
   -82.82072     0.00000     0.00000     0.00000     0.00000
   -82.80872     0.00000     0.00000     0.00000     0.00000
   -82.79772     0.00000     0.00000     0.00000     0.00000
   -82.78572     0.00000     0.00000     0.00000     0.00000
   -82.77472     0.00000     0.00000     0.00000     0.00000
   -82.76372     0.00000     0.00000     0.00000     0.00000
   -82.75172     0.00000     0.00000     0.00000     0.00000
   -82.74072     0.00000     0.00000     0.00000     0.00000
   -82.72872     0.00000     0.00000     0.00000     0.00000
   -82.71772     0.00000     0.00000     0.00000     0.00000
   -82.70572     0.00000     0.00000     0.00000     0.00000
   -82.69472     0.00000     0.00000     0.00000     0.00000
   -82.68372     0.00000     0.00000     0.00000     0.00000
   -82.67172     0.00000     0.00000     0.00000     0.00000
   -82.66072     0.00000     0.00000     0.00000     0.00000
   -82.64872     0.00000     0.00000     0.00000     0.00000
   -82.63772     0.00000     0.00000     0.00000     0.00000
   -82.62572     0.00000     0.00000     0.00000     0.00000
   -82.61472     0.00000     0.00000     0.00000     0.00000
   -82.60272     0.00000     0.00000     0.00000     0.00000
   -82.59172     0.00000     0.00000     0.00000     0.00000
   -82.58072     0.00000     0.00000     0.00000     0.00000
   -82.56872     0.00000     0.00000     0.00000     0.00000
   -82.55772     0.00000     0.00000     0.00000     0.00000
   -82.54572     0.00000     0.00000     0.00000     0.00000
   -82.53472     0.00000     0.00000     0.00000     0.00000
   -82.52272     0.00000     0.00000     0.00000     0.00000
   -82.51172     0.00000     0.00000     0.00000     0.00000
   -82.50072     0.00000     0.00000     0.00000     0.00000
   -82.48872     0.00000     0.00000     0.00000     0.00000
   -82.47772     0.00000     0.00000     0.00000     0.00000
   -82.46572     0.00000     0.00000     0.00000     0.00000
   -82.45472     0.00000     0.00000     0.00000     0.00000
   -82.44272     0.00000     0.00000     0.00000     0.00000
   -82.43172     0.00000     0.00000     0.00000     0.00000
   -82.41972     0.00000     0.00000     0.00000     0.00000
   -82.40872     0.00000     0.00000     0.00000     0.00000
   -82.39772     0.00000     0.00000     0.00000     0.00000
   -82.38572     0.00000     0.00000     0.00000     0.00000
   -82.37472     0.00000     0.00000     0.00000     0.00000
   -82.36272     0.00000     0.00000     0.00000     0.00000
   -82.35172     0.00000     0.00000     0.00000     0.00000
   -82.33972     0.00000     0.00000     0.00000     0.00000
   -82.32872     0.00000     0.00000     0.00000     0.00000
   -82.31772     0.00000     0.00000     0.00000     0.00000
   -82.30572     0.00000     0.00000     0.00000     0.00000
   -82.29472     0.00000     0.00000     0.00000     0.00000
   -82.28272     0.00000     0.00000     0.00000     0.00000
   -82.27172     0.00000     0.00000     0.00000     0.00000
   -82.25972     0.00000     0.00000     0.00000     0.00000
   -82.24872     0.00000     0.00000     0.00000     0.00000
   -82.23672     0.00000     0.00000     0.00000     0.00000
   -82.22572     0.00000     0.00000     0.00000     0.00000
   -82.21472     0.00000     0.00000     0.00000     0.00000
   -82.20272     0.00000     0.00000     0.00000     0.00000
   -82.19172     0.00000     0.00000     0.00000     0.00000
   -82.17972     0.00000     0.00000     0.00000     0.00000
   -82.16872     0.00000     0.00000     0.00000     0.00000
   -82.15672     0.00000     0.00000     0.00000     0.00000
   -82.14572     0.00000     0.00000     0.00000     0.00000
   -82.13472     0.00000     0.00000     0.00000     0.00000
   -82.12272     0.00000     0.00000     0.00000     0.00000
   -82.11172     0.00000     0.00000     0.00000     0.00000
   -82.09972     0.00000     0.00000     0.00000     0.00000
   -82.08872     0.00000     0.00000     0.00000     0.00000
   -82.07672     0.00000     0.00000     0.00000     0.00000
   -82.06572     0.00000     0.00000     0.00000     0.00000
   -82.05372     0.00000     0.00000     0.00000     0.00000
   -82.04272     0.00000     0.00000     0.00000     0.00000
   -82.03172     0.00000     0.00000     0.00000     0.00000
   -82.01972     0.00000     0.00000     0.00000     0.00000
   -82.00872     0.00000     0.00000     0.00000     0.00000
   -81.99672     0.00000     0.00000     0.00000     0.00000
   -81.98572     0.00000     0.00000     0.00000     0.00000
   -81.97372     0.00000     0.00000     0.00000     0.00000
   -81.96272     0.00000     0.00000     0.00000     0.00000
   -81.95172     0.00000     0.00000     0.00000     0.00000
   -81.93972     0.00000     0.00000     0.00000     0.00000
