     #Energy       W_all      Mo_all      Ti_all      Rh_all
   -78.27873     0.00000     0.00000     0.00000     0.00000
   -78.26773     0.00000     0.00000     0.00000     0.00000
   -78.25673     0.00000     0.00000     0.00000     0.00000
   -78.24573     0.00000     0.00000     0.00000     0.00000
   -78.23473     0.00000     0.00000     0.00000     0.00000
   -78.22373     0.00000     0.00000     0.00000     0.00000
   -78.21273     0.00000     0.00000     0.00000     0.00000
   -78.20073     0.00000     0.00000     0.00000     0.00000
   -78.18973     0.00000     0.00000     0.00000     0.00000
   -78.17873     0.00000     0.00000     0.00000     0.00000
   -78.16773     0.00000     0.00000     0.00000     0.00000
   -78.15673     0.00000     0.00000     0.00000     0.00000
   -78.14573     0.00000     0.00000     0.00000     0.00000
   -78.13473     0.00000     0.00000     0.00000     0.00000
   -78.12373     0.00000     0.00000     0.00000     0.00000
   -78.11273     0.00000     0.00000     0.00000     0.00000
   -78.10173     0.00000     0.00000     0.00000     0.00000
   -78.09073     0.00000     0.00000     0.00000     0.00000
   -78.07873     0.00000     0.00000     0.00000     0.00000
   -78.06773     0.00000     0.00000     0.00000     0.00000
   -78.05673     0.00000     0.00000     0.00000     0.00000
   -78.04573     0.00000     0.00000     0.00000     0.00000
   -78.03473     0.00000     0.00000     0.00000     0.00000
   -78.02373     0.00000     0.00000     0.00000     0.00000
   -78.01273     0.00000     0.00000     0.00000     0.00000
   -78.00173     0.00000     0.00000     0.00000     0.00000
   -77.99073     0.00000     0.00000     0.00000     0.00000
   -77.97973     0.00000     0.00000     0.00000     0.00000
   -77.96873     0.00000     0.00000     0.00000     0.00000
   -77.95673     0.00000     0.00000     0.00000     0.00000
   -77.94573     0.00000     0.00000     0.00000     0.00000
   -77.93473     0.00000     0.00000     0.00000     0.00000
   -77.92373     0.00000     0.00000     0.00000     0.00000
   -77.91273     0.00000     0.00000     0.00000     0.00000
   -77.90173     0.00000     0.00000     0.00000     0.00000
   -77.89073     0.00000     0.00000     0.00000     0.00000
   -77.87973     0.00000     0.00000     0.00000     0.00000
   -77.86873     0.00000     0.00000     0.00000     0.00000
   -77.85773     0.00000     0.00000     0.00000     0.00000
   -77.84673     0.00000     0.00000     0.00000     0.00000
   -77.83573     0.00000     0.00000     0.00000     0.00000
   -77.82373     0.00000     0.00000     0.00000     0.00000
   -77.81273     0.00000     0.00000     0.00000     0.00000
   -77.80173     0.00000     0.00000     0.00000     0.00000
   -77.79073     0.00000     0.00000     0.00000     0.00000
   -77.77973     0.00000     0.00000     0.00000     0.00000
   -77.76873     0.00000     0.00000     0.00000     0.00000
   -77.75773     0.00000     0.00000     0.00000     0.00000
   -77.74673     0.00000     0.00000     0.00000     0.00000
   -77.73573     0.00000     0.00000     0.00000     0.00000
   -77.72473     0.00000     0.00000     0.00000     0.00000
   -77.71373     0.00000     0.00000     0.00000     0.00000
   -77.70173     0.00000     0.00000     0.00000     0.00000
   -77.69073     0.00000     0.00000     0.00000     0.00000
   -77.67973     0.00000     0.00000     0.00000     0.00000
   -77.66873     0.00000     0.00000     0.00000     0.00000
   -77.65773     0.00000     0.00000     0.00000     0.00000
   -77.64673     0.00000     0.00000     0.00000     0.00000
   -77.63573     0.00000     0.00000     0.00000     0.00000
   -77.62473     0.00000     0.00000     0.00000     0.00000
   -77.61373     0.00000     0.00000     0.00000     0.00000
   -77.60273     0.00000     0.00000     0.00000     0.00000
   -77.59173     0.00000     0.00000     0.00000     0.00000
   -77.57973     0.00000     0.00000     0.00000     0.00000
   -77.56873     0.00000     0.00000     0.00000     0.00000
   -77.55773     0.00000     0.00000     0.00000     0.00000
   -77.54673     0.00000     0.00000     0.00000     0.00000
   -77.53573     0.00000     0.00000     0.00000     0.00000
   -77.52473     0.00000     0.00000     0.00000     0.00000
   -77.51373     0.00000     0.00000     0.00000     0.00000
   -77.50273     0.00000     0.00000     0.00000     0.00000
   -77.49173     0.00000     0.00000     0.00000     0.00000
   -77.48073     0.00000     0.00000     0.00000     0.00000
   -77.46973     0.00000     0.00000     0.00000     0.00000
   -77.45873     0.00000     0.00000     0.00000     0.00000
   -77.44673     0.00000     0.00000     0.00000     0.00000
   -77.43573     0.00000     0.00000     0.00000     0.00000
   -77.42473     0.00000     0.00000     0.00000     0.00000
   -77.41373     0.00000     0.00000     0.00000     0.00000
   -77.40273     0.00000     0.00000     0.00000     0.00000
   -77.39173     0.00000     0.00000     0.00000     0.00000
   -77.38073     0.00000     0.00000     0.00000     0.00000
   -77.36973     0.00000     0.00000     0.00000     0.00000
   -77.35873     0.00000     0.00000     0.00000     0.00000
   -77.34773     0.00000     0.00000     0.00000     0.00000
   -77.33673     0.00000     0.00000     0.00000     0.00000
   -77.32473     0.00000     0.00000     0.00000     0.00000
   -77.31373     0.00000     0.00000     0.00000     0.00000
   -77.30273     0.00000     0.00000     0.00000     0.00000
   -77.29173     0.00000     0.00000     0.00000     0.00000
   -77.28073     0.00000     0.00000     0.00000     0.00000
   -77.26973     0.00000     0.00000     0.00000     0.00000
   -77.25873     0.00000     0.00000     0.00000     0.00000
   -77.24773     0.00000     0.00000     0.00000     0.00000
   -77.23673     0.00000     0.00000     0.00000     0.00000
   -77.22573     0.00000     0.00000     0.00000     0.00000
   -77.21473     0.00000     0.00000     0.00000     0.00000
   -77.20273     0.00000     0.00000     0.00000     0.00000
   -77.19173     0.00000     0.00000     0.00000     0.00000
   -77.18073     0.00000     0.00000     0.00000     0.00000
   -77.16973     0.00000     0.00000     0.00000     0.00000
   -77.15873     0.00000     0.00000     0.00000     0.00000
   -77.14773     0.00000     0.00000     0.00000     0.00000
   -77.13673     0.00000     0.00000     0.00000     0.00000
   -77.12573     0.00000     0.00000     0.00000     0.00000
   -77.11473     0.00000     0.00000     0.00000     0.00000
   -77.10373     0.00000     0.00000     0.00000     0.00000
   -77.09273     0.00000     0.00000     0.00000     0.00000
   -77.08173     0.00000     0.00000     0.00000     0.00000
