     #Energy       W_all      Mo_all      Ti_all      Ru_all
   -78.39550     0.00000     0.00000     0.00000     0.00000
   -78.38350     0.00000     0.00000     0.00000     0.00000
   -78.37250     0.00000     0.00000     0.00000     0.00000
   -78.36150     0.00000     0.00000     0.00000     0.00000
   -78.35050     0.00000     0.00000     0.00000     0.00000
   -78.33950     0.00000     0.00000     0.00000     0.00000
   -78.32850     0.00000     0.00000     0.00000     0.00000
   -78.31750     0.00000     0.00000     0.00000     0.00000
   -78.30650     0.00000     0.00000     0.00000     0.00000
   -78.29550     0.00000     0.00000     0.00000     0.00000
   -78.28350     0.00000     0.00000     0.00000     0.00000
   -78.27250     0.00000     0.00000     0.00000     0.00000
   -78.26150     0.00000     0.00000     0.00000     0.00000
   -78.25050     0.00000     0.00000     0.00000     0.00000
   -78.23950     0.00000     0.00000     0.00000     0.00000
   -78.22850     0.00000     0.00000     0.00000     0.00000
   -78.21750     0.00000     0.00000     0.00000     0.00000
   -78.20650     0.00000     0.00000     0.00000     0.00000
   -78.19450     0.00000     0.00000     0.00000     0.00000
   -78.18350     0.00000     0.00000     0.00000     0.00000
   -78.17250     0.00000     0.00000     0.00000     0.00000
   -78.16150     0.00000     0.00000     0.00000     0.00000
   -78.15050     0.00000     0.00000     0.00000     0.00000
   -78.13950     0.00000     0.00000     0.00000     0.00000
   -78.12850     0.00000     0.00000     0.00000     0.00000
   -78.11750     0.00000     0.00000     0.00000     0.00000
   -78.10550     0.00000     0.00000     0.00000     0.00000
   -78.09450     0.00000     0.00000     0.00000     0.00000
   -78.08350     0.00000     0.00000     0.00000     0.00000
   -78.07250     0.00000     0.00000     0.00000     0.00000
   -78.06150     0.00000     0.00000     0.00000     0.00000
   -78.05050     0.00000     0.00000     0.00000     0.00000
   -78.03950     0.00000     0.00000     0.00000     0.00000
   -78.02850     0.00000     0.00000     0.00000     0.00000
   -78.01750     0.00000     0.00000     0.00000     0.00000
   -78.00550     0.00000     0.00000     0.00000     0.00000
   -77.99450     0.00000     0.00000     0.00000     0.00000
   -77.98350     0.00000     0.00000     0.00000     0.00000
   -77.97250     0.00000     0.00000     0.00000     0.00000
   -77.96150     0.00000     0.00000     0.00000     0.00000
   -77.95050     0.00000     0.00000     0.00000     0.00000
   -77.93950     0.00000     0.00000     0.00000     0.00000
   -77.92850     0.00000     0.00000     0.00000     0.00000
   -77.91650     0.00000     0.00000     0.00000     0.00000
   -77.90550     0.00000     0.00000     0.00000     0.00000
   -77.89450     0.00000     0.00000     0.00000     0.00000
   -77.88350     0.00000     0.00000     0.00000     0.00000
   -77.87250     0.00000     0.00000     0.00000     0.00000
   -77.86150     0.00000     0.00000     0.00000     0.00000
   -77.85050     0.00000     0.00000     0.00000     0.00000
   -77.83950     0.00000     0.00000     0.00000     0.00000
   -77.82850     0.00000     0.00000     0.00000     0.00000
   -77.81650     0.00000     0.00000     0.00000     0.00000
   -77.80550     0.00000     0.00000     0.00000     0.00000
   -77.79450     0.00000     0.00000     0.00000     0.00000
   -77.78350     0.00000     0.00000     0.00000     0.00000
   -77.77250     0.00000     0.00000     0.00000     0.00000
   -77.76150     0.00000     0.00000     0.00000     0.00000
   -77.75050     0.00000     0.00000     0.00000     0.00000
   -77.73950     0.00000     0.00000     0.00000     0.00000
   -77.72750     0.00000     0.00000     0.00000     0.00000
   -77.71650     0.00000     0.00000     0.00000     0.00000
   -77.70550     0.00000     0.00000     0.00000     0.00000
   -77.69450     0.00000     0.00000     0.00000     0.00000
   -77.68350     0.00000     0.00000     0.00000     0.00000
   -77.67250     0.00000     0.00000     0.00000     0.00000
   -77.66150     0.00000     0.00000     0.00000     0.00000
   -77.65050     0.00000     0.00000     0.00000     0.00000
   -77.63850     0.00000     0.00000     0.00000     0.00000
   -77.62750     0.00000     0.00000     0.00000     0.00000
   -77.61650     0.00000     0.00000     0.00000     0.00000
   -77.60550     0.00000     0.00000     0.00000     0.00000
   -77.59450     0.00000     0.00000     0.00000     0.00000
   -77.58350     0.00000     0.00000     0.00000     0.00000
   -77.57250     0.00000     0.00000     0.00000     0.00000
   -77.56150     0.00000     0.00000     0.00000     0.00000
   -77.55050     0.00000     0.00000     0.00000     0.00000
   -77.53850     0.00000     0.00000     0.00000     0.00000
   -77.52750     0.00000     0.00000     0.00000     0.00000
   -77.51650     0.00000     0.00000     0.00000     0.00000
   -77.50550     0.00000     0.00000     0.00000     0.00000
   -77.49450     0.00000     0.00000     0.00000     0.00000
   -77.48350     0.00000     0.00000     0.00000     0.00000
   -77.47250     0.00000     0.00000     0.00000     0.00000
   -77.46150     0.00000     0.00000     0.00000     0.00000
   -77.44950     0.00000     0.00000     0.00000     0.00000
   -77.43850     0.00000     0.00000     0.00000     0.00000
   -77.42750     0.00000     0.00000     0.00000     0.00000
   -77.41650     0.00000     0.00000     0.00000     0.00000
   -77.40550     0.00000     0.00000     0.00000     0.00000
   -77.39450     0.00000     0.00000     0.00000     0.00000
   -77.38350     0.00000     0.00000     0.00000     0.00000
   -77.37250     0.00000     0.00000     0.00000     0.00000
   -77.36150     0.00000     0.00000     0.00000     0.00000
   -77.34950     0.00000     0.00000     0.00000     0.00000
   -77.33850     0.00000     0.00000     0.00000     0.00000
   -77.32750     0.00000     0.00000     0.00000     0.00000
   -77.31650     0.00000     0.00000     0.00000     0.00000
   -77.30550     0.00000     0.00000     0.00000     0.00000
   -77.29450     0.00000     0.00000     0.00000     0.00000
   -77.28350     0.00000     0.00000     0.00000     0.00000
   -77.27250     0.00000     0.00000     0.00000     0.00000
   -77.26050     0.00000     0.00000     0.00000     0.00000
   -77.24950     0.00000     0.00000     0.00000     0.00000
   -77.23850     0.00000     0.00000     0.00000     0.00000
   -77.22750     0.00000     0.00000     0.00000     0.00000
   -77.21650     0.00000     0.00000     0.00000     0.00000
   -77.20550     0.00000     0.00000     0.00000     0.00000
   -77.19450     0.00000     0.00000     0.00000     0.00000
   -77.18350     0.00000     0.00000     0.00000     0.00000
   -77.17150     0.00000     0.00000     0.00000     0.00000
   -77.16050     0.00000     0.00000     0.00000     0.00000
   -77.14950     0.00000     0.00000     0.00000     0.00000
   -77.13850     0.00000     0.00000     0.00000     0.00000
   -77.12750     0.00000     0.00000     0.00000     0.00000
   -77.11650     0.00000     0.00000     0.00000     0.00000
   -77.10550     0.00000     0.00000     0.00000     0.00000
   -77.09450     0.00000     0.00000     0.00000     0.00000
   -77.08350     0.00000     0.00000     0.00000     0.00000
   -77.07150     0.00000     0.00000     0.00000     0.00000
   -77.06050     0.00000     0.00000     0.00000     0.00000
   -77.04950     0.00000     0.00000     0.00000     0.00000
   -77.03850     0.00000     0.00000     0.00000     0.00000
   -77.02750     0.00000     0.00000     0.00000     0.00000
   -77.01650     0.00000     0.00000     0.00000     0.00000
   -77.00550     0.00000     0.00000     0.00000     0.00000
   -76.99450     0.00000     0.00000     0.00000     0.00000
   -76.98250     0.00000     0.00000     0.00000     0.00000
   -76.97150     0.00000     0.00000     0.00000     0.00000
   -76.96050     0.00000     0.00000     0.00000     0.00000
   -76.94950     0.00000     0.00000     0.00000     0.00000
