     #Energy       W_all      Mo_all      Ir_all      Ti_all
   -78.10282     0.00000     0.00000     0.00000     0.00000
   -78.09182     0.00000     0.00000     0.00000     0.00000
   -78.08182     0.00000     0.00000     0.00000     0.00000
   -78.07082     0.00000     0.00000     0.00000     0.00000
   -78.05982     0.00000     0.00000     0.00000     0.00000
   -78.04982     0.00000     0.00000     0.00000     0.00000
   -78.03882     0.00000     0.00000     0.00000     0.00000
   -78.02782     0.00000     0.00000     0.00000     0.00000
   -78.01782     0.00000     0.00000     0.00000     0.00000
   -78.00682     0.00000     0.00000     0.00000     0.00000
   -77.99582     0.00000     0.00000     0.00000     0.00000
   -77.98482     0.00000     0.00000     0.00000     0.00000
   -77.97482     0.00000     0.00000     0.00000     0.00000
   -77.96382     0.00000     0.00000     0.00000     0.00000
   -77.95282     0.00000     0.00000     0.00000     0.00000
   -77.94282     0.00000     0.00000     0.00000     0.00000
   -77.93182     0.00000     0.00000     0.00000     0.00000
   -77.92082     0.00000     0.00000     0.00000     0.00000
   -77.91082     0.00000     0.00000     0.00000     0.00000
   -77.89982     0.00000     0.00000     0.00000     0.00000
   -77.88882     0.00000     0.00000     0.00000     0.00000
   -77.87882     0.00000     0.00000     0.00000     0.00000
   -77.86782     0.00000     0.00000     0.00000     0.00000
   -77.85682     0.00000     0.00000     0.00000     0.00000
   -77.84582     0.00000     0.00000     0.00000     0.00000
   -77.83582     0.00000     0.00000     0.00000     0.00000
   -77.82482     0.00000     0.00000     0.00000     0.00000
   -77.81382     0.00000     0.00000     0.00000     0.00000
   -77.80382     0.00000     0.00000     0.00000     0.00000
   -77.79282     0.00000     0.00000     0.00000     0.00000
   -77.78182     0.00000     0.00000     0.00000     0.00000
   -77.77182     0.00000     0.00000     0.00000     0.00000
   -77.76082     0.00000     0.00000     0.00000     0.00000
   -77.74982     0.00000     0.00000     0.00000     0.00000
   -77.73982     0.00000     0.00000     0.00000     0.00000
   -77.72882     0.00000     0.00000     0.00000     0.00000
   -77.71782     0.00000     0.00000     0.00000     0.00000
   -77.70682     0.00000     0.00000     0.00000     0.00000
