ALLOY,STRUCTURE (By OVITO),POTCAR_USED,Lattice parameter a (Å),%Change_X (%),%Change_Y (%),%Change_Z (%),FERMI_ENERGY (eV),NEF_Total (states/eV/atom),ELEMENT_1_NEF,ELEMENT_2_NEF,Elements_PDOS_columns,PDOS_Column_list,Bonding_Area (states·eV),Antibonding_Area (states·eV),D_band_center (eV),D_band_center_Type,W_present,Mo_present,Ta_present,Nb_present,V_present,Cr_present,Fe_present,Li_present,K_present,Rb_present,Cs_present,Ba_present,Ra_present,Ca_present,Sr_present,Rh_present,Ir_present,Ni_present,Pd_present,Pt_present,Cu_present,Ag_present,Au_present,Al_present,Ne_present,Ar_present,Kr_present,Xe_present,Be_present,Mg_present,Sc_present,Y_present,Ti_present,Zr_present,Hf_present,Tc_present,Re_present,Ru_present,Os_present,Co_present,Zn_present,Cd_present,He_present,W_comp,Mo_comp,Ta_comp,Nb_comp,V_comp,Cr_comp,Fe_comp,Li_comp,K_comp,Rb_comp,Cs_comp,Ba_comp,Ra_comp,Ca_comp,Sr_comp,Rh_comp,Ir_comp,Ni_comp,Pd_comp,Pt_comp,Cu_comp,Ag_comp,Au_comp,Al_comp,Ne_comp,Ar_comp,Kr_comp,Xe_comp,Be_comp,Mg_comp,Sc_comp,Y_comp,Ti_comp,Zr_comp,Hf_comp,Tc_comp,Re_comp,Ru_comp,Os_comp,Co_comp,Zn_comp,Cd_comp,He_comp,Structure_individual_BCC,Structure_individual_FCC,Structure_individual_HCP
Ir2W52,bcc,PAW_PBE W_sv 04Sep2015; PAW_PBE Ir 06Sep2000,3.182288718211222,0.025651658,-0.051303316,0.025651658,11.100715,0.4715846090534979,0.066827016,0.4047575925925926,Element1:Ir_all;Element2:W_all,W_all;Ir_all,2.9651609253703706,2.375732512777778,-1.158000532,PDOS_USER_D.dat (all atoms),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.296296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.703704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Ir4W50,bcc,PAW_PBE W_sv 04Sep2015; PAW_PBE Ir 06Sep2000,3.179888070822732,0.27640985646674904,-0.240638491,-0.035771365,11.055313,0.5020296913580247,0.093466049,0.40856364197530864,Element1:Ir_all;Element2:W_all,W_all;Ir_all,3.0101085514814816,2.5424131826851855,-1.133231687,PDOS_USER_D.dat (all atoms),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.592593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.407407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Ir6W48,bcc,PAW_PBE W_sv 04Sep2015; PAW_PBE Ir 06Sep2000,3.1773009443824667,0.24308992671569898,-0.093574718,-0.149515208,10.963524,0.5153587222222222,0.11519390740740741,0.4001648148148148,Element1:Ir_all;Element2:W_all,W_all;Ir_all,3.0964967307407414,2.7152402549074073,-1.05993376,PDOS_USER_D.dat (all atoms),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Ir8W46,bcc,PAW_PBE W_sv 04Sep2015; PAW_PBE Ir 06Sep2000,3.1745964680729832,-0.43044794,-0.258014286,0.6884622259888187,10.893484,0.49409072016460903,0.1223824279835391,0.37170829218106993,Element1:Ir_all;Element2:W_all,W_all;Ir_all,3.137966591111111,2.8969678409259263,-1.016959742,PDOS_USER_D.dat (all atoms),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.814815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Ir10W44,bcc,PAW_PBE W_sv 04Sep2015; PAW_PBE Ir 06Sep2000,3.1721230768486746,1.4031980672731406,-0.320551672,-1.082646395,10.80075,0.5607127160493828,0.15421234567901237,0.40650037037037046,Element1:Ir_all;Element2:W_all,W_all;Ir_all,3.1973541543518516,3.0773531318518517,-0.951167445,PDOS_USER_D.dat (all atoms),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.481481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.518519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Ir12W42,bcc,PAW_PBE W_sv 04Sep2015; PAW_PBE Ir 06Sep2000,3.168342381,-0.277455209,-0.922630741,1.200085949219382,10.725614,0.5078363786008231,0.15263016460905351,0.35520621399176955,Element1:Ir_all;Element2:W_all,W_all;Ir_all,3.270905764722222,3.2341300397222223,-0.890411976,PDOS_USER_D.dat (all atoms),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Mo2W52,bcc,PAW_PBE W_sv 04Sep2015; PAW_PBE Mo_sv 02Feb2006,3.1848225517078768,0,0,0,11.204373,0.3540239917695474,0.017101728,0.33692226337448566,Element1:Mo_all;Element2:W_all,W_all;Mo_all,2.9069870104629625,3.7414250780555545,0.035872245,PDOS_USER_D.dat (all atoms),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.296296,3.703704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Mo4W50,bcc,PAW_PBE W_sv 04Sep2015; PAW_PBE Mo_sv 02Feb2006,3.184167514393068,0.002801272,-0.003349833,0.000548561,11.242738,0.37540600823045267,0.035302778,0.3401032304526749,Element1:Mo_all;Element2:W_all,W_all;Mo_all,2.9159330482407406,3.762798579351852,0.033530679,PDOS_USER_D.dat (all atoms),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.592593,7.407407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Mo6W48,bcc,PAW_PBE W_sv 04Sep2015; PAW_PBE Mo_sv 02Feb2006,3.1835731056056273,-0.001461669,0.004803638,-0.003341969,11.281725,0.3900144444444444,0.053930802,0.3360836419753086,Element1:Mo_all;Element2:W_all,W_all;Mo_all,2.955481553796297,3.7765493664814818,0.015029367272578833,PDOS_USER_D.dat (all atoms),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.888889,11.111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Mo8W46,bcc,PAW_PBE W_sv 04Sep2015; PAW_PBE Mo_sv 02Feb2006,3.1829180858747224,-0.004108196,0.004664885,-0.000556689,11.322977,0.41688197530864196,0.075616173,0.3412658024691358,Element1:Mo_all;Element2:W_all,W_all;Mo_all,2.952930303148148,3.773623087222222,0.006012608,PDOS_USER_D.dat (all atoms),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.185185,14.814815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
